x,y,z
2.67979,1.16597,0.983598
2.67979,1.19206,1.40213
2.67979,1.21814,1.76984
2.67979,1.24423,1.64471
2.67979,1.27032,1.26509
2.67979,1.2964,1.02286
2.67979,1.32249,0.697343
2.67979,1.34858,0.633313
2.67979,1.37467,0.641767
2.67979,1.40075,0.83905
2.67979,1.42684,1.32919
2.67979,1.45293,1.68131
2.67979,1.47901,1.94774
2.67979,1.5051,2.16425
2.67979,1.53119,2.33438
2.67979,1.55727,2.14372
2.67979,1.58336,1.88924
2.67979,1.60945,1.64259
2.67979,1.63554,1.23671
2.67979,1.68771,0.503017
2.67979,1.7138,0.287511
2.67979,1.73988,0.111676
2.67979,1.76597,0.052774
2.67979,1.79206,0.0719882
2.67979,1.81814,0.115051
2.67979,1.84423,0.266238
2.67979,1.87032,0.511924
2.67979,1.8964,0.789771
2.67979,1.92249,1.22629
2.67979,1.94858,1.55261
2.67979,1.97467,1.75516
2.67979,2.00075,2.03519
2.67979,2.02684,2.11778
2.67979,2.05293,2.31359
2.67979,2.07901,2.68551
2.67979,2.1051,2.86229
2.67979,2.13119,3.10061
2.67979,2.15727,2.87398
2.67979,2.18336,2.48686
2.67979,2.20945,1.47019
2.67979,2.23554,0.615955
2.67979,2.26162,0.14363
2.67979,2.28771,0.224283
2.67979,2.3138,0.935062
2.67979,2.33988,2.21724
2.67979,2.36597,3.57081
2.70587,1.13988,0.520918
2.70587,1.16597,0.827798
2.70587,1.19206,1.119
2.70587,1.21814,1.13864
2.70587,1.24423,0.967015
2.70587,1.27032,0.710711
2.70587,1.2964,0.474299
2.70587,1.32249,0.35334
2.70587,1.34858,0.334484
2.70587,1.37467,0.557268
2.70587,1.40075,0.841829
2.70587,1.42684,1.33399
2.70587,1.45293,1.796
2.70587,1.47901,2.01907
2.70587,1.5051,2.3728
2.70587,1.53119,2.39734
2.70587,1.55727,2.30892
2.70587,1.58336,2.00238
2.70587,1.60945,1.73805
2.70587,1.63554,1.3241
2.70587,1.66162,1.06102
2.70587,1.68771,0.647202
2.70587,1.7138,0.373896
2.70587,1.73988,0.18123
2.70587,1.76597,0.0827906
2.70587,1.79206,0.0328224
2.70587,1.81814,0.0332109
2.70587,1.84423,0.106539
2.70587,1.87032,0.276852
2.70587,1.8964,0.440895
2.70587,1.92249,0.726393
2.70587,1.94858,0.72841
2.70587,1.97467,1.17987
2.70587,2.00075,1.52504
2.70587,2.02684,1.92002
2.70587,2.05293,1.8312
2.70587,2.07901,2.20137
2.70587,2.1051,2.47627
2.70587,2.13119,2.66078
2.70587,2.15727,2.65702
2.70587,2.18336,2.23176
2.70587,2.20945,1.35372
2.70587,2.23554,0.379502
2.70587,2.26162,0.0333404
2.70587,2.28771,0.235932
2.70587,2.3138,1.25004
2.70587,2.33988,2.55269
2.70587,2.36597,2.83249
2.73196,1.13988,0.204677
2.73196,1.16597,0.525044
2.73196,1.19206,0.670935
2.73196,1.21814,0.661763
2.73196,1.24423,0.613034
2.73196,1.27032,0.457026
2.73196,1.2964,0.173858
2.73196,1.32249,0.182298
2.73196,1.34858,0.309508
2.73196,1.37467,0.426236
2.73196,1.40075,0.873624
2.73196,1.42684,1.14774
2.73196,1.45293,1.52164
2.73196,1.47901,2.11204
2.73196,1.5051,2.40252
2.73196,1.53119,2.41291
2.73196,1.55727,2.51488
2.73196,1.58336,2.27612
2.73196,1.60945,1.89188
