x,y,z
2.67326,1.70727,0
2.67326,1.72032,0
2.67326,1.73336,0
2.67326,1.7464,0
2.67326,1.75945,0
2.67326,1.77249,0
2.67326,1.78554,0
2.67326,1.79858,0
2.67326,1.81162,0
2.67326,1.83771,0
2.67326,1.8638,0
2.67326,1.87684,0
2.67326,1.88988,0
2.67326,1.90293,0
2.67326,1.91597,0
2.67326,1.92901,0
2.67326,1.94206,0
2.67326,1.9551,0
2.67326,1.96814,0
2.67326,1.98119,0
2.67326,1.99423,0
2.67326,2.00727,0
2.67326,2.02032,0
2.67326,2.03336,0
2.67326,2.0464,0
2.67326,2.05945,0
2.67326,2.08554,0
2.67326,2.09858,0
2.67326,2.11162,0
2.67326,2.12467,0
2.67326,2.13771,0
2.67326,2.15075,0
2.67326,2.1638,0
2.67326,2.17684,0
2.67326,2.18988,0
2.67326,2.20293,0
2.67326,2.21597,0
2.67326,2.24206,0
2.67326,2.2551,0
2.67326,2.26814,0
2.67326,2.28119,0
2.67326,2.29423,0
2.67326,2.30727,0
2.67326,2.32032,0
2.67326,2.33336,0
2.67326,2.3464,0
2.67326,2.35945,0
2.68631,1.15945,0
2.68631,1.17249,0
2.68631,1.18554,0
2.68631,1.19858,0
2.68631,1.21162,0
2.68631,1.22467,0
2.68631,1.23771,0
2.68631,1.25075,0
2.68631,1.2638,0
2.68631,1.27684,0
2.68631,1.28988,0
2.68631,1.30293,0
2.68631,1.31597,0
2.68631,1.32901,0
2.68631,1.34206,0
2.68631,1.3551,0
2.68631,1.36814,0
2.68631,1.38119,0
2.68631,1.39423,0
2.68631,1.40727,0
2.68631,1.42032,0
2.68631,1.43336,0
2.68631,1.4464,0
2.68631,1.45945,0
2.68631,1.47249,0
2.68631,1.48554,0
2.68631,1.49858,0
2.68631,1.51162,0
2.68631,1.52467,0
2.68631,1.53771,0
2.68631,1.55075,0
2.68631,1.5638,0
2.68631,1.57684,0
2.68631,1.58988,0
2.68631,1.60293,0
2.68631,1.61597,0
2.68631,1.62901,0
2.68631,1.64206,0
2.68631,1.68119,0
2.68631,1.69423,0
2.68631,1.70727,0
2.68631,1.72032,0
2.68631,1.73336,0
2.68631,1.75945,0
2.68631,1.78554,0
2.68631,1.79858,0
2.68631,1.81162,0
2.68631,1.82467,0
2.68631,1.83771,0
2.68631,1.85075,0
2.68631,1.8638,0
2.68631,1.87684,0
2.68631,1.88988,0
2.68631,1.90293,0
2.68631,1.91597,0
2.68631,1.92901,0
2.68631,1.94206,0
2.68631,1.9551,0
2.68631,1.96814,0
2.68631,1.98119,0
2.68631,1.99423,0
2.68631,2.00727,0
2.68631,2.02032,0
2.68631,2.03336,0
2.68631,2.0464,0
2.68631,2.05945,0
2.68631,2.07249,0
2.68631,2.08554,0
2.68631,2.09858,0
2.68631,2.11162,0
2.68631,2.12467,0
2.68631,2.13771,0
2.68631,2.15075,0
2.68631,2.1638,0
2.68631,2.17684,0
2.68631,2.18988,0
2.68631,2.20293,0
2.68631,2.21597,0
2.68631,2.22901,0
2.68631,2.24206,0
2.68631,2.2551,0
2.68631,2.26814,0
2.68631,2.28119,0
2.68631,2.29423,0
2.68631,2.30727,0
2.68631,2.32032,0
2.68631,2.33336,0
2.68631,2.3464,0
2.68631,2.35945,0
2.68631,2.37249,0
2.69935,1.1464,0
2.69935,1.15945,0
2.69935,1.17249,0
2.69935,1.18554,0
2.69935,1.19858,0
2.69935,1.21162,0
2.69935,1.22467,0
2.69935,1.23771,0
2.69935,1.25075,0
2.69935,1.2638,0
2.69935,1.27684,0
2.69935,1.28988,0
2.69935,1.30293,0
2.69935,1.31597,0
2.69935,1.32901,0
2.69935,1.34206,0
2.69935,1.3551,0
2.69935,1.36814,0
2.69935,1.38119,0
2.69935,1.39423,0
2.69935,1.40727,0
