x,y,z
2.69935,1.13336,0.0598547
2.69935,1.1464,0.58829
2.69935,1.15945,0.899943
2.69935,1.17249,0.807489
2.69935,1.18554,1.07112
2.69935,1.19858,1.26636
2.69935,1.21162,1.20295
2.69935,1.22467,1.22378
2.69935,1.23771,1.14679
2.69935,1.25075,0.85307
2.69935,1.2638,0.980268
2.69935,1.27684,0.670027
2.69935,1.28988,0.48024
2.69935,1.30293,0.539631
2.69935,1.31597,0.336057
2.69935,1.32901,0.417063
2.69935,1.34206,0.259158
2.69935,1.3551,0.326997
2.69935,1.36814,0.5576
2.69935,1.38119,0.632697
2.69935,1.39423,0.813867
2.71239,1.13336,0.0598547
2.71239,1.1464,0.55197
2.71239,1.15945,0.55197
2.71239,1.17249,0.692596
2.71239,1.18554,0.892243
2.71239,1.19858,0.862116
2.71239,1.21162,0.862116
2.71239,1.22467,0.796235
2.71239,1.23771,0.796235
2.71239,1.25075,0.892322
2.71239,1.2638,0.232621
2.71239,1.27684,0.232621
2.71239,1.28988,0.48024
2.71239,1.30293,0.201087
2.71239,1.31597,0.227758
2.71239,1.32901,0.347518
2.71239,1.34206,0.42215
2.71239,1.3551,0.345344
2.71239,1.36814,0.403851
2.71239,1.38119,0.485632
2.71239,1.39423,0.529109
2.72544,1.13336,0.238497
2.72544,1.1464,0.271227
2.72544,1.15945,0.706977
2.72544,1.17249,0.483381
2.72544,1.18554,0.62561
2.72544,1.19858,0.782149
2.72544,1.21162,0.782149
2.72544,1.22467,0.519742
2.72544,1.23771,0.519742
2.72544,1.25075,0.892322
2.72544,1.2638,0.489334
2.72544,1.27684,0.570904
2.72544,1.28988,0.0790227
2.72544,1.30293,0.0576856
2.72544,1.31597,0.119114
2.72544,1.32901,0.258981
2.72544,1.34206,0.279048
2.72544,1.3551,0.330189
2.72544,1.36814,0.385675
2.72544,1.38119,0.599601
2.72544,1.39423,0.764826
2.73848,1.13336,0.185618
2.73848,1.1464,0.146723
2.73848,1.15945,0.417705
2.73848,1.17249,0.527955
2.73848,1.18554,0.576771
2.73848,1.19858,0.71991
2.73848,1.21162,0.492028
2.73848,1.22467,0.888651
2.73848,1.23771,0.710937
2.73848,1.25075,0.573873
2.73848,1.2638,0.2226
2.73848,1.27684,0.17132
2.73848,1.28988,0.482486
2.73848,1.30293,0.125049
2.73848,1.31597,0.0708938
2.73848,1.32901,0.186161
2.73848,1.34206,0.186161
2.73848,1.3551,0.304058
2.73848,1.36814,0.395283
2.73848,1.38119,0.375167
2.73848,1.39423,0.713535
2.75153,1.13336,0.0981793
2.75153,1.1464,0.176205
2.75153,1.15945,0.346348
2.75153,1.17249,0.498217
2.75153,1.18554,0.470245
