x,y,z
2.69935,1.13336,-42.229
2.69935,1.1464,-32.3041
2.69935,1.15945,-30.4578
2.69935,1.17249,-30.9286
2.69935,1.18554,-29.7016
2.69935,1.19858,-28.9744
2.69935,1.21162,-29.1975
2.69935,1.22467,-29.123
2.69935,1.23771,-29.4051
2.69935,1.25075,-30.6902
2.69935,1.2638,-30.0866
2.69935,1.27684,-31.7391
2.69935,1.28988,-33.1854
2.69935,1.30293,-32.679
2.69935,1.31597,-34.7359
2.69935,1.32901,-33.798
2.69935,1.34206,-35.8644
2.69935,1.3551,-34.8546
2.69935,1.36814,-32.5368
2.69935,1.38119,-31.988
2.69935,1.39423,-30.8945
2.71239,1.13336,-42.229
2.71239,1.1464,-32.5808
2.71239,1.15945,-32.5808
2.71239,1.17249,-31.5952
2.71239,1.18554,-30.4952
2.71239,1.19858,-30.6443
2.71239,1.21162,-30.6443
2.71239,1.22467,-30.9896
2.71239,1.23771,-30.9896
2.71239,1.25075,-30.4948
2.71239,1.2638,-36.3335
2.71239,1.27684,-36.3335
2.71239,1.28988,-33.1854
2.71239,1.30293,-36.9662
2.71239,1.31597,-36.4253
2.71239,1.32901,-34.5902
2.71239,1.34206,-33.7453
2.71239,1.3551,-34.6175
2.71239,1.36814,-33.9378
2.71239,1.38119,-33.1369
2.71239,1.39423,-32.7646
2.72544,1.13336,-36.2252
2.72544,1.1464,-35.6667
2.72544,1.15945,-31.5059
2.72544,1.17249,-33.1571
2.72544,1.18554,-32.037
2.72544,1.19858,-31.0671
2.72544,1.21162,-31.0671
2.72544,1.22467,-32.8421
2.72544,1.23771,-32.8421
2.72544,1.25075,-30.4948
2.72544,1.2638,-33.1039
2.72544,1.27684,-32.4344
2.72544,1.28988,-41.0225
2.72544,1.30293,-42.3893
2.72544,1.31597,-39.2404
2.72544,1.32901,-35.8673
2.72544,1.34206,-35.5432
2.72544,1.3551,-34.8124
2.72544,1.36814,-34.1378
2.72544,1.38119,-32.2214
2.72544,1.39423,-31.1644
2.73848,1.13336,-37.3138
2.73848,1.1464,-38.335
2.73848,1.15945,-33.7913
2.73848,1.17249,-32.774
2.73848,1.18554,-32.39
2.73848,1.19858,-31.4272
2.73848,1.21162,-33.0801
2.73848,1.22467,-30.5127
2.73848,1.23771,-31.4817
2.73848,1.25075,-32.4118
2.73848,1.2638,-36.5247
2.73848,1.27684,-37.6619
2.73848,1.28988,-33.1651
2.73848,1.30293,-39.0292
2.73848,1.31597,-41.4939
2.73848,1.32901,-37.3011
2.73848,1.34206,-37.3011
2.73848,1.3551,-35.1704
2.73848,1.36814,-34.0309
2.73848,1.38119,-34.2578
2.73848,1.39423,-31.4658
2.75153,1.13336,-40.0798
2.75153,1.1464,-37.5398
2.75153,1.15945,-34.6049
2.75153,1.17249,-33.0258
2.75153,1.18554,-33.2768
2.75153,1.19858,-33.2835
2.75153,1.21162,-33.2835
2.75153,1.22467,-35.6984
2.75153,1.23771,-35.6984
2.75153,1.25075,-35.4108
2.75153,1.2638,-36.783
2.75153,1.27684,-39.2458
2.75153,1.28988,-46.006
2.75153,1.30293,-39.7359
2.75153,1.31597,-37.4415
2.75153,1.32901,-38.5732
2.75153,1.34206,-35.773
2.75153,1.3551,-35.773
2.75153,1.36814,-33.5087
2.75153,1.38119,-34.4792
2.75153,1.39423,-34.4792
2.76457,1.13336,-31.9597
2.76457,1.1464,-33.9205
2.76457,1.15945,-35.7835
2.76457,1.17249,-33.301
2.76457,1.18554,-33.1015
2.76457,1.19858,-33.8781
2.76457,1.21162,-35.5531
2.76457,1.22467,-36.0856
2.76457,1.23771,-38.9233
2.76457,1.25075,-39.6967
2.76457,1.2638,-42.8239
2.76457,1.27684,-43.0923
2.76457,1.28988,-43.4726
2.76457,1.30293,-41.1851
2.76457,1.31597,-38.3149
2.76457,1.32901,-39.0815
2.76457,1.34206,-33.2688
2.76457,1.3551,-33.2688
2.76457,1.36814,-33.7925
2.76457,1.38119,-33.2355
2.76457,1.39423,-30.8579
2.77761,1.13336,-33.8063
2.77761,1.1464,-35.9636
2.77761,1.15945,-37.9647
2.77761,1.17249,-37.4419
2.77761,1.18554,-33.4905
2.77761,1.19858,-35.1035
2.77761,1.21162,-37.4286
2.77761,1.22467,-37.0714
2.77761,1.23771,-37.0714
2.77761,1.25075,-39.7822
2.77761,1.2638,-39.7822
2.77761,1.27684,-47.4589
2.77761,1.28988,-47.4589
2.77761,1.30293,-40.8538
2.77761,1.31597,-37.8001
2.77761,1.32901,-38.1368
2.77761,1.34206,-38.5611
2.77761,1.3551,-38.5611
2.77761,1.36814,-33.1231
2.77761,1.38119,-33.1678
2.77761,1.39423,-31.6613
2.79066,1.13336,-34.2405
2.79066,1.1464,-33.056
2.79066,1.15945,-34.8774
2.79066,1.17249,-33.0383
2.79066,1.18554,-34.1607
2.79066,1.19858,-34.087
2.79066,1.21162,-35.3845
2.79066,1.22467,-37.0857
2.79066,1.23771,-36.7359
2.79066,1.25075,-38.9585
2.79066,1.2638,-40.261
2.79066,1.27684,-40.5312
2.79066,1.28988,-37.7327
2.79066,1.30293,-37.4532
2.79066,1.31597,-35.9978
2.79066,1.32901,-35.077
2.79066,1.34206,-35.077
2.79066,1.3551,-33.2838
2.79066,1.36814,-33.0081
2.79066,1.38119,-31.7691
2.79066,1.39423,-31.4059
2.8037,1.13336,-33.897
2.8037,1.1464,-33.897
2.8037,1.15945,-34.499
2.8037,1.17249,-33.5649
2.8037,1.18554,-33.6785
2.8037,1.19858,-34.6237
2.8037,1.21162,-37.9579
2.8037,1.22467,-38.7338
2.8037,1.23771,-39.8908
2.8037,1.25075,-39.3789
2.8037,1.2638,-38.725
2.8037,1.27684,-37.8091
2.8037,1.28988,-36.0325
2.8037,1.30293,-36.6618
2.8037,1.31597,-35.5485
2.8037,1.32901,-34.4374
2.8037,1.34206,-34.6829
2.8037,1.3551,-33.4658
2.8037,1.36814,-32.6445
2.8037,1.38119,-33.0638
2.8037,1.39423,-31.9065
2.81674,1.13336,-32.0293
2.81674,1.1464,-31.6937
2.81674,1.15945,-31.6937
2.81674,1.17249,-32.0886
2.81674,1.18554,-32.9519
2.81674,1.19858,-35.1482
2.81674,1.21162,-36.7973
2.81674,1.22467,-37.7369
2.81674,1.23771,-37.7369
2.81674,1.25075,-39.9409
2.81674,1.2638,-44.0719
2.81674,1.27684,-37.8
2.81674,1.28988,-37.8
2.81674,1.30293,-39.2326
2.81674,1.31597,-34.9615
2.81674,1.32901,-33.4901
2.81674,1.34206,-34.6421
2.81674,1.3551,-34.6421
2.81674,1.36814,-33.2554
2.81674,1.38119,-31.7046
2.81674,1.39423,-31.7046
2.82979,1.13336,-32.0293
2.82979,1.1464,-30.2146
2.82979,1.15945,-30.2146
2.82979,1.17249,-32.0297
2.82979,1.18554,-31.8227
2.82979,1.19858,-35.0255
2.82979,1.21162,-35.0255
2.82979,1.22467,-38.1487
2.82979,1.23771,-40.3034
2.82979,1.25075,-39.8636
2.82979,1.2638,-40.4328
2.82979,1.27684,-38.0083
2.82979,1.28988,-49.5663
2.82979,1.30293,-36.8224
2.82979,1.31597,-35.4299
2.82979,1.32901,-33.503
2.82979,1.34206,-33.503
2.82979,1.3551,-32.9875
2.82979,1.36814,-32.4313
2.82979,1.38119,-31.7631
2.82979,1.39423,-32.0668
2.84283,1.13336,-30.1082
2.84283,1.1464,-30.5826
2.84283,1.15945,-32.0802
2.84283,1.17249,-31.6044
2.84283,1.18554,-32.3907
2.84283,1.19858,-33.9388
2.84283,1.21162,-34.2558
2.84283,1.22467,-34.7394
2.84283,1.23771,-35.762
2.84283,1.25075,-38.204
2.84283,1.2638,-37.4838
2.84283,1.27684,-35.7368
2.84283,1.28988,-35.1055
2.84283,1.30293,-35.2819
2.84283,1.31597,-34.5157
2.84283,1.32901,-33.1461
2.84283,1.34206,-32.6381
2.84283,1.3551,-33.8647
2.84283,1.36814,-33.3825
2.84283,1.38119,-32.1719
2.84283,1.39423,-32.7872
2.85587,1.13336,-30.1082
2.85587,1.1464,-30.2462
2.85587,1.15945,-31.4133
2.85587,1.17249,-33.3545
2.85587,1.18554,-32.5721
2.85587,1.19858,-35.2101
2.85587,1.21162,-35.2101
2.85587,1.22467,-36.5341
2.85587,1.23771,-39.8816
2.85587,1.25075,-37.5724
2.85587,1.2638,-38.4627
2.85587,1.27684,-34.5554
2.85587,1.28988,-34.5554
2.85587,1.30293,-37.2916
2.85587,1.31597,-37.2916
2.85587,1.32901,-33.6622
2.85587,1.34206,-33.6622
2.85587,1.3551,-33.8647
2.85587,1.36814,-33.5597
2.85587,1.38119,-31.826
2.85587,1.39423,-31.826
2.86892,1.13336,-29.3196
2.86892,1.1464,-30.0283
2.86892,1.15945,-30.0283
2.86892,1.17249,-31.5803
2.86892,1.18554,-32.2523
2.86892,1.19858,-35.9623
2.86892,1.21162,-35.9623
2.86892,1.22467,-38.5094
2.86892,1.23771,-38.5094
2.86892,1.25075,-38.318
2.86892,1.2638,-36.6535
2.86892,1.27684,-35.8177
2.86892,1.28988,-35.8177
2.86892,1.30293,-37.0746
2.86892,1.31597,-37.5315
2.86892,1.32901,-34.463
2.86892,1.34206,-34.9391
2.86892,1.3551,-33.3737
2.86892,1.36814,-35.734
2.86892,1.38119,-34.5704
2.86892,1.39423,-34.5932
2.88196,1.13336,-29.8242
2.88196,1.1464,-30.1362
2.88196,1.15945,-31.2593
2.88196,1.17249,-32.2966
2.88196,1.18554,-33.6216
2.88196,1.19858,-34.3216
2.88196,1.21162,-35.3786
2.88196,1.22467,-37.6871
2.88196,1.23771,-35.5731
2.88196,1.25075,-37.8394
2.88196,1.2638,-37.5397
2.88196,1.27684,-36.5213
2.88196,1.28988,-36.4872
2.88196,1.30293,-38.5458
2.88196,1.31597,-38.6098
2.88196,1.32901,-37.1365
2.88196,1.34206,-37.2789
2.88196,1.3551,-36.0887
2.88196,1.36814,-36.4283
2.88196,1.38119,-34.044
2.88196,1.39423,-34.9806
2.895,1.13336,-31.7711
2.895,1.1464,-31.0378
2.895,1.15945,-30.52
2.895,1.17249,-35.0209
2.895,1.18554,-35.2678
2.895,1.19858,-38.4962
2.895,1.21162,-38.4962
2.895,1.22467,-37.6871
2.895,1.23771,-35.5731
2.895,1.25075,-40.225
2.895,1.2638,-47.8595
2.895,1.27684,-37.9263
2.895,1.28988,-37.9263
2.895,1.30293,-38.823
2.895,1.31597,-43.9864
2.895,1.32901,-35.0083
2.895,1.34206,-39.1543
2.895,1.3551,-40.7791
2.895,1.36814,-38.6526
2.895,1.38119,-35.1179
2.895,1.39423,-34.1859
2.90805,1.13336,-28.8746
2.90805,1.1464,-30.2418
2.90805,1.15945,-30.9377
2.90805,1.17249,-32.748
2.90805,1.18554,-33.1969
2.90805,1.19858,-40.0625
2.90805,1.21162,-37.9798
2.90805,1.22467,-38.6029
2.90805,1.23771,-39.2639
2.90805,1.25075,-39.3401
2.90805,1.2638,-39.7832
2.90805,1.27684,-39.7552
2.90805,1.28988,-40.0374
2.90805,1.30293,-41.3307
2.90805,1.31597,-38.2227
2.90805,1.32901,-40.8338
2.90805,1.34206,-41.999
2.90805,1.3551,-38.5883
2.90805,1.36814,-37.5848
2.90805,1.38119,-38.1863
2.90805,1.39423,-37.8332
2.92109,1.13336,-29.815
2.92109,1.1464,-30.9818
2.92109,1.15945,-30.9818
2.92109,1.17249,-32.5041
2.92109,1.18554,-34.948
2.92109,1.19858,-38.9203
2.92109,1.21162,-33.4814
2.92109,1.22467,-37.8035
2.92109,1.23771,-36.6585
2.92109,1.25075,-43.1282
2.92109,1.2638,-43.4078
2.92109,1.27684,-39.5146
2.92109,1.28988,-40.86
2.92109,1.30293,-47.3327
2.92109,1.31597,-44.5454
2.92109,1.32901,-44.3634
2.92109,1.34206,-44.828
2.92109,1.3551,-37.245
2.92109,1.36814,-40.5406
2.92109,1.38119,-39.2985
2.92109,1.39423,-41.5619
2.93413,1.13336,-32.734
2.93413,1.1464,-34.9023
2.93413,1.15945,-32.2105
2.93413,1.17249,-42.5628
2.93413,1.18554,-42.4642
2.93413,1.19858,-41.7682
2.93413,1.21162,-41.7682
2.93413,1.22467,-44.887
2.93413,1.23771,-44.887
2.93413,1.25075,-44.2335
2.93413,1.2638,-50.6172
2.93413,1.27684,-48.2047
2.93413,1.28988,-41.4375
2.93413,1.30293,-35.6239
2.93413,1.31597,-38.7579
2.93413,1.32901,-43.5765
2.93413,1.34206,-31.2623
2.93413,1.3551,-35.4444
2.93413,1.36814,-38.9397
2.93413,1.38119,-35.4975
2.93413,1.39423,-38.0507
2.94718,1.13336,-33.0607
2.94718,1.1464,-33.0607
2.94718,1.15945,-32.2105
2.94718,1.17249,-42.7924
2.94718,1.18554,-36.3174
2.94718,1.19858,-48.6754
2.94718,1.21162,-48.6754
2.94718,1.22467,-39.0903
2.94718,1.23771,-42.3186
2.94718,1.25075,-41.0676
2.94718,1.2638,-32.0334
2.94718,1.27684,-49.3809
2.94718,1.28988,-49.3809
2.94718,1.30293,-35.6239
2.94718,1.31597,-38.7579
2.94718,1.32901,-39.945
2.94718,1.34206,-41.626
2.94718,1.3551,-41.626
2.94718,1.36814,-35.9749
2.94718,1.38119,-41.7049
2.94718,1.39423,-38.0693
2.96022,1.13336,-34.5704
2.96022,1.1464,-37.7399
2.96022,1.15945,-38.0901
2.96022,1.17249,-40.1956
2.96022,1.18554,-39.5711
2.96022,1.19858,-42.6746
2.96022,1.21162,-42.2906
2.96022,1.22467,-35.6104
2.96022,1.23771,-37.3517
2.96022,1.25075,-45.5654
2.96022,1.2638,-35.321
2.96022,1.27684,-36.8242
2.96022,1.28988,-34.5952
2.96022,1.30293,-31.0855
2.96022,1.31597,-32.5154
2.96022,1.32901,-35.3066
2.96022,1.34206,-34.7975
2.96022,1.3551,-37.8588
2.96022,1.36814,-34.0521
2.96022,1.38119,-37.6473
2.96022,1.39423,-36.7494
2.97326,1.13336,-37.4257
2.97326,1.1464,-36.8065
2.97326,1.15945,-36.7074
2.97326,1.17249,-38.0873
2.97326,1.18554,-39.9069
2.97326,1.19858,-40.0407
2.97326,1.21162,-39.2237
2.97326,1.22467,-37.4961
2.97326,1.23771,-37.6922
2.97326,1.25075,-35.0339
2.97326,1.2638,-36.1829
2.97326,1.27684,-35.4362
2.97326,1.28988,-33.3619
2.97326,1.30293,-32.3308
2.97326,1.31597,-32.5792
2.97326,1.32901,-32.0154
2.97326,1.34206,-30.381
2.97326,1.3551,-29.6454
2.97326,1.36814,-31.6994
2.97326,1.38119,-32.9695
2.97326,1.39423,-32.8444
2.98631,1.13336,-42.0401
2.98631,1.1464,-38.1666
2.98631,1.15945,-38.1666
2.98631,1.17249,-37.3845
2.98631,1.18554,-37.3945
2.98631,1.19858,-32.1941
2.98631,1.21162,-34.2746
2.98631,1.22467,-31.1652
2.98631,1.23771,-40.2865
2.98631,1.25075,-31.4528
2.98631,1.2638,-31.4528
2.98631,1.27684,-34.5365
2.98631,1.28988,-38.4524
2.98631,1.30293,-38.4524
2.98631,1.31597,-28.4998
2.98631,1.32901,-31.0602
2.98631,1.34206,-31.0602
2.98631,1.3551,-27.6948
2.98631,1.36814,-30.0801
2.98631,1.38119,-30.0801
2.98631,1.39423,-33.856
2.99935,1.13336,-40.0426
2.99935,1.1464,-39.0678
2.99935,1.15945,-41.8319
2.99935,1.17249,-36.2491
2.99935,1.18554,-36.7442
2.99935,1.19858,-34.2569
2.99935,1.21162,-36.9372
2.99935,1.22467,-32.3111
2.99935,1.23771,-34.0053
2.99935,1.25075,-31.56
2.99935,1.2638,-31.3008
2.99935,1.27684,-30.9526
2.99935,1.28988,-30.3359
2.99935,1.30293,-29.8775
2.99935,1.31597,-28.6114
2.99935,1.32901,-29.3239
2.99935,1.34206,-29.2219
2.99935,1.3551,-28.7719
2.99935,1.36814,-28.8278
2.99935,1.38119,-30.0313
2.99935,1.39423,-29.5303
3.01239,1.13336,-34.8062
3.01239,1.1464,-35.4014
3.01239,1.15945,-35.4014
3.01239,1.17249,-33.7714
3.01239,1.18554,-30.4287
3.01239,1.19858,-33.2925
3.01239,1.21162,-33.2925
3.01239,1.22467,-32.5984
3.01239,1.23771,-30.9458
3.01239,1.25075,-32.4443
3.01239,1.2638,-29.4334
3.01239,1.27684,-32.4939
3.01239,1.28988,-32.4939
3.01239,1.30293,-31.5342
3.01239,1.31597,-28.7639
3.01239,1.32901,-29.1848
3.01239,1.34206,-28.3483
3.01239,1.3551,-28.3483
3.01239,1.36814,-28.0425
3.01239,1.38119,-28.406
3.01239,1.39423,-28.406
3.02544,1.13336,-35.4962
3.02544,1.1464,-31.0492
3.02544,1.15945,-38.5529
3.02544,1.17249,-31.5076
3.02544,1.18554,-31.1021
3.02544,1.19858,-31.7593
3.02544,1.21162,-31.7593
3.02544,1.22467,-32.5984
3.02544,1.23771,-30.9458
3.02544,1.25075,-32.4443
3.02544,1.2638,-29.9567
3.02544,1.27684,-28.7302
3.02544,1.28988,-28.7302
3.02544,1.30293,-27.3902
3.02544,1.31597,-27.0594
3.02544,1.32901,-27.9404
3.02544,1.34206,-26.9221
3.02544,1.3551,-26.9221
3.02544,1.36814,-28.3544
3.02544,1.38119,-28.1782
3.02544,1.39423,-29.0565
