x,y,z
2.65453,1.14738,1.66124
2.65453,1.17347,1.99853
2.65453,1.19955,1.98943
2.65453,1.22564,1.97726
2.65453,1.25173,1.6927
2.65453,1.27781,1.10639
2.65453,1.3039,0.690508
2.65453,1.32999,0.394459
2.65453,1.35607,0.279118
2.65453,1.38216,0.212049
2.65453,1.40825,0.239913
2.65453,1.43433,0.298737
2.65453,1.46042,0.537072
2.65453,1.48651,0.84595
2.65453,1.5126,1.13665
2.65453,1.53868,1.50671
2.65453,1.56477,1.69054
2.65453,1.59086,1.72587
2.65453,1.61694,1.64979
2.65453,1.64303,1.41489
2.65453,1.66912,1.21367
2.65453,1.6952,0.695304
2.65453,1.72129,0.291189
2.65453,1.74738,0.185909
2.65453,1.77347,0.112319
2.65453,1.79955,0.162356
2.65453,1.82564,0.270655
2.65453,1.85173,0.766529
2.65453,1.87781,1.16355
2.65453,1.9039,1.87275
2.65453,1.92999,2.18214
2.65453,1.95607,2.54828
2.65453,1.98216,2.76718
2.68062,1.14738,1.23955
2.68062,1.17347,1.2354
2.68062,1.19955,1.25384
2.68062,1.22564,1.35475
2.68062,1.25173,1.16677
2.68062,1.27781,0.746608
2.68062,1.3039,0.460864
2.68062,1.32999,0.136127
2.68062,1.35607,0.0519387
2.68062,1.38216,0.0687772
2.68062,1.40825,0.202646
2.68062,1.43433,0.421069
2.68062,1.46042,0.690076
2.68062,1.48651,1.08611
2.68062,1.5126,1.50428
2.68062,1.53868,1.66208
2.68062,1.56477,2.16355
2.68062,1.59086,2.37331
2.68062,1.61694,2.33489
2.68062,1.64303,2.06619
2.68062,1.66912,1.71393
2.68062,1.6952,1.25458
2.68062,1.72129,0.601084
2.68062,1.74738,0.420264
2.68062,1.77347,0.187367
2.68062,1.79955,0.104798
2.68062,1.82564,0.147859
2.68062,1.85173,0.225401
2.68062,1.87781,0.482889
2.68062,1.9039,0.886559
2.68062,1.92999,1.60403
2.68062,1.95607,1.9486
2.68062,1.98216,2.18879
2.68062,2.00825,2.51576
2.68062,2.03433,2.2705
2.68062,2.06042,2.23877
2.68062,2.08651,2.01978
2.68062,2.1126,2.21495
2.68062,2.13868,2.46601
2.68062,2.16477,2.41412
2.68062,2.19086,2.22171
2.68062,2.21694,1.64852
2.68062,2.24303,1.01077
2.68062,2.26912,0.365569
2.68062,2.2952,0.151383
2.68062,2.32129,0.407755
2.68062,2.34738,1.28824
2.68062,2.37347,2.12902
2.70671,1.14738,0.787645
2.70671,1.17347,0.834657
2.70671,1.19955,0.996213
2.70671,1.22564,0.929669
2.70671,1.25173,0.672913
2.70671,1.27781,0.414599
2.70671,1.3039,0.287429
2.70671,1.32999,0.106547
2.70671,1.35607,0.11591
2.70671,1.38216,0.169961
2.70671,1.40825,0.310952
2.70671,1.43433,0.59448
2.70671,1.46042,0.943708
2.70671,1.48651,1.28075
2.70671,1.5126,1.78254
2.70671,1.53868,2.04195
2.70671,1.56477,2.54365
2.70671,1.59086,2.921
2.70671,1.61694,2.71675
2.70671,1.64303,2.60282
2.70671,1.66912,2.1874
2.70671,1.6952,1.70991
2.70671,1.72129,1.02981
2.70671,1.74738,0.650425
2.70671,1.77347,0.34057
2.70671,1.79955,0.14054
2.70671,1.82564,0.0887002
2.70671,1.85173,0.0694909
2.70671,1.87781,0.176334
2.70671,1.9039,0.455714
