x,y,z
2.67326,1.13336,3.5632
2.67326,1.1464,2.81527
2.67326,1.15945,2.81527
2.67326,1.17249,1.48267
2.67326,1.18554,1.5873
2.67326,1.19858,0.525131
2.67326,1.21162,-3.20863
2.67326,1.22467,-0.552126
2.67326,1.23771,-0.47422
2.67326,1.25075,0.66504
2.67326,1.2638,0.803082
2.67326,1.27684,-3.44966
2.67326,1.28988,-1.11984
2.67326,1.30293,0.0747646
2.67326,1.31597,-4.67475
2.67326,1.32901,-5.05863
2.67326,1.34206,-4.70685
2.67326,1.3551,-11.1058
2.67326,1.36814,-15.6522
2.67326,1.38119,-14.9063
2.67326,1.39423,-5.32189
2.67326,1.40727,-6.24948
2.67326,1.42032,-5.42887
2.67326,1.43336,-6.60157
2.67326,1.4464,-3.82263
2.67326,1.45945,-6.59572
2.67326,1.47249,-7.66021
2.67326,1.48554,-4.37405
2.67326,1.49858,-3.01407
2.67326,1.51162,-2.68404
2.67326,1.52467,-1.59702
2.67326,1.53771,-2.07745
2.67326,1.55075,-0.332527
2.67326,1.5638,-0.232356
2.67326,1.57684,0.880468
2.67326,1.58988,1.1484
2.67326,1.60293,1.60382
2.67326,1.61597,2.26493
2.67326,1.62901,2.48186
2.67326,1.64206,2.49811
2.67326,1.6551,1.95577
2.67326,1.66814,5.31321
2.67326,1.68119,4.28369
2.67326,1.69423,4.18725
2.67326,1.70727,4.18003
2.67326,1.72032,5.26243
2.67326,1.73336,4.80635
2.67326,1.7464,4.38493
2.67326,1.75945,4.3513
2.67326,1.77249,4.69719
2.67326,1.78554,0.803426
2.67326,1.79858,-0.609987
2.67326,1.81162,-0.0863719
2.67326,1.82467,1.55589
2.67326,1.83771,1.15897
2.67326,1.85075,1.74599
2.67326,1.8638,0.155603
2.67326,1.87684,-0.408522
2.67326,1.88988,0.746687
2.67326,1.90293,0.141477
2.67326,1.91597,0.21215
2.67326,1.92901,1.66324
2.67326,1.94206,1.51995
2.67326,1.9551,1.90267
2.67326,1.96814,1.69777
2.67326,1.98119,1.14401
2.67326,1.99423,1.22712
2.67326,2.00727,0.997143
2.67326,2.02032,0.958777
2.67326,2.03336,0.37731
2.67326,2.0464,0.289321
2.67326,2.05945,0.0220921
2.67326,2.07249,0.0220921
2.67326,2.08554,-0.885315
2.67326,2.09858,-1.52641
2.67326,2.11162,-1.40546
2.67326,2.12467,-1.18298
2.67326,2.13771,-0.92394
2.67326,2.15075,-1.01569
2.67326,2.1638,-0.496147
2.67326,2.17684,-0.59764
2.67326,2.18988,0.156495
2.67326,2.20293,1.13279
2.67326,2.21597,1.11086
2.67326,2.22901,-0.41188
2.67326,2.24206,1.49808
2.67326,2.2551,2.51862
2.67326,2.26814,10.346
2.67326,2.28119,1.5928
2.67326,2.29423,-1.93754
2.67326,2.30727,-7.624
2.67326,2.32032,-5.38149
2.67326,2.33336,-4.23814
2.67326,2.3464,-2.79048
2.67326,2.35945,-2.95107
2.67326,2.37249,-1.70026
2.68631,1.13336,2.88368
2.68631,1.1464,2.88368
2.68631,1.15945,2.13575
2.68631,1.17249,0.00207541
2.68631,1.18554,0.29278
2.68631,1.19858,-1.47479
2.68631,1.21162,-1.38067
2.68631,1.22467,-1.26143
2.68631,1.23771,-1.38017
2.68631,1.25075,-1.3741
2.68631,1.2638,-1.23636
2.68631,1.27684,-1.45748
2.68631,1.28988,-2.41121
2.68631,1.30293,-3.0991
2.68631,1.31597,-3.10253
2.68631,1.32901,-7.48657
2.68631,1.34206,-8.60646
2.68631,1.3551,-11.1058
2.68631,1.36814,-15.6522
2.68631,1.38119,-10.2109
2.68631,1.39423,-8.48716
2.68631,1.40727,-6.14703
2.68631,1.42032,-5.42887
2.68631,1.43336,-5.78691
2.68631,1.4464,-3.99546
2.68631,1.45945,-3.9369
2.68631,1.47249,-3.84894
2.68631,1.48554,-2.62507
2.68631,1.49858,-2.29111
2.68631,1.51162,-1.97731
2.68631,1.52467,-1.61311
2.68631,1.53771,-1.16122
2.68631,1.55075,-0.29697
2.68631,1.5638,0.0921222
2.68631,1.57684,0.73755
2.68631,1.58988,0.853767
2.68631,1.60293,1.03895
2.68631,1.61597,1.94646
2.68631,1.62901,2.27859
2.68631,1.64206,2.3723
2.68631,1.6551,1.70156
2.68631,1.66814,2.42548
2.68631,1.68119,4.5313
2.68631,1.69423,5.19195
2.68631,1.70727,2.40458
2.68631,1.72032,5.0215
2.68631,1.73336,5.19071
2.68631,1.7464,4.00283
2.68631,1.75945,9.9309
2.68631,1.77249,7.37446
2.68631,1.78554,6.57027
2.68631,1.79858,2.08515
2.68631,1.81162,-3.1596
2.68631,1.82467,-1.01405
2.68631,1.83771,0.264753
2.68631,1.85075,-8.14419
2.68631,1.8638,-3.44803
2.68631,1.87684,-2.31927
2.68631,1.88988,-2.43638
2.68631,1.90293,0.713098
2.68631,1.91597,0.434652
2.68631,1.92901,1.75565
2.68631,1.94206,0.741363
2.68631,1.9551,1.63608
2.68631,1.96814,1.46033
2.68631,1.98119,0.991459
2.68631,1.99423,0.771553
2.68631,2.00727,0.546785
2.68631,2.02032,0.363766
2.68631,2.03336,-0.259052
2.68631,2.0464,-0.0268079
2.68631,2.05945,-0.58347
2.68631,2.07249,-0.514953
2.68631,2.08554,-1.38289
2.68631,2.09858,-1.20672
2.68631,2.11162,-0.906299
2.68631,2.12467,-0.865396
2.68631,2.13771,-0.713174
2.68631,2.15075,-0.847227
2.68631,2.1638,-0.487619
2.68631,2.17684,0.0364754
2.68631,2.18988,-1.01219
2.68631,2.20293,0.708296
2.68631,2.21597,1.69835
2.68631,2.22901,3.16201
2.68631,2.24206,3.28347
2.68631,2.2551,4.5902
2.68631,2.26814,8.80734
2.68631,2.28119,0.991002
2.68631,2.29423,-6.51684
2.68631,2.30727,-7.3173
2.68631,2.32032,-6.34046
2.68631,2.33336,-5.95232
2.68631,2.3464,-2.13704
2.68631,2.35945,-3.6461
2.68631,2.37249,-2.1162
2.69935,1.13336,11.8764
2.69935,1.1464,1.95145
2.69935,1.15945,0.105212
2.69935,1.17249,0.666022
2.69935,1.18554,1.10171
2.69935,1.19858,-0.108252
2.69935,1.21162,-0.860863
2.69935,1.22467,-0.561413
2.69935,1.23771,0.334532
2.69935,1.25075,-0.0919024
2.69935,1.2638,-0.44946
2.69935,1.27684,-1.94344
2.69935,1.28988,0.309789
2.69935,1.30293,-2.19316
2.69935,1.31597,-1.92398
2.69935,1.32901,-7.71452
2.69935,1.34206,-4.47062
2.69935,1.3551,-13.0614
2.69935,1.36814,-7.9643
2.69935,1.38119,-5.56424
2.69935,1.39423,-8.37201
2.69935,1.40727,-4.54184
2.69935,1.42032,-1.5635
2.69935,1.43336,-6.37085
2.69935,1.4464,-3.5856
2.69935,1.45945,-4.17757
2.69935,1.47249,-2.88264
2.69935,1.48554,-2.351
2.69935,1.49858,-2.91913
2.69935,1.51162,-1.68847
2.69935,1.52467,-1.21949
2.69935,1.53771,-0.669295
2.69935,1.55075,0.0518759
2.69935,1.5638,1.03608
2.69935,1.57684,1.50461
2.69935,1.58988,2.95534
2.69935,1.60293,2.57027
2.69935,1.61597,1.95269
2.69935,1.62901,2.46044
2.69935,1.64206,4.02573
2.69935,1.6551,2.48818
2.69935,1.66814,2.93565
2.69935,1.68119,4.88803
2.69935,1.69423,4.36741
2.69935,1.70727,6.41822
2.69935,1.72032,3.27171
2.69935,1.73336,5.73843
2.69935,1.7464,6.13538
2.69935,1.75945,8.96194
2.69935,1.77249,7.66271
2.69935,1.78554,6.38746
2.69935,1.79858,1.92882
2.69935,1.81162,8.32299
2.69935,1.82467,3.49999
2.69935,1.83771,2.18481
2.69935,1.85075,-6.40373
2.69935,1.8638,-1.79233
2.69935,1.87684,-2.29579
2.69935,1.88988,-3.60259
2.69935,1.90293,2.85244
2.69935,1.91597,3.5157
2.69935,1.92901,1.82336
2.69935,1.94206,-0.718961
2.69935,1.9551,1.93344
2.69935,1.96814,2.77329
2.69935,1.98119,-0.607095
2.69935,1.99423,-0.568591
2.69935,2.00727,-0.234391
2.69935,2.02032,-2.8602
2.69935,2.03336,-1.07686
2.69935,2.0464,-0.414295
2.69935,2.05945,0.61458
2.69935,2.07249,0.61458
2.69935,2.08554,-1.66557
2.69935,2.09858,-1.32155
2.69935,2.11162,-1.21242
2.69935,2.12467,-1.34038
2.69935,2.13771,-0.899006
2.69935,2.15075,-1.5911
2.69935,2.1638,-0.581345
