x,y,z
2.70019,1.14086,0.922011
2.70019,1.1539,0.922011
2.70019,1.16694,0.957641
2.70019,1.17999,1.09361
2.70019,1.19303,1.34688
2.70019,1.20607,1.00296
2.70019,1.21912,1.15686
2.70019,1.23216,1.05028
2.70019,1.2452,0.830061
2.70019,1.25825,0.802888
2.70019,1.27129,0.596488
2.70019,1.28433,0.429243
2.70019,1.29738,0.494047
2.70019,1.31042,0.394821
2.70019,1.32347,0.0994349
2.70019,1.33651,0.0842838
2.70019,1.34955,0.0662712
2.70019,1.3626,0.0927619
2.70019,1.37564,0.0920522
2.70019,1.38868,0.179571
2.71323,1.14086,0.698068
2.71323,1.1539,0.698068
2.71323,1.16694,0.682335
2.71323,1.17999,0.788156
2.71323,1.19303,0.936394
2.71323,1.20607,0.858703
2.71323,1.21912,0.868444
2.71323,1.23216,0.826347
2.71323,1.2452,0.61633
2.71323,1.25825,0.5639
2.71323,1.27129,0.449556
2.71323,1.28433,0.348461
2.71323,1.29738,0.262819
2.71323,1.31042,0.211203
2.71323,1.32347,0.128158
2.71323,1.33651,0.0854528
2.71323,1.34955,0.130544
2.71323,1.3626,0.143266
2.71323,1.37564,0.1649
2.71323,1.38868,0.236827
2.72627,1.14086,0.925371
2.72627,1.1539,0.925371
2.72627,1.16694,0.76635
2.72627,1.17999,0.723928
2.72627,1.19303,0.938322
2.72627,1.20607,0.58365
2.72627,1.21912,0.77219
2.72627,1.23216,0.635294
2.72627,1.2452,0.458182
2.72627,1.25825,0.451225
2.72627,1.27129,0.275093
2.72627,1.28433,0.24805
2.72627,1.29738,0.2228
2.72627,1.31042,0.194191
2.72627,1.32347,0.177319
2.72627,1.33651,0.272118
2.72627,1.34955,0.189689
2.72627,1.3626,0.272428
2.72627,1.37564,0.384339
2.72627,1.38868,0.409128
2.73932,1.14086,0.925371
2.73932,1.1539,0.925371
2.73932,1.16694,0.486178
2.73932,1.17999,0.514707
2.73932,1.19303,0.584525
2.73932,1.20607,0.435807
2.73932,1.21912,0.517838
2.73932,1.23216,0.409779
2.73932,1.2452,0.314786
2.73932,1.25825,0.314157
2.73932,1.27129,0.265146
2.73932,1.28433,0.296069
2.73932,1.29738,0.273468
2.73932,1.31042,0.182596
2.73932,1.32347,0.275703
2.73932,1.33651,0.315396
2.73932,1.34955,0.265872
2.73932,1.3626,0.319928
2.73932,1.37564,0.534068
2.73932,1.38868,0.501455
2.75236,1.14086,0.597011
2.75236,1.1539,0.597011
2.75236,1.16694,0.522053
2.75236,1.17999,0.4665
2.75236,1.19303,0.496108
2.75236,1.20607,0.374808
2.75236,1.21912,0.557509
2.75236,1.23216,0.339382
2.75236,1.2452,0.289375
2.75236,1.25825,0.243112
2.75236,1.27129,0.174954
2.75236,1.28433,0.250889
2.75236,1.29738,0.216137
2.75236,1.31042,0.15713
2.75236,1.32347,0.312219
2.75236,1.33651,0.323433
2.75236,1.34955,0.337094
2.75236,1.3626,0.534636
2.75236,1.37564,0.60373
2.75236,1.38868,0.521369
2.7654,1.14086,0.461873
2.7654,1.1539,0.461873
2.7654,1.16694,0.350766
2.7654,1.17999,0.28431
2.7654,1.19303,0.444569
2.7654,1.20607,0.312836
2.7654,1.21912,0.359222
2.7654,1.23216,0.218902
2.7654,1.2452,0.184232
2.7654,1.25825,0.186676
2.7654,1.27129,0.211308
2.7654,1.28433,0.276083
2.7654,1.29738,0.317836
2.7654,1.31042,0.189795
2.7654,1.32347,0.450234
2.7654,1.33651,0.653715
2.7654,1.34955,0.419444
2.7654,1.3626,0.635801
2.7654,1.37564,0.780219
2.7654,1.38868,0.831395
2.77845,1.14086,0.582259
2.77845,1.1539,0.582259
2.77845,1.16694,0.298264
2.77845,1.17999,0.181538
2.77845,1.19303,0.203179
2.77845,1.20607,0.162039
2.77845,1.21912,0.181889
2.77845,1.23216,0.124914
2.77845,1.2452,0.178909
2.77845,1.25825,0.200279
2.77845,1.27129,0.253309
2.77845,1.28433,0.468687
2.77845,1.29738,0.693359
2.77845,1.31042,0.371279
2.77845,1.32347,0.640366
2.77845,1.33651,0.82043
2.77845,1.34955,0.718625
2.77845,1.3626,0.830643
2.77845,1.37564,1.1214
2.77845,1.38868,1.11168
2.79149,1.14086,0.766417
2.79149,1.1539,0.766417
2.79149,1.16694,0.376898
2.79149,1.17999,0.379659
2.79149,1.19303,0.196218
2.79149,1.20607,0.226481
2.79149,1.21912,0.084276
2.79149,1.23216,0.128708
2.79149,1.2452,0.119857
2.79149,1.25825,0.164486
2.79149,1.27129,0.289466
2.79149,1.28433,0.302679
2.79149,1.29738,0.390646
2.79149,1.31042,0.448268
2.79149,1.32347,0.699754
2.79149,1.33651,0.697082
2.79149,1.34955,0.86509
2.79149,1.3626,1.04298
2.79149,1.37564,1.04207
2.79149,1.38868,1.07309
2.80453,1.14086,0.866145
2.80453,1.1539,0.866145
2.80453,1.16694,0.35246
2.80453,1.17999,0.275691
2.80453,1.19303,0.168706
2.80453,1.20607,0.115058
2.80453,1.21912,0.0701936
2.80453,1.23216,0.0583599
2.80453,1.2452,0.138507
2.80453,1.25825,0.193988
2.80453,1.27129,0.414308
2.80453,1.28433,0.601548
2.80453,1.29738,0.532042
2.80453,1.31042,0.628308
2.80453,1.32347,0.948218
2.80453,1.33651,1.53972
2.80453,1.34955,0.965508
2.80453,1.3626,1.10903
2.80453,1.37564,1.125
2.80453,1.38868,1.17805
2.81758,1.14086,1.27406
2.81758,1.1539,1.27406
2.81758,1.16694,0.356517
2.81758,1.17999,0.294929
2.81758,1.19303,0.171991
2.81758,1.20607,0.230904
2.81758,1.21912,0.0175502
2.81758,1.23216,0.049921
2.81758,1.2452,0.205968
2.81758,1.25825,0.194019
2.81758,1.27129,0.439323
2.81758,1.28433,0.392937
2.81758,1.29738,0.590258
2.81758,1.31042,0.523899
2.81758,1.32347,0.781569
2.81758,1.33651,1.06699
2.81758,1.34955,0.912243
2.81758,1.3626,1.22819
2.81758,1.37564,1.09939
2.81758,1.38868,1.16137
2.83062,1.14086,1.28158
2.83062,1.1539,1.28158
2.83062,1.16694,0.724958
2.83062,1.17999,0.473462
2.83062,1.19303,0.226546
2.83062,1.20607,0.206154
2.83062,1.21912,0.0643297
2.83062,1.23216,0.0565221
2.83062,1.2452,0.167378
2.83062,1.25825,0.147819
2.83062,1.27129,0.414531
2.83062,1.28433,0.475274
2.83062,1.29738,0.787437
2.83062,1.31042,0.746734
2.83062,1.32347,0.919404
2.83062,1.33651,0.698716
2.83062,1.34955,0.961081
2.83062,1.3626,1.15234
2.83062,1.37564,0.939418
2.83062,1.38868,1.20317
