x,y,z
2.70019,1.14086,-30.3526
2.70019,1.1539,-30.3526
2.70019,1.16694,-30.188
2.70019,1.17999,-29.6114
2.70019,1.19303,-28.7067
2.70019,1.20607,-29.9872
2.70019,1.21912,-29.3672
2.70019,1.23216,-29.7869
2.70019,1.2452,-30.8089
2.70019,1.25825,-30.9535
2.70019,1.27129,-32.244
2.70019,1.28433,-33.673
2.70019,1.29738,-33.0623
2.70019,1.31042,-34.036
2.70019,1.32347,-40.0246
2.70019,1.33651,-40.7426
2.70019,1.34955,-41.7868
2.70019,1.3626,-40.3263
2.70019,1.37564,-40.3597
2.70019,1.38868,-37.4576
2.71323,1.14086,-31.561
2.71323,1.1539,-31.561
2.71323,1.16694,-31.66
2.71323,1.17999,-31.0339
2.71323,1.19303,-30.2854
2.71323,1.20607,-30.6616
2.71323,1.21912,-30.6126
2.71323,1.23216,-30.8284
2.71323,1.2452,-32.1019
2.71323,1.25825,-32.488
2.71323,1.27129,-33.4722
2.71323,1.28433,-34.5785
2.71323,1.29738,-35.8034
2.71323,1.31042,-36.753
2.71323,1.32347,-38.9225
2.71323,1.33651,-40.6827
2.71323,1.34955,-38.8424
2.71323,1.3626,-38.4386
2.71323,1.37564,-37.8278
2.71323,1.38868,-36.2557
2.72627,1.14086,-30.3368
2.72627,1.1539,-30.3368
2.72627,1.16694,-31.1557
2.72627,1.17999,-31.403
2.72627,1.19303,-30.2765
2.72627,1.20607,-32.3385
2.72627,1.21912,-31.1228
2.72627,1.23216,-31.9703
2.72627,1.2452,-33.3896
2.72627,1.25825,-33.4561
2.72627,1.27129,-35.6052
2.72627,1.28433,-36.0546
2.72627,1.29738,-36.5209
2.72627,1.31042,-37.1177
2.72627,1.32347,-37.5124
2.72627,1.33651,-35.6524
2.72627,1.34955,-37.2196
2.72627,1.3626,-35.6475
2.72627,1.37564,-34.1529
2.72627,1.38868,-33.8814
2.73932,1.14086,-30.3368
2.73932,1.1539,-30.3368
2.73932,1.16694,-33.132
2.73932,1.17999,-32.8844
2.73932,1.19303,-32.332
2.73932,1.20607,-33.6071
2.73932,1.21912,-32.8581
2.73932,1.23216,-33.8745
2.73932,1.2452,-35.0198
2.73932,1.25825,-35.0285
2.73932,1.27129,-35.7651
2.73932,1.28433,-35.2861
2.73932,1.29738,-35.6309
2.73932,1.31042,-37.3851
2.73932,1.32347,-35.5956
2.73932,1.33651,-35.0114
2.73932,1.34955,-35.7533
2.73932,1.3626,-34.9495
2.73932,1.37564,-32.724
2.73932,1.38868,-32.9977
2.75236,1.14086,-32.2402
2.75236,1.1539,-32.2402
2.75236,1.16694,-32.8229
2.75236,1.17999,-33.3115
2.75236,1.19303,-33.0442
2.75236,1.20607,-34.2619
2.75236,1.21912,-32.5375
2.75236,1.23216,-34.6931
2.75236,1.2452,-35.3854
2.75236,1.25825,-36.1419
2.75236,1.27129,-37.5708
2.75236,1.28433,-36.0052
2.75236,1.29738,-36.6527
2.75236,1.31042,-38.0374
2.75236,1.32347,-35.0554
2.75236,1.33651,-34.9022
2.75236,1.34955,-34.7225
2.75236,1.3626,-32.7194
2.75236,1.37564,-32.1916
2.75236,1.38868,-32.8285
2.7654,1.14086,-33.3548
2.7654,1.1539,-33.3548
2.7654,1.16694,-34.5498
2.7654,1.17999,-35.4621
2.7654,1.19303,-33.5206
2.7654,1.20607,-35.0468
2.7654,1.21912,-34.4464
2.7654,1.23216,-36.5975
2.7654,1.2452,-37.3464
2.7654,1.25825,-37.2891
2.7654,1.27129,-36.7508
2.7654,1.28433,-35.5896
2.7654,1.29738,-34.978
2.7654,1.31042,-37.2172
2.7654,1.32347,-33.4656
2.7654,1.33651,-31.8461
2.7654,1.34955,-33.7733
2.7654,1.3626,-31.9668
2.7654,1.37564,-31.0778
2.7654,1.38868,-30.8019
2.77845,1.14086,-32.3488
2.77845,1.1539,-32.3488
2.77845,1.16694,-35.254
2.77845,1.17999,-37.4103
2.77845,1.19303,-36.9212
2.77845,1.20607,-37.9038
2.77845,1.21912,-37.4019
2.77845,1.23216,-39.0339
2.77845,1.2452,-37.4737
2.77845,1.25825,-36.9836
2.77845,1.27129,-35.9635
2.77845,1.28433,-33.2912
2.77845,1.29738,-31.5904
2.77845,1.31042,-34.303
2.77845,1.32347,-31.9357
2.77845,1.33651,-30.8596
2.77845,1.34955,-31.435
2.77845,1.3626,-30.8059
2.77845,1.37564,-29.5024
2.77845,1.38868,-29.5402
2.79149,1.14086,-31.1553
2.79149,1.1539,-31.1553
2.79149,1.16694,-34.2378
2.79149,1.17999,-34.2061
2.79149,1.19303,-37.0726
2.79149,1.20607,-36.4497
2.79149,1.21912,-40.743
2.79149,1.23216,-38.9039
2.79149,1.2452,-39.2134
2.79149,1.25825,-37.8387
2.79149,1.27129,-35.384
2.79149,1.28433,-35.1902
2.79149,1.29738,-34.0822
2.79149,1.31042,-33.4846
2.79149,1.32347,-31.5505
2.79149,1.33651,-31.5672
2.79149,1.34955,-30.6294
2.79149,1.3626,-29.8172
2.79149,1.37564,-29.821
2.79149,1.38868,-29.6936
2.80453,1.14086,-30.6241
2.80453,1.1539,-30.6241
2.80453,1.16694,-34.5289
2.80453,1.17999,-35.5958
2.80453,1.19303,-37.7287
2.80453,1.20607,-39.3908
2.80453,1.21912,-41.537
2.80453,1.23216,-42.3389
2.80453,1.2452,-38.5853
2.80453,1.25825,-37.1222
2.80453,1.27129,-33.8268
2.80453,1.28433,-32.2073
2.80453,1.29738,-32.7405
2.80453,1.31042,-32.0183
2.80453,1.32347,-30.2309
2.80453,1.33651,-28.1256
2.80453,1.34955,-30.1524
