x,y,z
2.6572,1.15134,0.822144
2.6572,1.17742,1.01783
2.6572,1.20351,1.4983
2.6572,1.2296,1.77249
2.6572,1.25568,1.9831
2.6572,1.28177,1.36113
2.6572,1.30786,1.17502
2.6572,1.33395,0.561518
2.6572,1.36003,0.477841
2.6572,1.38612,0.74492
2.6572,1.41221,1.48459
2.6572,1.43829,1.82066
2.6572,1.46438,2.27123
2.6572,1.49047,2.77937
2.6572,1.51655,2.94586
2.6572,1.54264,3.02836
2.6572,1.56873,2.9896
2.6572,1.59482,2.92464
2.6572,1.6209,2.67533
2.6572,1.64699,2.39487
2.6572,1.67308,1.93734
2.6572,1.69916,1.56679
2.6572,1.72525,1.19426
2.6572,1.75134,0.996467
2.6572,1.77742,0.872556
2.6572,1.80351,0.668535
2.6572,1.8296,0.573595
2.6572,1.85568,0.55079
2.6572,1.88177,0.514491
2.6572,1.90786,0.54009
2.68329,1.15134,0.926017
2.68329,1.17742,1.24846
2.68329,1.20351,1.46885
2.68329,1.2296,1.61867
2.68329,1.25568,1.45183
2.68329,1.28177,1.00404
2.68329,1.30786,0.534281
2.68329,1.33395,0.260122
2.68329,1.36003,0.242938
2.68329,1.38612,0.447779
2.68329,1.41221,0.929119
2.68329,1.43829,1.56643
2.68329,1.46438,2.25685
2.68329,1.49047,2.68948
2.68329,1.51655,3.34653
2.68329,1.54264,3.68916
2.68329,1.56873,3.7007
2.68329,1.59482,3.73432
2.68329,1.6209,3.45633
2.68329,1.64699,3.03924
2.68329,1.67308,2.38474
2.68329,1.69916,1.92524
2.68329,1.72525,1.37463
2.68329,1.75134,1.08971
2.68329,1.77742,0.785236
2.68329,1.80351,0.676327
2.68329,1.8296,0.583797
2.68329,1.85568,0.516698
2.68329,1.88177,0.538681
2.68329,1.90786,0.639197
2.68329,1.93395,0.780042
2.68329,1.96003,0.886223
2.68329,1.98612,1.01082
2.68329,2.01221,1.15014
2.68329,2.03829,1.17422
2.68329,2.06438,1.0502
2.68329,2.09047,1.06788
2.68329,2.11655,1.11224
2.68329,2.14264,0.909769
2.68329,2.16873,0.922224
2.68329,2.19482,0.582385
2.68329,2.2209,0.23588
2.68329,2.24699,0.187546
