x,y,z
2.67326,1.13336,2.1093
2.67326,1.1464,1.36137
2.67326,1.15945,1.36137
2.67326,1.17249,-0.263187
2.67326,1.18554,0.151654
2.67326,1.19858,-0.191257
2.67326,1.21162,-0.436843
2.67326,1.22467,-0.203037
2.67326,1.23771,-0.48924
2.67326,1.25075,0.292617
2.67326,1.2638,-0.0311896
2.67326,1.27684,-0.0906822
2.67326,1.28988,-0.623846
2.67326,1.30293,-0.807329
2.67326,1.31597,-2.77143
2.67326,1.32901,-3.06283
2.67326,1.34206,-2.77785
2.67326,1.3551,-2.66376
2.67326,1.36814,-3.34554
2.67326,1.38119,-1.74755
2.67326,1.39423,0.489616
2.67326,1.40727,0.410906
2.67326,1.42032,-0.177747
2.67326,1.43336,1.41663
2.67326,1.4464,0.891382
2.67326,1.45945,1.13082
2.67326,1.47249,1.55335
2.67326,1.48554,1.10917
2.67326,1.49858,1.65601
2.67326,1.51162,1.36428
2.67326,1.52467,1.42668
2.67326,1.53771,1.72666
2.67326,1.55075,1.89456
2.67326,1.5638,1.51072
2.67326,1.57684,1.98771
2.67326,1.58988,2.65057
2.67326,1.60293,2.27123
2.67326,1.61597,3.06732
2.67326,1.62901,3.90914
2.67326,1.64206,3.12108
2.67326,1.6551,3.12108
2.67326,1.66814,5.98948
2.67326,1.68119,5.98948
2.67326,1.69423,6.06633
2.67326,1.70727,6.75015
2.67326,1.72032,9.74059
2.67326,1.73336,9.98022
2.67326,1.7464,10.9127
2.67326,1.75945,13.1775
2.67326,1.77249,12.0812
2.67326,1.78554,11.5795
2.67326,1.79858,7.85966
2.67326,1.81162,6.35213
2.67326,1.82467,6.22866
2.67326,1.83771,4.0106
2.67326,1.85075,4.05394
2.67326,1.8638,1.26887
2.67326,1.87684,-1.64974
2.67326,1.88988,-1.34069
2.67326,1.90293,-3.10602
2.67326,1.91597,-3.74772
2.67326,1.92901,-2.77956
2.67326,1.94206,-3.22602
2.67326,1.9551,-3.2868
2.67326,1.96814,-2.86961
2.67326,1.98119,-2.82839
2.67326,1.99423,-3.16296
2.67326,2.00727,-2.77492
2.67326,2.02032,-3.14184
