x,y,z
2.70285,1.14482,0.810284
2.70285,1.15786,0.884545
2.70285,1.1709,0.976805
2.70285,1.18395,1.31196
2.70285,1.19699,1.13591
2.70285,1.21003,1.29767
2.70285,1.22308,1.28251
2.70285,1.23612,0.843378
2.70285,1.24916,1.19435
2.70285,1.26221,0.778757
2.70285,1.27525,0.585812
2.70285,1.28829,0.366226
2.70285,1.30134,0.293099
2.70285,1.31438,0.075594
2.70285,1.32742,0.142456
2.70285,1.34047,0.132575
2.70285,1.35351,0.223681
2.70285,1.36655,0.347239
2.70285,1.3796,0.309576
2.70285,1.39264,0.814661
2.7159,1.14482,0.833427
2.7159,1.15786,0.90917
2.7159,1.1709,1.205
2.7159,1.18395,1.2579
2.7159,1.19699,1.09939
2.7159,1.21003,1.23402
2.7159,1.22308,1.22447
2.7159,1.23612,0.897033
2.7159,1.24916,1.07926
2.7159,1.26221,0.656613
2.7159,1.27525,0.407193
2.7159,1.28829,0.306224
2.7159,1.30134,0.176409
2.7159,1.31438,0.0169364
2.7159,1.32742,0.0786254
2.7159,1.34047,0.096164
2.7159,1.35351,0.141072
2.7159,1.36655,0.389113
2.7159,1.3796,0.542853
2.7159,1.39264,0.87975
2.72894,1.14482,0.690337
2.72894,1.15786,0.921371
2.72894,1.1709,1.17953
2.72894,1.18395,1.1365
2.72894,1.19699,0.936815
2.72894,1.21003,1.07828
2.72894,1.22308,1.04214
2.72894,1.23612,0.475614
2.72894,1.24916,0.788564
2.72894,1.26221,0.329581
2.72894,1.27525,0.17484
2.72894,1.28829,0.140491
2.72894,1.30134,0.0976281
2.72894,1.31438,0.0552628
2.72894,1.32742,0.0540654
2.72894,1.34047,0.227856
2.72894,1.35351,0.253416
2.72894,1.36655,0.628329
2.72894,1.3796,0.603282
2.72894,1.39264,1.11314
2.74199,1.14482,0.674814
2.74199,1.15786,0.819111
2.74199,1.1709,1.09503
2.74199,1.18395,1.00729
2.74199,1.19699,0.816516
2.74199,1.21003,0.850535
2.74199,1.22308,0.823862
2.74199,1.23612,0.361132
2.74199,1.24916,0.539759
2.74199,1.26221,0.24788
2.74199,1.27525,0.173598
2.74199,1.28829,0.111458
2.74199,1.30134,0.0322451
2.74199,1.31438,0.095752
2.74199,1.32742,0.105893
2.74199,1.34047,0.309048
2.74199,1.35351,0.389015
2.74199,1.36655,0.745444
2.74199,1.3796,0.959349
2.74199,1.39264,1.27398
2.75503,1.14482,0.684151
2.75503,1.15786,0.873319
2.75503,1.1709,0.946846
2.75503,1.18395,0.946322
2.75503,1.19699,0.751861
2.75503,1.21003,0.796881
2.75503,1.22308,0.729566
2.75503,1.23612,0.404585
2.75503,1.24916,0.487309
2.75503,1.26221,0.309374
2.75503,1.27525,0.111558
2.75503,1.28829,0.0912375
2.75503,1.30134,0.0437586
2.75503,1.31438,0.182125
2.75503,1.32742,0.126979
2.75503,1.34047,0.276255
2.75503,1.35351,0.333519
2.75503,1.36655,0.73503
2.75503,1.3796,0.883896
2.75503,1.39264,1.17569
2.76807,1.14482,0.673774
2.76807,1.15786,0.769856
2.76807,1.1709,1.13184
2.76807,1.18395,1.0125
2.76807,1.19699,0.747481
2.76807,1.21003,0.583601
2.76807,1.22308,0.633414
2.76807,1.23612,0.209668
2.76807,1.24916,0.368553
2.76807,1.26221,0.135059
2.76807,1.27525,0.0570651
2.76807,1.28829,0.0657736
2.76807,1.30134,0.0958541
2.76807,1.31438,0.260957
2.76807,1.32742,0.283328
2.76807,1.34047,0.570104
2.76807,1.35351,0.658575
2.76807,1.36655,1.01331
2.76807,1.3796,1.26253
2.76807,1.39264,1.53638
2.78112,1.14482,0.708766
2.78112,1.15786,0.875846
2.78112,1.1709,0.982528
2.78112,1.18395,0.889347
2.78112,1.19699,0.707784
2.78112,1.21003,0.618533
2.78112,1.22308,0.542183
2.78112,1.23612,0.21095
2.78112,1.24916,0.271848
2.78112,1.26221,0.103294
2.78112,1.27525,0.0659058
2.78112,1.28829,0.082772
2.78112,1.30134,0.0921055
2.78112,1.31438,0.250425
2.78112,1.32742,0.253011
2.78112,1.34047,0.5923
2.78112,1.35351,0.683577
2.78112,1.36655,1.04509
2.78112,1.3796,1.24868
2.78112,1.39264,1.60798
2.79416,1.14482,0.654214
2.79416,1.15786,0.663233
2.79416,1.1709,0.674715
2.79416,1.18395,0.688981
2.79416,1.19699,0.487777
2.79416,1.21003,0.42878
2.79416,1.22308,0.349884
2.79416,1.23612,0.127542
2.79416,1.24916,0.15803
2.79416,1.26221,0.0508186
2.79416,1.27525,0.0467641
2.79416,1.28829,0.0764835
2.79416,1.30134,0.144515
2.79416,1.31438,0.324336
2.79416,1.32742,0.337533
2.79416,1.34047,0.493433
2.79416,1.35351,0.772857
2.79416,1.36655,1.00382
2.79416,1.3796,1.26264
2.79416,1.39264,1.43099
2.8072,1.14482,0.678592
2.8072,1.15786,0.729623
2.8072,1.1709,0.948844
2.8072,1.18395,0.662904
2.8072,1.19699,0.419545
2.8072,1.21003,0.299534
2.8072,1.22308,0.347332
2.8072,1.23612,0.0824062
2.8072,1.24916,0.124455
2.8072,1.26221,0.034587
2.8072,1.27525,0.0547971
2.8072,1.28829,0.0903833
