x,y,z
2.70285,1.14482,-30.9136
2.70285,1.15786,-30.5328
2.70285,1.1709,-30.1019
2.70285,1.18395,-28.8208
2.70285,1.19699,-29.4466
2.70285,1.21003,-28.8683
2.70285,1.22308,-28.9194
2.70285,1.23612,-30.7398
2.70285,1.24916,-29.2287
2.70285,1.26221,-31.086
2.70285,1.27525,-32.3224
2.70285,1.28829,-34.3625
2.70285,1.30134,-35.3298
2.70285,1.31438,-41.2151
2.70285,1.32742,-38.4632
2.70285,1.34047,-38.7754
2.70285,1.35351,-36.5037
2.70285,1.36655,-34.5937
2.70285,1.3796,-35.0923
2.70285,1.39264,-30.8902
2.7159,1.14482,-30.7913
2.7159,1.15786,-30.4135
2.7159,1.1709,-29.1901
2.7159,1.18395,-29.0035
2.7159,1.19699,-29.5885
2.7159,1.21003,-29.0868
2.7159,1.22308,-29.1205
2.7159,1.23612,-30.4719
2.7159,1.24916,-29.6687
2.7159,1.26221,-31.8269
2.7159,1.27525,-33.902
2.7159,1.28829,-35.1396
2.7159,1.30134,-37.5348
2.7159,1.31438,-47.7118
2.7159,1.32742,-41.0444
2.7159,1.34047,-40.1699
2.7159,1.35351,-38.5056
2.7159,1.36655,-34.0992
2.7159,1.3796,-32.6532
2.7159,1.39264,-30.5564
2.72894,1.14482,-31.6094
2.72894,1.15786,-30.3557
2.72894,1.1709,-29.2829
2.72894,1.18395,-29.4443
2.72894,1.19699,-30.2835
2.72894,1.21003,-29.6727
2.72894,1.22308,-29.8207
2.72894,1.23612,-33.2275
2.72894,1.24916,-31.0316
2.72894,1.26221,-34.8204
2.72894,1.27525,-37.5736
2.72894,1.28829,-38.5235
2.72894,1.30134,-40.1043
2.72894,1.31438,-42.5757
2.72894,1.32742,-42.6708
2.72894,1.34047,-36.4234
2.72894,1.35351,-35.9617
2.72894,1.36655,-32.0181
2.72894,1.3796,-32.1948
2.72894,1.39264,-29.5345
2.74199,1.14482,-31.7082
2.74199,1.15786,-30.8666
2.74199,1.1709,-29.6057
2.74199,1.18395,-29.9684
2.74199,1.19699,-30.8804
2.74199,1.21003,-30.7031
2.74199,1.22308,-30.8415
2.74199,1.23612,-34.4233
2.74199,1.24916,-32.678
2.74199,1.26221,-36.0576
2.74199,1.27525,-37.6046
2.74199,1.28829,-39.5289
2.74199,1.30134,-44.9154
2.74199,1.31438,-40.1885
2.74199,1.32742,-39.7513
2.74199,1.34047,-35.0997
2.74199,1.35351,-34.1003
2.74199,1.36655,-31.2759
2.74199,1.3796,-30.1802
2.74199,1.39264,-28.9484
2.75503,1.14482,-31.6485
2.75503,1.15786,-30.5883
2.75503,1.1709,-30.2372
2.75503,1.18395,-30.2396
2.75503,1.19699,-31.2386
2.75503,1.21003,-30.9861
2.75503,1.22308,-31.3694
2.75503,1.23612,-33.9299
2.75503,1.24916,-33.122
2.75503,1.26221,-35.0952
2.75503,1.27525,-39.525
2.75503,1.28829,-40.3983
2.75503,1.30134,-43.5894
2.75503,1.31438,-37.3963
2.75503,1.32742,-38.9627
2.75503,1.34047,-35.5869
2.75503,1.35351,-34.7688
2.75503,1.36655,-31.337
2.75503,1.3796,-30.536
2.75503,1.39264,-29.2971
2.76807,1.14482,-31.7149
2.76807,1.15786,-31.1359
2.76807,1.1709,-29.4622
