x,y,z
2.63192,1.12998,2.74954
2.63192,1.15607,3.15569
2.63192,1.18215,3.85693
2.63192,1.20824,4.00422
2.63192,1.23433,3.98214
2.63192,1.26041,3.2093
2.63192,1.2865,2.52985
2.63192,1.31259,1.54225
2.63192,1.33867,0.937272
2.63192,1.36476,0.720403
2.63192,1.39085,0.59846
2.63192,1.41693,0.772425
2.63192,1.44302,0.915514
2.63192,1.46911,1.18855
2.63192,1.4952,1.6107
2.63192,1.52128,1.84841
2.63192,1.54737,1.92647
2.63192,1.57346,1.83387
2.63192,1.59954,1.75538
2.63192,1.62563,1.55637
2.63192,1.65172,1.41587
2.65801,1.12998,3.04059
2.65801,1.15607,3.64648
2.65801,1.18215,4.25016
2.65801,1.20824,4.20356
2.65801,1.23433,3.82995
2.65801,1.26041,3.10785
2.65801,1.2865,2.25251
2.65801,1.31259,1.2912
2.65801,1.33867,0.616061
2.65801,1.36476,0.482826
2.65801,1.39085,0.486979
2.65801,1.41693,0.794238
2.65801,1.44302,1.09151
2.65801,1.46911,1.54371
2.65801,1.4952,2.10997
2.65801,1.52128,2.29696
2.65801,1.54737,2.43651
2.65801,1.57346,2.47098
2.65801,1.59954,1.87855
2.65801,1.62563,1.68947
2.65801,1.65172,1.3786
2.65801,1.6778,1.01009
2.65801,1.70389,0.81818
2.65801,1.72998,0.64823
2.65801,1.75607,0.533279
2.65801,1.78215,0.615594
2.65801,1.80824,0.594573
2.65801,1.83433,0.705873
2.65801,1.86041,0.81598
2.65801,1.8865,0.907057
2.65801,1.91259,1.2903
2.65801,1.93867,1.25172
2.65801,1.96476,1.17738
2.65801,1.99085,1.10633
2.65801,2.01693,0.989351
2.65801,2.04302,0.91449
2.65801,2.06911,1.04236
2.65801,2.0952,1.18851
2.65801,2.12128,1.50392
2.65801,2.14737,1.67549
2.65801,2.17346,1.76189
2.65801,2.19954,1.65205
2.65801,2.22563,1.50606
2.68409,1.12998,3.47185
2.68409,1.15607,3.98535
2.68409,1.18215,4.54437
2.68409,1.20824,4.3685
2.68409,1.23433,3.76635
2.68409,1.26041,2.84304
2.68409,1.2865,1.75936
2.68409,1.31259,0.87502
2.68409,1.33867,0.320309
2.68409,1.36476,0.253012
2.68409,1.39085,0.448637
2.68409,1.41693,0.912168
2.68409,1.44302,1.36036
2.68409,1.46911,2.07218
2.68409,1.4952,2.82541
2.68409,1.52128,3.17389
2.68409,1.54737,3.39906
2.68409,1.57346,3.70307
2.68409,1.59954,3.07657
2.68409,1.62563,3.08426
2.68409,1.65172,2.45619
2.68409,1.6778,1.83013
2.68409,1.70389,1.67087
2.68409,1.72998,1.12529
2.68409,1.75607,0.852744
2.68409,1.78215,0.83055
2.68409,1.80824,0.594443
2.68409,1.83433,0.629937
2.68409,1.86041,0.606469
2.68409,1.8865,0.64325
