x,y,z
2.67326,1.70727,7.44409
2.67326,1.72032,7.4348
2.67326,1.73336,9.15115
2.67326,1.7464,11.575
2.67326,1.75945,10.3909
2.67326,1.77249,12.0831
2.67326,1.78554,10.8373
2.67326,1.79858,7.46989
2.67326,1.81162,8.6114
2.67326,1.83771,4.94071
2.67326,1.8638,2.29334
2.67326,1.87684,0.355047
2.67326,1.88988,1.5478
2.67326,1.90293,-0.543022
2.67326,1.91597,0.0616078
2.67326,1.92901,-0.898058
2.67326,1.94206,-1.42024
2.67326,1.9551,-1.49312
2.67326,1.96814,-2.06129
2.67326,1.98119,-2.68793
2.67326,1.99423,-3.29729
2.67326,2.00727,-3.79489
2.67326,2.02032,-3.85343
2.67326,2.03336,-4.30985
2.67326,2.0464,-4.51124
2.67326,2.05945,-4.41035
2.67326,2.08554,-4.02665
2.67326,2.09858,-4.08578
2.67326,2.11162,-3.58923
2.67326,2.12467,-3.33119
2.67326,2.13771,-2.96748
2.67326,2.15075,-2.75367
2.67326,2.1638,-2.03883
2.67326,2.17684,-2.009
2.67326,2.18988,-1.40231
2.67326,2.20293,-0.185188
2.67326,2.21597,-0.359874
2.67326,2.24206,1.01026
2.67326,2.2551,3.62105
2.67326,2.26814,13.8098
2.67326,2.28119,8.33371
2.67326,2.29423,7.00779
2.67326,2.30727,3.03562
2.67326,2.32032,2.4118
2.67326,2.33336,1.01773
2.67326,2.3464,-0.0720204
2.67326,2.35945,-0.0366528
2.68631,1.15945,7.51878
2.68631,1.17249,6.34263
2.68631,1.18554,5.57342
2.68631,1.19858,4.59285
2.68631,1.21162,4.50752
2.68631,1.22467,3.75687
2.68631,1.23771,3.18687
2.68631,1.25075,3.58497
2.68631,1.2638,2.76165
2.68631,1.27684,2.47193
2.68631,1.28988,1.66603
2.68631,1.30293,0.922962
2.68631,1.31597,-0.0252411
2.68631,1.32901,-1.80833
2.68631,1.34206,-3.93129
2.68631,1.3551,-3.64413
2.68631,1.36814,-6.29548
2.68631,1.38119,-3.82263
2.68631,1.39423,-1.31618
2.68631,1.40727,-2.66717
2.68631,1.42032,-0.550423
2.68631,1.43336,-0.36203
2.68631,1.4464,0.00674916
2.68631,1.45945,0.397992
2.68631,1.47249,1.17782
2.68631,1.48554,0.600227
2.68631,1.49858,1.5669
2.68631,1.51162,1.00399
2.68631,1.52467,1.47208
2.68631,1.53771,1.86118
2.68631,1.55075,2.6678
2.68631,1.5638,2.16669
2.68631,1.57684,2.95868
2.68631,1.58988,2.48967
2.68631,1.60293,2.38638
2.68631,1.61597,3.50169
2.68631,1.62901,3.55289
2.68631,1.64206,3.01984
2.68631,1.68119,5.38608
2.68631,1.69423,6.26583
2.68631,1.70727,5.60274
2.68631,1.72032,7.43279
2.68631,1.73336,7.67261
2.68631,1.75945,11.8871
2.68631,1.78554,15.2482
2.68631,1.79858,9.27808
2.68631,1.81162,10.5209
2.68631,1.82467,7.57851
2.68631,1.83771,4.84217
2.68631,1.85075,2.92338
2.68631,1.8638,0.985023
2.68631,1.87684,-0.26038
2.68631,1.88988,0.391981
2.68631,1.90293,0.629069
2.68631,1.91597,0.190466
2.68631,1.92901,-0.655016
2.68631,1.94206,-1.33433
2.68631,1.9551,-1.32121
2.68631,1.96814,-2.09387
2.68631,1.98119,-2.16408
2.68631,1.99423,-3.16188
2.68631,2.00727,-3.52757
2.68631,2.02032,-3.49227
2.68631,2.03336,-3.9259
2.68631,2.0464,-3.68531
2.68631,2.05945,-3.75977
2.68631,2.07249,-2.80209
2.68631,2.08554,-3.59658
2.68631,2.09858,-2.87135
2.68631,2.11162,-2.46907
2.68631,2.12467,-2.57977
2.68631,2.13771,-2.30113
2.68631,2.15075,-2.3826
2.68631,2.1638,-1.78667
2.68631,2.17684,-1.91432
2.68631,2.18988,-2.5363
2.68631,2.20293,-0.758554
2.68631,2.21597,-0.0624751
2.68631,2.22901,0.937698
2.68631,2.24206,1.80635
2.68631,2.2551,2.72957
2.68631,2.26814,8.13033
2.68631,2.28119,3.2344
2.68631,2.29423,0.834409
2.68631,2.30727,0.509053
2.68631,2.32032,-0.585079
2.68631,2.33336,-1.25673
2.68631,2.3464,-0.264509
2.68631,2.35945,-0.644482
2.68631,2.37249,0.0234808
2.69935,1.1464,8.70192
2.69935,1.15945,6.69738
2.69935,1.17249,7.81727
2.69935,1.18554,6.4217
2.69935,1.19858,5.62661
2.69935,1.21162,6.38165
2.69935,1.22467,5.45868
2.69935,1.23771,5.03255
2.69935,1.25075,6.03229
2.69935,1.2638,4.25227
2.69935,1.27684,4.36026
2.69935,1.28988,4.79978
2.69935,1.30293,2.40669
2.69935,1.31597,2.25755
2.69935,1.32901,0.528171
2.69935,1.34206,-2.1772
2.69935,1.3551,-2.95254
2.69935,1.36814,-6.90188
2.69935,1.38119,-3.07321
2.69935,1.39423,-1.1343
2.69935,1.40727,-2.78706
2.69935,1.42032,-0.518862
2.69935,1.43336,-0.553801
2.69935,1.4464,-0.21074
2.69935,1.45945,0.63603
2.69935,1.47249,1.70472
2.69935,1.48554,0.853643
2.69935,1.49858,1.32461
2.69935,1.51162,1.93918
2.69935,1.52467,1.83638
2.69935,1.53771,2.38078
2.69935,1.55075,2.69646
2.69935,1.5638,2.64421
2.69935,1.57684,3.54074
2.69935,1.58988,4.5511
2.69935,1.60293,4.0946
2.69935,1.61597,3.57752
2.69935,1.62901,3.66858
2.69935,1.64206,4.32939
2.69935,1.6551,4.64026
2.69935,1.66814,4.22533
2.69935,1.68119,5.24002
2.69935,1.69423,5.3499
2.69935,1.70727,9.01186
2.69935,1.72032,5.18615
2.69935,1.73336,7.6877
2.69935,1.7464,10.7562
2.69935,1.75945,10.8764
2.69935,1.77249,10.2084
2.69935,1.78554,15.5703
2.69935,1.79858,13.6373
2.69935,1.81162,15.9232
2.69935,1.82467,11.1161
2.69935,1.83771,7.70555
