x,y,z
2.69062,1.12346,3.57114
2.69062,1.1365,3.57114
2.69062,1.14954,4.09008
2.69062,1.16259,4.0808
2.69062,1.17563,4.58016
2.69062,1.18867,5.03051
2.69062,1.20172,4.48178
2.69062,1.21476,4.3571
2.69062,1.2278,4.34152
2.69062,1.24085,3.64782
2.69062,1.25389,2.79499
2.69062,1.26693,2.39486
2.69062,1.27998,1.93964
2.69062,1.29302,1.13806
2.69062,1.30607,0.78726
2.69062,1.31911,0.656047
2.69062,1.33215,0.443603
2.69062,1.3452,0.207191
2.69062,1.35824,0.231946
2.69062,1.37128,0.132661
2.69062,1.38433,0.301606
2.70366,1.12346,3.75939
2.70366,1.1365,3.75939
2.70366,1.14954,4.83487
2.70366,1.16259,4.24338
2.70366,1.17563,4.74464
2.70366,1.18867,5.06269
2.70366,1.20172,4.61173
2.70366,1.21476,4.33797
2.70366,1.2278,4.15828
2.70366,1.24085,3.56044
2.70366,1.25389,2.64871
2.70366,1.26693,2.07916
2.70366,1.27998,1.71516
2.70366,1.29302,0.897275
2.70366,1.30607,0.929148
2.70366,1.31911,0.50012
2.70366,1.33215,0.38099
2.70366,1.3452,0.124307
2.70366,1.35824,0.164502
2.70366,1.37128,0.14913
2.70366,1.38433,0.336507
2.7167,1.12346,3.87197
2.7167,1.1365,3.87197
2.7167,1.14954,3.98238
2.7167,1.16259,4.38411
2.7167,1.17563,4.64757
2.7167,1.18867,4.94997
2.7167,1.20172,4.61292
2.7167,1.21476,4.10379
2.7167,1.2278,4.13206
2.7167,1.24085,3.34826
2.7167,1.25389,2.37668
2.7167,1.26693,1.86918
2.7167,1.27998,1.47755
2.7167,1.29302,0.782494
2.7167,1.30607,0.54943
2.7167,1.31911,0.357986
2.7167,1.33215,0.186712
2.7167,1.3452,0.0737403
2.7167,1.35824,0.131768
2.7167,1.37128,0.190971
2.7167,1.38433,0.411113
2.72975,1.12346,3.91693
2.72975,1.1365,3.91693
2.72975,1.14954,3.908
2.72975,1.16259,4.42585
2.72975,1.17563,4.54787
2.72975,1.18867,5.02651
2.72975,1.20172,4.55673
2.72975,1.21476,3.94469
2.72975,1.2278,3.78927
2.72975,1.24085,3.183
2.72975,1.25389,2.09673
2.72975,1.26693,1.73243
2.72975,1.27998,1.33588
2.72975,1.29302,0.609392
2.72975,1.30607,0.592422
2.72975,1.31911,0.282232
2.72975,1.33215,0.125089
2.72975,1.3452,0.0542955
2.72975,1.35824,0.148328
2.72975,1.37128,0.206496
2.72975,1.38433,0.529752
2.74279,1.12346,3.91833
2.74279,1.1365,3.91833
2.74279,1.14954,3.89051
2.74279,1.16259,4.38426
2.74279,1.17563,4.43522
2.74279,1.18867,4.50068
2.74279,1.20172,4.45139
2.74279,1.21476,3.75011
2.74279,1.2278,3.72308
2.74279,1.24085,2.97079
2.74279,1.25389,1.97435
2.74279,1.26693,1.75213
2.74279,1.27998,1.12796
2.74279,1.29302,0.521166
2.74279,1.30607,0.371582
2.74279,1.31911,0.21052
2.74279,1.33215,0.105959
2.74279,1.3452,0.0542729
2.74279,1.35824,0.186464
2.74279,1.37128,0.315281
2.74279,1.38433,0.606147
2.75583,1.12346,3.89239
2.75583,1.1365,3.89239
2.75583,1.14954,3.67287
2.75583,1.16259,4.29555
2.75583,1.17563,4.21963
2.75583,1.18867,4.25107
2.75583,1.20172,4.25158
2.75583,1.21476,3.50666
2.75583,1.2278,3.42011
2.75583,1.24085,2.6955
2.75583,1.25389,1.7471
2.75583,1.26693,1.23076
2.75583,1.27998,1.01835
2.75583,1.29302,0.48789
2.75583,1.30607,0.607863
2.75583,1.31911,0.149607
2.75583,1.33215,0.0972297
2.75583,1.3452,0.0805892
2.75583,1.35824,0.237008
2.75583,1.37128,0.321058
2.75583,1.38433,0.66335
2.76888,1.12346,3.83904
2.76888,1.1365,3.83904
2.76888,1.14954,3.27584
2.76888,1.16259,4.11391
2.76888,1.17563,3.97453
2.76888,1.18867,3.76906
2.76888,1.20172,3.90783
2.76888,1.21476,3.1869
2.76888,1.2278,3.02434
2.76888,1.24085,2.42711
2.76888,1.25389,1.52404
2.76888,1.26693,1.08412
2.76888,1.27998,0.816657
2.76888,1.29302,0.346358
2.76888,1.30607,0.156057
2.76888,1.31911,0.101116
2.76888,1.33215,0.0902432
2.76888,1.3452,0.0866101
2.76888,1.35824,0.282989
2.76888,1.37128,0.421004
2.76888,1.38433,0.676734
2.78192,1.12346,3.78988
2.78192,1.1365,3.78988
2.78192,1.14954,3.24215
2.78192,1.16259,3.9868
2.78192,1.17563,3.79803
2.78192,1.18867,3.49541
2.78192,1.20172,3.67256
2.78192,1.21476,2.96192
2.78192,1.2278,2.9413
2.78192,1.24085,2.23206
2.78192,1.25389,1.35599
2.78192,1.26693,1.27843
2.78192,1.27998,0.748253
2.78192,1.29302,0.366517
2.78192,1.30607,0.308655
2.78192,1.31911,0.0918237
2.78192,1.33215,0.0962255
2.78192,1.3452,0.0774024
2.78192,1.35824,0.26884
2.78192,1.37128,0.352461
2.78192,1.38433,0.634493
2.79496,1.12346,3.72756
2.79496,1.1365,3.72756
2.79496,1.14954,3.1916
2.79496,1.16259,3.84641
2.79496,1.17563,3.56877
2.79496,1.18867,3.45296
2.79496,1.20172,3.3522
2.79496,1.21476,2.56748
2.79496,1.2278,2.58748
2.79496,1.24085,1.91756
2.79496,1.25389,1.1428
2.79496,1.26693,0.869299
2.79496,1.27998,0.633282
2.79496,1.29302,0.291871
2.79496,1.30607,0.129672
2.79496,1.31911,0.0895237
2.79496,1.33215,0.103277
2.79496,1.3452,0.164247
2.79496,1.35824,0.288707
2.79496,1.37128,0.422377
2.79496,1.38433,0.609488
2.80801,1.12346,3.70915
2.80801,1.1365,3.70915
2.80801,1.14954,2.98121
2.80801,1.16259,3.58145
2.80801,1.17563,3.35769
2.80801,1.18867,2.8021
2.80801,1.20172,3.0231
2.80801,1.21476,2.30494
2.80801,1.2278,2.21708
2.80801,1.24085,1.74616
2.80801,1.25389,1.0412
2.80801,1.26693,0.762153
2.80801,1.27998,0.57902
2.80801,1.29302,0.276819
2.80801,1.30607,0.140516
2.80801,1.31911,0.100066
2.80801,1.33215,0.0873641
2.80801,1.3452,0.116608
2.80801,1.35824,0.255693
2.80801,1.37128,0.42194
2.80801,1.38433,0.410607
2.82105,1.12346,3.63217
2.82105,1.1365,3.66973
2.82105,1.14954,3.62547
2.82105,1.16259,3.5125
2.82105,1.17563,3.18856
2.82105,1.18867,3.01201
2.82105,1.20172,2.84248
2.82105,1.21476,2.13048
2.82105,1.2278,2.03859
2.82105,1.24085,1.61615
2.82105,1.25389,0.920525
2.82105,1.26693,0.70492
2.82105,1.27998,0.558537
2.82105,1.29302,0.273874
2.82105,1.30607,0.111598
2.82105,1.31911,0.106517
2.82105,1.33215,0.0692448
2.82105,1.3452,0.091214
2.82105,1.35824,0.218178
2.82105,1.37128,0.326768
2.82105,1.38433,0.397958
2.83409,1.12346,3.63217
2.83409,1.1365,3.66736
2.83409,1.14954,3.18316
2.83409,1.16259,3.29573
2.83409,1.17563,3.01495
2.83409,1.18867,2.6671
2.83409,1.20172,2.62344
2.83409,1.21476,1.94206
2.83409,1.2278,1.85675
2.83409,1.24085,1.4847
2.83409,1.25389,0.936627
2.83409,1.26693,0.648895
2.83409,1.27998,0.563976
2.83409,1.29302,0.277642
2.83409,1.30607,0.246598
2.83409,1.31911,0.125074
2.83409,1.33215,0.058103
2.83409,1.3452,0.051588
2.83409,1.35824,0.144614
2.83409,1.37128,0.205041
2.83409,1.38433,0.27293
2.84714,1.12346,3.72215
2.84714,1.1365,3.65205
2.84714,1.14954,3.10868
2.84714,1.16259,3.25111
2.84714,1.17563,2.83126
2.84714,1.18867,2.51197
2.84714,1.20172,2.4432
2.84714,1.21476,1.81521
2.84714,1.2278,1.70247
2.84714,1.24085,1.39445
2.84714,1.25389,0.884745
2.84714,1.26693,0.680185
2.84714,1.27998,0.557065
2.84714,1.29302,0.316967
2.84714,1.30607,0.163327
2.84714,1.31911,0.132508
2.84714,1.33215,0.0397947
2.84714,1.3452,0.038102
2.84714,1.35824,0.0878869
2.84714,1.37128,0.120591
2.84714,1.38433,0.25684
2.86018,1.12346,3.609
2.86018,1.1365,3.54737
2.86018,1.14954,3.11343
2.86018,1.16259,3.12904
2.86018,1.17563,2.71325
2.86018,1.18867,2.32818
2.86018,1.20172,2.31729
2.86018,1.21476,1.67662
2.86018,1.2278,1.4808
2.86018,1.24085,1.31591
2.86018,1.25389,0.801542
2.86018,1.26693,0.726183
2.86018,1.27998,0.569351
2.86018,1.29302,0.320176
2.86018,1.30607,0.255919
2.86018,1.31911,0.16294
2.86018,1.33215,0.06295
2.86018,1.3452,0.0357153
2.86018,1.35824,0.0441904
2.86018,1.37128,0.0457884
2.86018,1.38433,0.141769
2.87323,1.12346,3.609
2.87323,1.1365,3.6004
2.87323,1.14954,3.35906
2.87323,1.16259,3.06243
2.87323,1.17563,2.61535
2.87323,1.18867,2.3608
2.87323,1.20172,2.18905
2.87323,1.21476,1.6066
2.87323,1.2278,1.39687
2.87323,1.24085,1.2356
2.87323,1.25389,0.795302
2.87323,1.26693,0.690292
2.87323,1.27998,0.579845
2.87323,1.29302,0.384979
2.87323,1.30607,0.293898
2.87323,1.31911,0.174463
2.87323,1.33215,0.114462
2.87323,1.3452,0.0240964
2.87323,1.35824,0.0137995
2.87323,1.37128,0.0232926
2.87323,1.38433,0.0693058
2.88627,1.12346,3.92686
2.88627,1.1365,3.59772
2.88627,1.14954,3.22878
2.88627,1.16259,2.96241
2.88627,1.17563,2.56615
2.88627,1.18867,2.30561
2.88627,1.20172,2.06682
2.88627,1.21476,1.57084
2.88627,1.2278,1.36602
2.88627,1.24085,1.17541
2.88627,1.25389,0.825954
2.88627,1.26693,0.740493
2.88627,1.27998,0.602985
2.88627,1.29302,0.474281
2.88627,1.30607,0.401067
2.88627,1.31911,0.249908
2.88627,1.33215,0.235905
2.88627,1.3452,0.169131
2.88627,1.35824,0.0253987
2.88627,1.37128,0.0628363
2.88627,1.38433,0.00989233
2.89931,1.12346,3.99011
2.89931,1.1365,3.61307
2.89931,1.14954,3.61307
2.89931,1.16259,2.92747
2.89931,1.17563,2.50488
2.89931,1.18867,2.19025
2.89931,1.20172,2.02181
2.89931,1.21476,1.52634
2.89931,1.2278,1.2657
2.89931,1.24085,1.14308
2.89931,1.25389,0.860674
2.89931,1.26693,0.793721
2.89931,1.27998,0.627212
2.89931,1.29302,0.56822
2.89931,1.30607,0.496538
2.89931,1.31911,0.356117
2.89931,1.33215,0.327897
2.89931,1.3452,0.216834
2.89931,1.35824,0.0975519
2.89931,1.37128,0.225177
2.89931,1.38433,0.0763741
2.91236,1.12346,3.9284
2.91236,1.1365,3.53751
2.91236,1.14954,3.45469
2.91236,1.16259,2.8826
2.91236,1.17563,2.49888
2.91236,1.18867,2.41521
2.91236,1.20172,1.98099
2.91236,1.21476,1.49741
2.91236,1.2278,1.42824
2.91236,1.24085,1.13992
2.91236,1.25389,0.892334
2.91236,1.26693,0.802145
2.91236,1.27998,0.666352
2.91236,1.29302,0.655116
2.91236,1.30607,0.646422
2.91236,1.31911,0.454241
2.91236,1.33215,0.495995
2.91236,1.3452,0.395344
2.91236,1.35824,0.231235
2.91236,1.37128,0.390069
2.91236,1.38433,0.248183
2.9254,1.12346,3.9284
2.9254,1.1365,3.48248
2.9254,1.14954,3.44755
2.9254,1.16259,2.92418
2.9254,1.17563,2.46527
2.9254,1.18867,2.5428
2.9254,1.20172,1.96426
2.9254,1.21476,1.5256
2.9254,1.2278,1.39607
2.9254,1.24085,1.15119
2.9254,1.25389,0.920686
2.9254,1.26693,0.91564
2.9254,1.27998,0.729634
2.9254,1.29302,0.745036
2.9254,1.30607,0.741783
2.9254,1.31911,0.614781
2.9254,1.33215,0.641641
2.9254,1.3452,0.645587
2.9254,1.35824,0.436364
2.9254,1.37128,0.591222
2.9254,1.38433,0.302914
2.93844,1.12346,3.56405
2.93844,1.1365,3.35685
2.93844,1.14954,3.63673
2.93844,1.16259,2.86151
2.93844,1.17563,2.35467
2.93844,1.18867,2.67159
2.93844,1.20172,1.89989
2.93844,1.21476,1.40094
2.93844,1.2278,1.43098
2.93844,1.24085,1.16057
2.93844,1.25389,0.914097
2.93844,1.26693,1.00068
2.93844,1.27998,0.795615
2.93844,1.29302,0.816277
2.93844,1.30607,0.892053
2.93844,1.31911,0.73151
2.93844,1.33215,0.824987
2.93844,1.3452,0.769749
2.93844,1.35824,0.661344
2.93844,1.37128,0.859474
2.93844,1.38433,0.437031
2.95149,1.12346,3.40726
2.95149,1.1365,3.13458
2.95149,1.14954,2.8497
2.95149,1.16259,2.71801
2.95149,1.17563,2.17391
2.95149,1.18867,1.9926
2.95149,1.20172,1.80983
2.95149,1.21476,1.28352
2.95149,1.2278,1.14235
2.95149,1.24085,1.08272
2.95149,1.25389,0.85036
2.95149,1.26693,0.899144
2.95149,1.27998,0.816287
2.95149,1.29302,0.871465
2.95149,1.30607,0.967099
2.95149,1.31911,0.900223
2.95149,1.33215,1.03121
2.95149,1.3452,1.08334
2.95149,1.35824,0.953317
2.95149,1.37128,1.12918
2.95149,1.38433,0.902688
2.96453,1.12346,2.97579
2.96453,1.1365,2.83083
2.96453,1.14954,2.85532
2.96453,1.16259,2.61604
2.96453,1.17563,1.97749
2.96453,1.18867,1.78747
2.96453,1.20172,1.70473
2.96453,1.21476,1.09461
2.96453,1.2278,1.06215
2.96453,1.24085,1.02371
2.96453,1.25389,0.782107
2.96453,1.26693,0.852082
2.96453,1.27998,0.840594
2.96453,1.29302,0.908522
2.96453,1.30607,1.05761
2.96453,1.31911,1.01425
2.96453,1.33215,1.21888
2.96453,1.3452,1.37586
2.96453,1.35824,1.18114
2.96453,1.37128,1.47022
2.96453,1.38433,1.47022
2.97757,1.12346,2.85939
2.97757,1.1365,2.50298
2.97757,1.14954,2.4283
2.97757,1.16259,2.37106
2.97757,1.17563,1.72801
2.97757,1.18867,1.74912
2.97757,1.20172,1.50321
2.97757,1.21476,0.934186
2.97757,1.2278,0.950655
2.97757,1.24085,0.940695
2.97757,1.25389,0.720336
2.97757,1.26693,0.905777
2.97757,1.27998,0.854114
2.97757,1.29302,0.959777
2.97757,1.30607,1.15592
2.97757,1.31911,1.14881
2.97757,1.33215,1.41666
2.97757,1.3452,1.48933
2.97757,1.35824,1.47476
2.97757,1.37128,1.70644
