x,y,z
2.69062,1.12346,-24.4719
2.69062,1.1365,-24.4719
2.69062,1.14954,-23.8827
2.69062,1.16259,-23.8925
2.69062,1.17563,-23.3912
2.69062,1.18867,-22.9839
2.69062,1.20172,-23.4855
2.69062,1.21476,-23.608
2.69062,1.2278,-23.6236
2.69062,1.24085,-24.3797
2.69062,1.25389,-25.5362
2.69062,1.26693,-26.2072
2.69062,1.27998,-27.1228
2.69062,1.29302,-29.4384
2.69062,1.30607,-31.0388
2.69062,1.31911,-31.8307
2.69062,1.33215,-33.5301
2.69062,1.3452,-36.8363
2.69062,1.35824,-36.3461
2.69062,1.37128,-38.7726
2.69062,1.38433,-35.2056
2.70366,1.12346,-24.2488
2.70366,1.1365,-24.2488
2.70366,1.14954,-23.1562
2.70366,1.16259,-23.7229
2.70366,1.17563,-23.238
2.70366,1.18867,-22.9562
2.70366,1.20172,-23.3614
2.70366,1.21476,-23.6271
2.70366,1.2278,-23.8109
2.70366,1.24085,-24.485
2.70366,1.25389,-25.7697
2.70366,1.26693,-26.8211
2.70366,1.27998,-27.6569
2.70366,1.29302,-30.4707
2.70366,1.30607,-30.3192
2.70366,1.31911,-33.0093
2.70366,1.33215,-34.1909
2.70366,1.3452,-39.055
2.70366,1.35824,-37.8383
2.70366,1.37128,-38.2644
2.70366,1.38433,-34.7301
2.7167,1.12346,-24.1207
2.7167,1.1365,-24.1207
2.7167,1.14954,-23.9986
2.7167,1.16259,-23.5812
2.7167,1.17563,-23.3277
2.7167,1.18867,-23.054
2.7167,1.20172,-23.3602
2.7167,1.21476,-23.8681
2.7167,1.2278,-23.8383
2.7167,1.24085,-24.7518
2.7167,1.25389,-26.2403
2.7167,1.26693,-27.2835
2.7167,1.27998,-28.3046
2.7167,1.29302,-31.0652
2.7167,1.30607,-32.6009
2.7167,1.31911,-34.4613
2.7167,1.33215,-37.2883
2.7167,1.3452,-41.323
2.7167,1.35824,-38.8019
2.7167,1.37128,-37.1903
2.7167,1.38433,-33.8604
2.72975,1.12346,-24.0705
2.72975,1.1365,-24.0705
2.72975,1.14954,-24.0805
2.72975,1.16259,-23.54
2.72975,1.17563,-23.4219
2.72975,1.18867,-22.9873
2.72975,1.20172,-23.4135
2.72975,1.21476,-24.0399
2.72975,1.2278,-24.2144
2.72975,1.24085,-24.9716
2.72975,1.25389,-26.7846
2.72975,1.26693,-27.6135
2.72975,1.27998,-28.7423
2.72975,1.29302,-32.151
2.72975,1.30607,-32.2737
2.72975,1.31911,-35.4939
2.72975,1.33215,-39.0278
2.72975,1.3452,-42.6524
2.72975,1.35824,-38.2878
2.72975,1.37128,-36.8509
2.72975,1.38433,-32.7593
2.74279,1.12346,-24.069
2.74279,1.1365,-24.069
2.74279,1.14954,-24.0999
2.74279,1.16259,-23.581
2.74279,1.17563,-23.5309
2.74279,1.18867,-23.4672
2.74279,1.20172,-23.515
2.74279,1.21476,-24.2596
2.74279,1.2278,-24.291
2.74279,1.24085,-25.2713
2.74279,1.25389,-27.0458
2.74279,1.26693,-27.5643
2.74279,1.27998,-29.4771
2.74279,1.29302,-32.8302
2.74279,1.30607,-34.2995
2.74279,1.31911,-36.7671
2.74279,1.33215,-39.7486
2.74279,1.3452,-42.6542
2.74279,1.35824,-37.294
2.74279,1.37128,-35.013
2.74279,1.38433,-32.1742
2.75583,1.12346,-24.0978
2.75583,1.1365,-24.0978
2.75583,1.14954,-24.3499
2.75583,1.16259,-23.6698
2.75583,1.17563,-23.7473
2.75583,1.18867,-23.715
2.75583,1.20172,-23.7145
2.75583,1.21476,-24.5511
2.75583,1.2278,-24.6596
2.75583,1.24085,-25.6936
2.75583,1.25389,-27.5768
2.75583,1.26693,-29.0983
2.75583,1.27998,-29.921
2.75583,1.29302,-33.1168
2.75583,1.30607,-32.1619
2.75583,1.31911,-38.2505
2.75583,1.33215,-40.122
2.75583,1.3452,-40.9372
2.75583,1.35824,-36.2524
2.75583,1.37128,-34.9342
2.75583,1.38433,-31.7826
2.76888,1.12346,-24.1578
2.76888,1.1365,-24.1578
2.76888,1.14954,-24.8468
2.76888,1.16259,-23.8575
2.76888,1.17563,-24.0071
2.76888,1.18867,-24.2377
2.76888,1.20172,-24.0806
2.76888,1.21476,-24.9663
2.76888,1.2278,-25.1937
2.76888,1.24085,-26.1491
2.76888,1.25389,-28.17
2.76888,1.26693,-29.6492
2.76888,1.27998,-30.8796
2.76888,1.29302,-34.6047
2.76888,1.30607,-38.0672
2.76888,1.31911,-39.9518
2.76888,1.33215,-40.4459
2.76888,1.3452,-40.6243
2.76888,1.35824,-35.4823
2.76888,1.37128,-33.7571
2.76888,1.38433,-31.6958
2.78192,1.12346,-24.2137
2.78192,1.1365,-24.2137
2.78192,1.14954,-24.8917
2.78192,1.16259,-23.9938
2.78192,1.17563,-24.2044
2.78192,1.18867,-24.565
2.78192,1.20172,-24.3503
2.78192,1.21476,-25.2843
2.78192,1.2278,-25.3146
2.78192,1.24085,-26.5129
2.78192,1.25389,-28.6775
2.78192,1.26693,-28.9332
2.78192,1.27998,-31.2595
2.78192,1.29302,-34.3591
2.78192,1.30607,-35.1053
2.78192,1.31911,-40.3705
2.78192,1.33215,-40.1671
2.78192,1.3452,-41.1125
2.78192,1.35824,-35.7051
2.78192,1.37128,-34.5289
2.78192,1.38433,-31.9757
2.79496,1.12346,-24.2858
2.79496,1.1365,-24.2858
2.79496,1.14954,-24.9599
2.79496,1.16259,-24.1494
2.79496,1.17563,-24.4748
2.79496,1.18867,-24.6181
2.79496,1.20172,-24.7467
2.79496,1.21476,-25.9049
2.79496,1.2278,-25.8712
2.79496,1.24085,-27.1725
2.79496,1.25389,-29.4203
2.79496,1.26693,-30.6083
2.79496,1.27998,-31.984
2.79496,1.29302,-35.3481
2.79496,1.30607,-38.8715
2.79496,1.31911,-40.4806
2.79496,1.33215,-39.86
2.79496,1.3452,-37.845
2.79496,1.35824,-35.3954
2.79496,1.37128,-33.743
2.79496,1.38433,-32.1503
2.80801,1.12346,-24.3073
2.80801,1.1365,-24.3073
2.80801,1.14954,-25.2561
2.80801,1.16259,-24.4594
2.80801,1.17563,-24.7396
2.80801,1.18867,-25.5252
2.80801,1.20172,-25.1955
2.80801,1.21476,-26.3734
2.80801,1.2278,-26.5422
2.80801,1.24085,-27.5792
2.80801,1.25389,-29.8247
2.80801,1.26693,-31.1796
2.80801,1.27998,-32.3731
2.80801,1.29302,-35.578
2.80801,1.30607,-38.5228
2.80801,1.31911,-39.9971
2.80801,1.33215,-40.5867
2.80801,1.3452,-39.3327
2.80801,1.35824,-35.9228
2.80801,1.37128,-33.7475
2.80801,1.38433,-33.8657
2.82105,1.12346,-24.3983
2.82105,1.1365,-24.3537
2.82105,1.14954,-24.4064
2.82105,1.16259,-24.5438
2.82105,1.17563,-24.9641
2.82105,1.18867,-25.2114
2.82105,1.20172,-25.463
2.82105,1.21476,-26.7152
2.82105,1.2278,-26.9067
2.82105,1.24085,-27.9152
2.82105,1.25389,-30.3596
