x,y,z
2.72574,1.14254,0.943733
2.72574,1.15558,0.587597
2.72574,1.16862,0.469624
2.72574,1.18167,0.387996
2.72574,1.19471,0.309232
2.72574,1.20775,0.23822
2.72574,1.2208,0.187802
2.72574,1.23384,0.173858
2.72574,1.24688,0.150855
2.72574,1.25993,0.247827
2.72574,1.27297,0.315944
2.72574,1.28601,0.499444
2.72574,1.29906,0.832375
2.72574,1.3121,1.08679
2.72574,1.32514,1.33994
2.72574,1.33819,1.57222
2.72574,1.35123,2.03746
2.72574,1.36427,2.53987
2.72574,1.37732,3.05411
2.72574,1.39036,3.49481
2.72574,1.40341,3.93254
2.72574,1.41645,4.17166
2.72574,1.42949,4.64929
2.72574,1.44254,4.98957
2.72574,1.45558,5.45935
2.72574,1.46862,5.76528
2.72574,1.48167,6.08897
2.72574,1.49471,6.43602
2.72574,1.50775,6.56678
2.72574,1.5208,6.71055
2.72574,1.53384,6.95628
2.72574,1.54688,6.73631
2.72574,1.55993,6.62404
2.72574,1.57297,6.37009
2.72574,1.58601,6.12637
2.72574,1.59906,5.98583
2.72574,1.6121,5.66866
2.72574,1.62514,5.58213
2.72574,1.63819,5.09874
2.72574,1.65123,4.73792
2.72574,1.66427,4.44268
2.72574,1.67732,3.66373
2.72574,1.69036,3.01992
2.72574,1.70341,2.44627
2.72574,1.71645,2.07577
2.72574,1.72949,1.83086
2.72574,1.74254,1.47623
2.72574,1.75558,1.4096
2.72574,1.76862,1.52177
2.72574,1.78167,1.64894
2.72574,1.79471,2.11793
2.72574,1.80775,2.42108
2.72574,1.8208,2.73653
2.72574,1.83384,3.44086
2.72574,1.84688,4.00452
2.72574,1.85993,4.41305
2.72574,1.87297,4.69039
2.72574,1.88601,4.51871
2.72574,1.89906,4.36871
2.72574,1.9121,4.09446
2.72574,1.92514,4.21196
2.72574,1.93819,3.66842
2.72574,1.95123,2.96318
2.72574,1.96427,2.73373
2.72574,1.97732,1.89621
2.72574,1.99036,1.46416
2.72574,2.00341,1.14183
2.72574,2.01645,0.829322
2.72574,2.02949,0.626951
2.72574,2.04254,0.636929
2.72574,2.05558,0.708897
2.72574,2.06862,0.836855
2.72574,2.08167,1.01797
2.72574,2.09471,1.09477
2.72574,2.10775,1.38958
2.72574,2.1208,1.51989
2.72574,2.13384,1.61693
2.72574,2.14688,1.77552
2.72574,2.15993,1.7764
2.72574,2.17297,1.88744
2.72574,2.18601,1.82769
2.72574,2.19906,1.88452
2.72574,2.2121,1.98441
2.72574,2.22514,1.9554
2.72574,2.23819,2.03568
2.72574,2.25123,2.23388
2.72574,2.26427,2.36561
2.72574,2.27732,2.59961
2.72574,2.29036,2.91073
2.72574,2.30341,3.11628
2.72574,2.31645,3.34697
2.72574,2.32949,3.5499
2.72574,2.34254,3.78964
2.72574,2.35558,3.80927
2.72574,2.36862,3.80927
2.73878,1.14254,0.555922
2.73878,1.15558,0.581901
2.73878,1.16862,0.508683
2.73878,1.18167,0.377779
2.73878,1.19471,0.309889
2.73878,1.20775,0.306408
2.73878,1.2208,0.192576
2.73878,1.23384,0.215423
2.73878,1.24688,0.214444
2.73878,1.25993,0.312791
2.73878,1.27297,0.350141
2.73878,1.28601,0.5077
2.73878,1.29906,0.723149
2.73878,1.3121,1.16292
2.73878,1.32514,1.24659
2.73878,1.33819,1.8202
2.73878,1.35123,2.12324
2.73878,1.36427,2.37993
2.73878,1.37732,3.00444
2.73878,1.39036,3.14933
2.73878,1.40341,3.65576
2.73878,1.41645,4.0396
2.73878,1.42949,4.61562
2.73878,1.44254,4.56674
2.73878,1.45558,5.1812
2.73878,1.46862,5.67435
2.73878,1.48167,5.86693
2.73878,1.49471,6.34887
2.73878,1.50775,6.3064
2.73878,1.5208,6.61073
2.73878,1.53384,6.79784
2.73878,1.54688,6.71299
2.73878,1.55993,6.57477
2.73878,1.57297,6.47136
2.73878,1.58601,6.18474
2.73878,1.59906,5.87965
2.73878,1.6121,6.01311
2.73878,1.62514,5.35294
2.73878,1.63819,5.26734
2.73878,1.65123,4.90419
2.73878,1.66427,4.55483
2.73878,1.67732,4.17768
2.73878,1.69036,3.53646
2.73878,1.70341,3.05981
2.73878,1.71645,2.61708
2.73878,1.72949,2.08403
2.73878,1.74254,1.74241
2.73878,1.75558,1.71276
2.73878,1.76862,1.64216
2.73878,1.78167,1.66712
2.73878,1.79471,1.90804
2.73878,1.80775,2.20082
2.73878,1.8208,2.40568
2.73878,1.83384,2.61012
2.73878,1.84688,2.85465
2.73878,1.85993,3.19154
2.73878,1.87297,3.39225
2.73878,1.88601,3.16713
2.73878,1.89906,3.32142
2.73878,1.9121,2.68729
2.73878,1.92514,2.93037
2.73878,1.93819,2.7246
2.73878,1.95123,2.05389
2.73878,1.96427,1.81023
2.73878,1.97732,1.17315
2.73878,1.99036,1.13793
2.73878,2.00341,0.685256
2.73878,2.01645,0.728263
2.73878,2.02949,0.647436
2.73878,2.04254,0.71451
2.73878,2.05558,0.813369
2.73878,2.06862,0.983184
2.73878,2.08167,1.20116
2.73878,2.09471,1.35877
2.73878,2.10775,1.58182
2.73878,2.1208,1.74917
2.73878,2.13384,1.89423
2.73878,2.14688,1.94042
2.73878,2.15993,1.97254
2.73878,2.17297,1.96671
2.73878,2.18601,1.9572
2.73878,2.19906,1.92148
2.73878,2.2121,1.91859
2.73878,2.22514,1.95104
2.73878,2.23819,1.9121
2.73878,2.25123,2.18748
2.73878,2.26427,2.13027
2.73878,2.27732,2.43641
2.73878,2.29036,2.54768
2.73878,2.30341,2.63774
2.73878,2.31645,2.84726
2.73878,2.32949,3.02118
