x,y,z
2.72574,1.14254,-30.2515
2.72574,1.15558,-32.3092
2.72574,1.16862,-33.2825
2.72574,1.18167,-34.1117
2.72574,1.19471,-35.0972
2.72574,1.20775,-36.2302
2.72574,1.2208,-37.263
2.72574,1.23384,-37.5981
2.72574,1.24688,-38.2144
2.72574,1.25993,-36.0585
2.72574,1.27297,-35.0039
2.72574,1.28601,-33.0151
2.72574,1.29906,-30.7968
2.72574,1.3121,-29.6385
2.72574,1.32514,-28.7292
2.72574,1.33819,-28.0349
2.72574,1.35123,-26.9091
2.72574,1.36427,-25.9519
2.72574,1.37732,-25.1512
2.72574,1.39036,-24.5658
2.72574,1.40341,-24.0533
2.72574,1.41645,-23.7969
2.72574,1.42949,-23.3261
2.72574,1.44254,-23.0194
2.72574,1.45558,-22.6286
2.72574,1.46862,-22.3918
2.72574,1.48167,-22.1546
2.72574,1.49471,-21.9138
2.72574,1.50775,-21.8265
2.72574,1.5208,-21.7324
2.72574,1.53384,-21.5762
2.72574,1.54688,-21.7158
2.72574,1.55993,-21.7888
2.72574,1.57297,-21.9585
2.72574,1.58601,-22.128
2.72574,1.59906,-22.2288
2.72574,1.6121,-22.4652
2.72574,1.62514,-22.532
2.72574,1.63819,-22.9254
2.72574,1.65123,-23.2441
2.72574,1.66427,-23.5236
2.72574,1.67732,-24.3608
2.72574,1.69036,-25.2
2.72574,1.70341,-26.115
2.72574,1.71645,-26.8282
2.72574,1.72949,-27.3734
2.72574,1.74254,-28.3085
2.72574,1.75558,-28.509
2.72574,1.76862,-28.1765
2.72574,1.78167,-27.8279
2.72574,1.79471,-26.7409
2.72574,1.80775,-26.1599
2.72574,1.8208,-25.628
2.72574,1.83384,-24.6333
2.72574,1.84688,-23.9745
2.72574,1.85993,-23.5526
2.72574,1.87297,-23.2879
2.72574,1.88601,-23.4499
2.72574,1.89906,-23.5965
2.72574,1.9121,-23.878
2.72574,1.92514,-23.7552
2.72574,1.93819,-24.3552
2.72574,1.95123,-25.2824
2.72574,1.96427,-25.6324
2.72574,1.97732,-27.2211
