x,y,z
2.72574,1.12926,0.64068
2.72574,1.1423,0.64068
2.72574,1.15534,0.509225
2.72574,1.16839,0.423527
2.72574,1.18143,0.391652
2.72574,1.19447,0.311121
2.72574,1.20752,0.236756
2.72574,1.22056,0.243029
2.72574,1.2336,0.185475
2.72574,1.24665,0.180924
2.72574,1.25969,0.276281
2.72574,1.27273,0.325579
2.72574,1.28578,0.473301
2.72574,1.29882,0.822516
2.72574,1.31186,0.972443
2.72574,1.32491,1.36769
2.72574,1.33795,1.57059
2.72574,1.35099,2.02633
2.72574,1.36404,2.49471
2.72574,1.37708,2.99987
2.72574,1.39013,3.36636
2.73878,1.12926,0.923352
2.73878,1.1423,0.923352
2.73878,1.15534,0.766656
2.73878,1.16839,0.611577
2.73878,1.18143,0.579462
2.73878,1.19447,0.501811
2.73878,1.20752,0.364291
2.73878,1.22056,0.388416
2.73878,1.2336,0.30146
2.73878,1.24665,0.27532
2.73878,1.25969,0.350328
2.73878,1.27273,0.411548
2.73878,1.28578,0.555159
2.73878,1.29882,0.752311
2.73878,1.31186,1.00135
2.73878,1.32491,1.36943
2.73878,1.33795,1.8202
2.73878,1.35099,2.12324
2.73878,1.36404,2.36417
2.73878,1.37708,2.9424
2.73878,1.39013,3.14933
2.75182,1.12926,1.0786
2.75182,1.1423,1.0786
2.75182,1.15534,0.894183
2.75182,1.16839,0.706532
2.75182,1.18143,0.673286
2.75182,1.19447,0.563846
2.75182,1.20752,0.461832
2.75182,1.22056,0.451853
2.75182,1.2336,0.385174
2.75182,1.24665,0.377445
2.75182,1.25969,0.449838
2.75182,1.27273,0.491963
2.75182,1.28578,0.668466
2.75182,1.29882,0.880517
2.75182,1.31186,1.06144
2.75182,1.32491,1.32799
2.75182,1.33795,1.63217
2.75182,1.35099,1.96959
2.75182,1.36404,2.16891
2.75182,1.37708,2.63596
2.75182,1.39013,2.8989
2.76487,1.12926,1.21751
2.76487,1.1423,1.21751
2.76487,1.15534,1.04793
2.76487,1.16839,0.873488
2.76487,1.18143,0.790102
2.76487,1.19447,0.669625
2.76487,1.20752,0.572369
2.76487,1.22056,0.518613
2.76487,1.2336,0.457729
2.76487,1.24665,0.43772
2.76487,1.25969,0.451246
2.76487,1.27273,0.477869
2.76487,1.28578,0.615035
2.76487,1.29882,0.753139
2.76487,1.31186,0.918849
2.76487,1.32491,1.12287
2.76487,1.33795,1.12287
2.76487,1.35099,1.8551
2.76487,1.36404,1.81462
2.76487,1.37708,2.48416
2.76487,1.39013,2.48416
2.77791,1.12926,1.30375
2.77791,1.1423,1.30375
2.77791,1.15534,1.15635
2.77791,1.16839,0.995034
2.77791,1.18143,0.851459
2.77791,1.19447,0.780715
2.77791,1.20752,0.632883
2.77791,1.22056,0.551011
2.77791,1.2336,0.495215
2.77791,1.24665,0.447974
2.77791,1.25969,0.417795
2.77791,1.27273,0.451525
2.77791,1.28578,0.533661
2.77791,1.29882,0.645515
2.77791,1.31186,0.725119
2.77791,1.32491,0.884097
2.77791,1.33795,0.884097
2.77791,1.35099,1.59389
2.77791,1.36404,1.55622
2.77791,1.37708,2.06936
2.77791,1.39013,2.83685
2.79095,1.12926,1.25941
2.79095,1.1423,1.25941
2.79095,1.15534,1.08927
2.79095,1.16839,0.890252
2.79095,1.18143,0.757552
2.79095,1.19447,0.676835
2.79095,1.20752,0.582419
2.79095,1.22056,0.501309
2.79095,1.2336,0.456859
2.79095,1.24665,0.441418
2.79095,1.25969,0.399448
2.79095,1.27273,0.414767
2.79095,1.28578,0.501253
2.79095,1.29882,0.605228
2.79095,1.31186,0.595318
2.79095,1.32491,0.757228
2.79095,1.33795,1.3897
2.79095,1.35099,1.38774
2.79095,1.36404,1.34111
2.79095,1.37708,1.77576
2.79095,1.39013,1.96344
2.804,1.12926,1.20309
2.804,1.1423,1.20309
2.804,1.15534,1.0608
2.804,1.16839,0.902472
2.804,1.18143,0.727921
2.804,1.19447,0.659414
2.804,1.20752,0.563087
2.804,1.22056,0.470612
2.804,1.2336,0.419644
2.804,1.24665,0.397123
2.804,1.25969,0.380224
2.804,1.27273,0.359663
2.804,1.28578,0.419502
2.804,1.29882,0.467109
2.804,1.31186,0.477533
2.804,1.32491,0.560368
2.804,1.33795,1.16115
2.804,1.35099,1.15647
2.804,1.36404,1.08357
2.804,1.37708,1.44299
2.804,1.39013,1.54854
2.81704,1.12926,1.12759
2.81704,1.1423,1.12759
2.81704,1.15534,1.0427
2.81704,1.16839,0.842452
2.81704,1.18143,0.668975
2.81704,1.19447,0.610586
2.81704,1.20752,0.522736
2.81704,1.22056,0.42758
2.81704,1.2336,0.389632
2.81704,1.24665,0.36138
2.81704,1.25969,0.334251
2.81704,1.27273,0.302263
2.81704,1.28578,0.347162
2.81704,1.29882,0.316547
2.81704,1.31186,0.335534
2.81704,1.32491,0.422295
2.81704,1.33795,0.606631
2.81704,1.35099,0.824882
2.81704,1.36404,0.907727
2.81704,1.37708,1.03541
2.81704,1.39013,1.07332
2.83008,1.12926,1.00338
2.83008,1.1423,1.00338
2.83008,1.15534,0.865589
2.83008,1.16839,0.729407
2.83008,1.18143,0.558467
2.83008,1.19447,0.50782
2.83008,1.20752,0.466572
2.83008,1.22056,0.384442
2.83008,1.2336,0.338556
2.83008,1.24665,0.337012
2.83008,1.25969,0.297996
2.83008,1.27273,0.307396
2.83008,1.28578,0.31134
2.83008,1.29882,0.312245
2.83008,1.31186,0.291554
2.83008,1.32491,0.34172
2.83008,1.33795,0.631369
2.83008,1.35099,0.790134
2.83008,1.36404,0.665197
2.83008,1.37708,0.774119
2.83008,1.39013,0.881742
2.84313,1.12926,0.881543
2.84313,1.1423,0.881543
2.84313,1.15534,0.763312
2.84313,1.16839,0.63375
2.84313,1.18143,0.497637
2.84313,1.19447,0.444911
2.84313,1.20752,0.412296
2.84313,1.22056,0.341616
2.84313,1.2336,0.294203
2.84313,1.24665,0.309159
2.84313,1.25969,0.266945
2.84313,1.27273,0.28072
2.84313,1.28578,0.278087
2.84313,1.29882,0.28297
2.84313,1.31186,0.259442
2.84313,1.32491,0.294234
2.84313,1.33795,0.609976
2.84313,1.35099,0.651344
2.84313,1.36404,0.621939
2.84313,1.37708,0.673653
2.84313,1.39013,0.7576
2.85617,1.12926,0.763106
2.85617,1.1423,0.763106
2.85617,1.15534,0.711839
2.85617,1.16839,0.583267
2.85617,1.18143,0.461054
2.85617,1.19447,0.422662
2.85617,1.20752,0.375426
2.85617,1.22056,0.252912
2.85617,1.2336,0.281595
2.85617,1.24665,0.269697
2.85617,1.25969,0.259624
2.85617,1.27273,0.246613
2.85617,1.28578,0.252842
2.85617,1.29882,0.257724
2.85617,1.31186,0.254082
2.85617,1.32491,0.263165
2.85617,1.33795,0.493224
2.85617,1.35099,0.582587
2.85617,1.36404,0.430338
2.85617,1.37708,0.426033
2.85617,1.39013,0.426033
2.86922,1.12926,0.627697
2.86922,1.1423,0.627697
2.86922,1.15534,0.539756
2.86922,1.16839,0.457245
2.86922,1.18143,0.356746
2.86922,1.19447,0.330164
2.86922,1.20752,0.332005
2.86922,1.22056,0.249843
2.86922,1.2336,0.256734
2.86922,1.24665,0.266769
2.86922,1.25969,0.274107
2.86922,1.27273,0.2741
2.86922,1.28578,0.290146
2.86922,1.29882,0.27657
2.86922,1.31186,0.277803
2.86922,1.32491,0.306794
2.86922,1.33795,0.470935
2.86922,1.35099,0.524597
2.86922,1.36404,0.421172
2.86922,1.37708,0.418109
2.86922,1.39013,0.511059
2.88226,1.12926,0.501296
2.88226,1.1423,0.501296
2.88226,1.15534,0.430822
2.88226,1.16839,0.384998
2.88226,1.18143,0.306558
2.88226,1.19447,0.265229
2.88226,1.20752,0.280811
