x,y,z
2.72574,1.12926,-31.9336
2.72574,1.1423,-31.9336
2.72574,1.15534,-32.9309
2.72574,1.16839,-33.7312
2.72574,1.18143,-34.071
2.72574,1.19447,-35.0707
2.72574,1.20752,-36.257
2.72574,1.22056,-36.1434
2.72574,1.2336,-37.3172
2.72574,1.24665,-37.425
2.72574,1.25969,-35.5865
2.72574,1.27273,-34.8734
2.72574,1.28578,-33.2486
2.72574,1.29882,-30.8486
2.72574,1.31186,-30.1214
2.72574,1.32491,-28.6401
2.72574,1.33795,-28.0394
2.72574,1.35099,-26.9329
2.72574,1.36404,-26.0298
2.72574,1.37708,-25.229
2.72574,1.39013,-24.7284
2.73878,1.12926,-30.3463
2.73878,1.1423,-30.3463
2.73878,1.15534,-31.154
2.73878,1.16839,-32.1355
2.73878,1.18143,-32.3697
2.73878,1.19447,-32.9946
2.73878,1.20752,-34.3855
2.73878,1.22056,-34.107
2.73878,1.2336,-35.2077
2.73878,1.24665,-35.6016
2.73878,1.25969,-34.5553
2.73878,1.27273,-33.8558
2.73878,1.28578,-32.5558
2.73878,1.29882,-31.236
2.73878,1.31186,-29.9941
2.73878,1.32491,-28.6346
2.73878,1.33795,-27.3988
2.73878,1.35099,-26.73
2.73878,1.36404,-26.2632
2.73878,1.37708,-25.313
2.73878,1.39013,-25.0178
2.75182,1.12926,-29.6714
2.75182,1.1423,-29.6714
2.75182,1.15534,-30.4857
2.75182,1.16839,-31.5087
2.75182,1.18143,-31.718
2.75182,1.19447,-32.4884
2.75182,1.20752,-33.3552
2.75182,1.22056,-33.45
2.75182,1.2336,-34.1434
2.75182,1.24665,-34.2315
2.75182,1.25969,-33.4694
2.75182,1.27273,-33.0807
2.75182,1.28578,-31.7492
2.75182,1.29882,-30.5526
2.75182,1.31186,-29.7411
2.75182,1.32491,-28.768
2.75182,1.33795,-27.8723
2.75182,1.35099,-27.0562
2.75182,1.36404,-26.6376
2.75182,1.37708,-25.7906
2.75182,1.39013,-25.3777
2.76487,1.12926,-29.1453
2.76487,1.1423,-29.1453
2.76487,1.15534,-29.7967
2.76487,1.16839,-30.5874
2.76487,1.18143,-31.0232
2.76487,1.19447,-31.7417
2.76487,1.20752,-32.4232
2.76487,1.22056,-32.8516
2.76487,1.2336,-33.3939
2.76487,1.24665,-33.588
2.76487,1.25969,-33.4559
2.76487,1.27273,-33.2069
2.76487,1.28578,-32.111
2.76487,1.29882,-31.2312
2.76487,1.31186,-30.3676
2.76487,1.32491,-29.4967
2.76487,1.33795,-29.4967
2.76487,1.35099,-27.3163
2.76487,1.36404,-27.4121
2.76487,1.37708,-26.0482
2.76487,1.39013,-26.0482
2.77791,1.12926,-28.848
2.77791,1.1423,-28.848
2.77791,1.15534,-29.3691
2.77791,1.16839,-30.0216
2.77791,1.18143,-30.6984
2.77791,1.19447,-31.0751
2.77791,1.20752,-31.9868
2.77791,1.22056,-32.5884
2.77791,1.2336,-33.0521
2.77791,1.24665,-33.4875
2.77791,1.25969,-33.7904
2.77791,1.27273,-33.4532
2.77791,1.28578,-32.7273
2.77791,1.29882,-31.9009
2.77791,1.31186,-31.3959
2.77791,1.32491,-30.535
2.77791,1.33795,-30.535
2.77791,1.35099,-27.9754
2.77791,1.36404,-28.0793
2.77791,1.37708,-26.8416
2.77791,1.39013,-25.4716
2.79095,1.12926,-28.9983
2.79095,1.1423,-28.9983
2.79095,1.15534,-29.6287
2.79095,1.16839,-30.5049
2.79095,1.18143,-31.2059
2.79095,1.19447,-31.6952
2.79095,1.20752,-32.3476
2.79095,1.22056,-32.9989
2.79095,1.2336,-33.4022
2.79095,1.24665,-33.5515
2.79095,1.25969,-33.9854
2.79095,1.27273,-33.822
2.79095,1.28578,-32.9994
2.79095,1.29882,-32.1808
2.79095,1.31186,-32.2525
2.79095,1.32491,-31.2077
2.79095,1.33795,-28.5708
2.79095,1.35099,-28.5769
2.79095,1.36404,-28.7254
2.79095,1.37708,-27.5062
2.79095,1.39013,-27.0698
2.804,1.12926,-29.197
2.804,1.1423,-29.197
2.804,1.15534,-29.7436
2.804,1.16839,-30.4457
2.804,1.18143,-31.3792
2.804,1.19447,-31.8084
2.804,1.20752,-32.4942
2.804,1.22056,-33.2734
2.804,1.2336,-33.7712
2.804,1.24665,-34.0107
2.804,1.25969,-34.1996
2.804,1.27273,-34.441
2.804,1.28578,-33.7727
2.804,1.29882,-33.3058
2.804,1.31186,-33.21
2.804,1.32491,-32.5153
2.804,1.33795,-29.3511
2.804,1.35099,-29.3687
2.804,1.36404,-29.6514
2.804,1.37708,-28.4074
2.804,1.39013,-28.1008
2.81704,1.12926,-29.4785
2.81704,1.1423,-29.4785
2.81704,1.15534,-29.8184
2.81704,1.16839,-30.7445
2.81704,1.18143,-31.7459
2.81704,1.19447,-32.1425
2.81704,1.20752,-32.8172
2.81704,1.22056,-33.6898
2.81704,1.2336,-34.0934
2.81704,1.24665,-34.4204
2.81704,1.25969,-34.7593
2.81704,1.27273,-35.1961
2.81704,1.28578,-34.5947
2.81704,1.29882,-34.9956
2.81704,1.31186,-34.7426
2.81704,1.32491,-33.7438
2.81704,1.33795,-32.1708
2.81704,1.35099,-30.8361
2.81704,1.36404,-30.4204
2.81704,1.37708,-29.8489
2.81704,1.39013,-29.6927
2.83008,1.12926,-29.9853
2.83008,1.1423,-29.9853
2.83008,1.15534,-30.6269
2.83008,1.16839,-31.3703
2.83008,1.18143,-32.53
2.83008,1.19447,-32.9429
2.83008,1.20752,-33.3108
2.83008,1.22056,-34.1517
2.83008,1.2336,-34.7037
2.83008,1.24665,-34.7235
2.83008,1.25969,-35.2579
2.83008,1.27273,-35.123
2.83008,1.28578,-35.0677
2.83008,1.29882,-35.055
2.83008,1.31186,-35.3528
2.83008,1.32491,-34.6633
2.83008,1.33795,-31.9972
2.83008,1.35099,-31.023
2.83008,1.36404,-31.7705
2.83008,1.37708,-31.1119
2.83008,1.39013,-30.5466
2.84313,1.12926,-30.5476
2.84313,1.1423,-30.5476
2.84313,1.15534,-31.173
2.84313,1.16839,-31.9808
2.84313,1.18143,-33.0309
2.84313,1.19447,-33.5173
2.84313,1.20752,-33.8479
2.84313,1.22056,-34.6646
2.84313,1.2336,-35.3135
2.84313,1.24665,-35.0982
2.84313,1.25969,-35.7358
2.84313,1.27273,-35.5173
2.84313,1.28578,-35.5582
2.84313,1.29882,-35.4826
2.84313,1.31186,-35.8596
2.84313,1.32491,-35.3131
2.84313,1.33795,-32.1469
2.84313,1.35099,-31.8619
2.84313,1.36404,-32.0625
2.84313,1.37708,-31.7156
2.84313,1.39013,-31.2056
2.85617,1.12926,-31.1741
2.85617,1.1423,-31.1741
2.85617,1.15534,-31.4762
2.85617,1.16839,-32.3413
2.85617,1.18143,-33.3625
2.85617,1.19447,-33.7401
2.85617,1.20752,-34.2548
2.85617,1.22056,-35.9703
2.85617,1.2336,-35.5038
2.85617,1.24665,-35.6912
2.85617,1.25969,-35.8566
2.85617,1.27273,-36.0798
2.85617,1.28578,-35.9715
2.85617,1.29882,-35.8884
2.85617,1.31186,-35.9503
2.85617,1.32491,-35.7977
2.85617,1.33795,-33.0696
2.85617,1.35099,-32.3464
2.85617,1.36404,-33.6619
2.85617,1.37708,-33.7056
2.85617,1.39013,-33.7056
2.86922,1.12926,-32.0225
2.86922,1.1423,-32.0225
2.86922,1.15534,-32.678
2.86922,1.16839,-33.3985
2.86922,1.18143,-34.4764
2.86922,1.19447,-34.8127
