x,y,z
2.69118,1.13063,-3.4943
2.69118,1.14367,-4.85274
2.69118,1.15672,-6.19327
2.69118,1.16976,-7.25505
2.69118,1.1828,-8.74941
2.69118,1.19585,-10.064
2.69118,1.20889,-11.1588
2.69118,1.22193,-11.6837
2.69118,1.23498,-12.3581
2.69118,1.24802,-12.2664
2.69118,1.26107,-10.1013
2.69118,1.27411,-9.59716
2.69118,1.28715,-7.87264
2.69118,1.3002,1.53562
2.69118,1.31324,2.31696
2.69118,1.32628,3.35828
2.69118,1.33933,7.47329
2.69118,1.35237,8.59774
2.69118,1.36541,4.44398
2.69118,1.37846,5.18262
2.69118,1.3915,5.74323
2.70423,1.13063,-3.4943
2.70423,1.14367,-4.85274
2.70423,1.15672,-6.19327
2.70423,1.16976,-7.25505
2.70423,1.1828,-8.74941
2.70423,1.19585,-10.064
2.70423,1.20889,-11.1588
2.70423,1.22193,-11.6837
2.70423,1.23498,-12.3581
2.70423,1.24802,-11.9567
2.70423,1.26107,-11.2469
2.70423,1.27411,-10.7428
2.70423,1.28715,-5.77211
2.70423,1.3002,-1.57687
2.70423,1.31324,1.93622
2.70423,1.32628,2.97754
2.70423,1.33933,5.29614
2.70423,1.35237,8.59774
2.70423,1.36541,9.52373
2.70423,1.37846,12.64
2.70423,1.3915,12.4896
2.71727,1.13063,-3.4943
2.71727,1.14367,-4.85274
2.71727,1.15672,-6.19327
2.71727,1.16976,-7.25505
2.71727,1.1828,-8.74941
2.71727,1.19585,-10.064
2.71727,1.20889,-11.1588
2.71727,1.22193,-11.6837
2.71727,1.23498,-12.3581
2.71727,1.24802,-11.9567
2.71727,1.26107,-9.19205
2.71727,1.27411,-8.38943
2.71727,1.28715,-5.77211
2.71727,1.3002,-1.57687
2.71727,1.31324,0.216745
2.71727,1.32628,2.51948
2.71727,1.33933,5.29614
2.71727,1.35237,7.85977
2.71727,1.36541,10.7702
2.71727,1.37846,12.64
2.71727,1.3915,12.4896
2.73031,1.13063,-2.86398
2.73031,1.14367,-4.09802
2.73031,1.15672,-5.54299
2.73031,1.16976,-7.14869
2.73031,1.1828,-7.73562
2.73031,1.19585,-9.09746
2.73031,1.20889,-10.9601
2.73031,1.22193,-10.5646
2.73031,1.23498,-11.7545
2.73031,1.24802,-11.492
2.73031,1.26107,-9.59012
2.73031,1.27411,-8.37622
2.73031,1.28715,-5.38442
2.73031,1.3002,-3.08817
2.73031,1.31324,-0.613044
2.73031,1.32628,2.21991
2.73031,1.33933,5.98379
2.73031,1.35237,7.33431
2.73031,1.36541,9.59148
2.73031,1.37846,12.3836
2.73031,1.3915,13.4059
2.74336,1.13063,-1.74554
2.74336,1.14367,-2.71516
2.74336,1.15672,-4.31813
2.74336,1.16976,-6.25503
2.74336,1.1828,-7.16478
2.74336,1.19585,-8.76307
2.74336,1.20889,-9.99045
2.74336,1.22193,-10.3682
2.74336,1.23498,-10.9968
2.74336,1.24802,-11.1958
2.74336,1.26107,-10.2198
2.74336,1.27411,-8.63361
2.74336,1.28715,-6.51167
2.74336,1.3002,-4.84126
2.74336,1.31324,-2.38993
2.74336,1.32628,-0.445435
2.74336,1.33933,2.59891
2.74336,1.35237,3.33331
2.74336,1.36541,5.97047
2.74336,1.37846,8.66983
2.74336,1.3915,10.2133
2.7564,1.13063,-1.98905
2.7564,1.14367,-2.97356
2.7564,1.15672,-4.5438
2.7564,1.16976,-6.10138
2.7564,1.1828,-7.40156
2.7564,1.19585,-8.74657
2.7564,1.20889,-9.6731
2.7564,1.22193,-10.2725
2.7564,1.23498,-10.7638
2.7564,1.24802,-10.7357
2.7564,1.26107,-10.6416
2.7564,1.27411,-9.0569
2.7564,1.28715,-7.52038
2.7564,1.3002,-6.44517
2.7564,1.31324,-3.67016
2.7564,1.32628,-2.83751
2.7564,1.33933,-0.18807
2.7564,1.35237,1.26885
2.7564,1.36541,3.02255
2.7564,1.37846,6.08702
2.7564,1.3915,7.22647
2.76944,1.13063,-2.22539
2.76944,1.14367,-3.17501
2.76944,1.15672,-4.74575
2.76944,1.16976,-5.82535
2.76944,1.1828,-7.69807
2.76944,1.19585,-8.87576
2.76944,1.20889,-9.4181
2.76944,1.22193,-10.9431
2.76944,1.23498,-11.2641
2.76944,1.24802,-11.0258
2.76944,1.26107,-12.1348
2.76944,1.27411,-10.2415
2.76944,1.28715,-8.69065
2.76944,1.3002,-8.14644
2.76944,1.31324,-6.13736
2.76944,1.32628,-4.72282
2.76944,1.33933,-0.179042
2.76944,1.35237,-0.979317
2.76944,1.36541,0.44623
2.76944,1.37846,2.74473
2.76944,1.3915,4.61065
2.78249,1.13063,-2.86522
2.78249,1.14367,-3.97688
2.78249,1.15672,-5.53172
2.78249,1.16976,-6.62272
2.78249,1.1828,-8.30164
2.78249,1.19585,-9.09268
2.78249,1.20889,-9.97904
2.78249,1.22193,-11.3117
2.78249,1.23498,-11.6387
2.78249,1.24802,-11.6494
2.78249,1.26107,-12.8282
2.78249,1.27411,-11.5642
2.78249,1.28715,-10.5003
2.78249,1.3002,-9.69829
2.78249,1.31324,-7.93986
2.78249,1.32628,-6.77202
2.78249,1.33933,-2.70665
2.78249,1.35237,-3.07101
2.78249,1.36541,-1.96687
2.78249,1.37846,0.69032
2.78249,1.3915,1.65607
2.79553,1.13063,-3.92632
2.79553,1.14367,-4.784
2.79553,1.15672,-6.60073
