x,y,z
2.65697,1.12577,1e-06
2.65697,1.14208,1e-06
2.65697,1.15838,1e-06
2.65697,1.17468,1e-06
2.65697,1.19099,4e-06
2.65697,1.20729,4e-06
2.65697,1.2236,9e-06
2.65697,1.2399,1e-06
2.65697,1.25621,1e-06
2.65697,1.27251,4e-06
2.65697,1.28881,4e-06
2.65697,1.30512,9e-06
2.65697,1.32142,9e-06
2.65697,1.33773,0.002116
2.65697,1.35403,0.002116
2.65697,1.37034,0.025281
2.65697,1.38664,0.020736
2.65697,1.40295,0.020736
2.65697,1.41925,0.174724
2.65697,1.43555,0.063504
2.65697,1.45186,0.063504
2.65697,1.46816,0.063504
2.65697,1.48447,0.012769
2.65697,1.50077,0.093025
2.65697,1.51708,0.000256
2.65697,1.53338,0.000256
2.65697,1.54968,0.000256
2.65697,1.56599,9e-06
2.65697,1.58229,0.014161
2.65697,1.5986,0.014161
2.65697,1.6149,0.014161
2.65697,1.63121,4e-06
2.65697,1.64751,4e-06
2.65697,1.66381,4e-06
2.65697,1.68012,4e-06
2.65697,1.69642,4e-06
2.65697,1.71273,4e-06
2.65697,1.72903,0.045796
2.65697,1.74534,0.045796
2.65697,1.76164,0.0121
2.65697,1.77795,0.0121
2.65697,1.79425,0.0121
2.65697,1.81055,0.499849
2.65697,1.82686,0.499849
2.65697,1.84316,0.499849
2.65697,1.85947,0.488601
2.65697,1.87577,0.488601
2.65697,1.89208,0.488601
2.65697,1.90838,0.984064
2.65697,1.92468,0.705725
2.65697,1.94099,0.705725
2.65697,1.95729,0.705725
2.65697,1.9736,0.705725
2.65697,1.9899,0.531441
2.65697,2.00621,0.352852
2.65697,2.02251,0.352852
2.65697,2.03881,0.352852
2.65697,2.05512,0.352852
2.65697,2.07142,0.000324
2.65697,2.08773,1e-06
2.65697,2.10403,1e-06
2.65697,2.12034,1e-06
2.65697,2.13664,1e-06
2.65697,2.15295,0.000484
2.65697,2.16925,0.000484
2.65697,2.18555,0.000484
2.65697,2.20186,0.101124
2.65697,2.21816,0.101124
2.65697,2.23447,0.044104
2.65697,2.25077,0.044104
2.65697,2.26708,0.044104
2.65697,2.28338,0.044104
2.65697,2.29968,0.196249
2.65697,2.31599,0.196249
2.65697,2.33229,0.196249
2.65697,2.3486,0.196249
2.65697,2.3649,0.196249
2.67328,1.12577,1e-06
2.67328,1.14208,1e-06
2.67328,1.15838,1e-06
2.67328,1.17468,4e-06
2.67328,1.19099,0.000144
2.67328,1.20729,4e-06
2.67328,1.2236,9e-06
2.67328,1.2399,1e-06
2.67328,1.25621,1e-06
2.67328,1.27251,4e-06
2.67328,1.28881,4e-06
2.67328,1.30512,9e-06
2.67328,1.32142,0.002116
2.67328,1.33773,0.002116
2.67328,1.35403,0.002116
2.67328,1.37034,0.025281
2.67328,1.38664,0.020736
2.67328,1.40295,0.020736
2.67328,1.41925,0.174724
2.67328,1.43555,0.174724
2.67328,1.45186,0.063504
2.67328,1.46816,0.012769
2.67328,1.48447,0.012769
2.67328,1.50077,0.093025
2.67328,1.51708,0.093025
2.67328,1.53338,0.000256
2.67328,1.54968,9e-06
2.67328,1.56599,9e-06
2.67328,1.58229,0.014161
2.67328,1.5986,0.014161
2.67328,1.6149,0.014161
2.67328,1.63121,4e-06
2.67328,1.64751,4e-06
2.67328,1.66381,4e-06
2.67328,1.68012,4e-06
2.67328,1.69642,0.005929
2.67328,1.71273,0.005929
2.67328,1.72903,0.045796
2.67328,1.74534,0.045796
2.67328,1.76164,0.045796
2.67328,1.77795,0.0121
2.67328,1.79425,0.0121
2.67328,1.81055,0.499849
2.67328,1.82686,0.499849
2.67328,1.84316,0.499849
2.67328,1.85947,0.488601
2.67328,1.87577,0.488601
2.67328,1.89208,0.984064
2.67328,1.90838,0.984064
2.67328,1.92468,0.705725
2.67328,1.94099,0.705725
2.67328,1.95729,0.705725
2.67328,1.9736,0.531441
2.67328,1.9899,0.531441
2.67328,2.00621,0.352852
2.67328,2.02251,0.352852
2.67328,2.03881,0.352852
2.67328,2.05512,0.000324
2.67328,2.07142,0.000324
2.67328,2.08773,1e-06
2.67328,2.10403,1e-06
2.67328,2.12034,1e-06
2.67328,2.13664,1e-06
2.67328,2.15295,0.000484
2.67328,2.16925,0.000484
2.67328,2.18555,0.000484
2.67328,2.20186,0.101124
2.67328,2.21816,0.101124
2.67328,2.23447,0.044104
2.67328,2.25077,0.044104
2.67328,2.26708,0.044104
2.67328,2.28338,0.044104
2.67328,2.29968,0.273529
2.67328,2.31599,0.196249
2.67328,2.33229,0.196249
2.67328,2.3486,0.196249
2.67328,2.3649,0.196249
2.68958,1.12577,1e-06
2.68958,1.14208,4e-06
2.68958,1.15838,4e-06
2.68958,1.17468,4e-06
2.68958,1.19099,0.000144
2.68958,1.20729,0.000144
2.68958,1.2236,0.000144
2.68958,1.2399,1e-06
2.68958,1.25621,1e-06
2.68958,1.27251,4e-06
2.68958,1.28881,4e-06
2.68958,1.30512,0.000169
2.68958,1.32142,0.000169
2.68958,1.33773,0.002116
2.68958,1.35403,0.002116
2.68958,1.37034,0.025281
2.68958,1.38664,0.020736
2.68958,1.40295,0.020736
2.68958,1.41925,0.174724
2.68958,1.43555,0.403225
2.68958,1.45186,0.403225
2.68958,1.46816,0.012769
2.68958,1.48447,0.012769
2.68958,1.50077,0.093025
2.68958,1.51708,0.093025
2.68958,1.53338,9e-06
2.68958,1.54968,9e-06
2.68958,1.56599,9e-06
2.68958,1.58229,0.014161
2.68958,1.5986,0.014161
2.68958,1.6149,0.014161
