x,y,z
2.67261,1.14234,9e-06
2.67261,1.15864,9e-06
2.67261,1.17494,9e-06
2.67261,1.19125,5.05e-05
2.67261,1.20755,5.05e-05
2.67261,1.22386,5.05e-05
2.67261,1.24016,0.025281
2.67261,1.25647,0.025281
2.67261,1.27277,0.000625
2.67261,1.28907,8.1e-05
2.67261,1.30538,8.1e-05
2.67261,1.32168,8.1e-05
2.67261,1.33799,0.106929
2.67261,1.35429,0.106929
2.67261,1.3706,0.106929
2.67261,1.3869,0.106929
2.67261,1.40321,0.103041
2.67261,1.41951,0.103041
2.67261,1.43581,0.103041
2.67261,1.45212,0.000225
2.67261,1.46842,0.000225
2.67261,1.48473,0.000225
2.67261,1.50103,0.001936
2.67261,1.51734,0.001936
2.67261,1.53364,0.019881
2.67261,1.54994,0.019881
2.67261,1.56625,0.019881
2.67261,1.58255,0.219961
2.67261,1.59886,0.219961
2.67261,1.61516,0.219961
2.67261,1.63147,0.219961
2.67261,1.64777,0.264196
2.67261,1.66407,0.264196
2.67261,1.68038,0.264196
2.67261,1.69668,0.356409
2.67261,1.71299,0.356409
2.67261,1.72929,0.356409
2.67261,1.7456,0.142884
2.67261,1.7619,0.142884
2.67261,1.77821,0.036481
2.67261,1.79451,0.036481
2.67261,1.81081,0.036481
2.67261,1.82712,3.6e-05
2.67261,1.84342,3.6e-05
2.67261,1.85973,3.6e-05
2.67261,1.87603,3.6e-05
2.67261,1.89234,0.0003205
2.67261,1.90864,0.0003205
2.67261,1.92494,0.0003205
2.67261,1.94125,0.0003205
2.67261,1.95755,0.0003205
2.67261,1.97386,1.25e-05
2.67261,1.99016,1.25e-05
2.67261,2.00647,1.25e-05
2.67261,2.02277,1.25e-05
2.67261,2.03907,1.25e-05
2.67261,2.05538,9e-06
2.67261,2.07168,0.0025
2.67261,2.08799,0.0025
2.67261,2.10429,0.0025
2.67261,2.1206,0.0025
2.67261,2.1369,0.0025
2.67261,2.15321,0.188356
2.67261,2.16951,0.188356
2.67261,2.18581,0.252004
2.67261,2.20212,0.252004
2.67261,2.21842,0.252004
2.67261,2.23473,0.095481
2.67261,2.25103,0.095481
2.67261,2.26734,0.204304
2.67261,2.28364,0.204304
2.67261,2.29994,0.204304
2.67261,2.31625,0.000529
2.67261,2.33255,0.000529
2.67261,2.34886,0.000529
2.67261,2.36516,0.000529
2.68891,1.14234,9e-06
2.68891,1.15864,9e-06
2.68891,1.17494,9e-06
2.68891,1.19125,9e-06
2.68891,1.20755,5.05e-05
2.68891,1.22386,5.05e-05
2.68891,1.24016,0.025281
2.68891,1.25647,0.025281
2.68891,1.27277,0.025281
2.68891,1.28907,8.1e-05
2.68891,1.30538,8.1e-05
2.68891,1.32168,9e-06
2.68891,1.33799,0.106929
2.68891,1.35429,0.106929
2.68891,1.3706,0.106929
2.68891,1.3869,0.106929
2.68891,1.40321,0.103041
2.68891,1.41951,0.103041
2.68891,1.43581,0.103041
2.68891,1.45212,0.103041
2.68891,1.46842,0.000225
2.68891,1.48473,0.001936
