x,y,z
2.68513,1.14047,-51.2277
2.68513,1.17307,-51.4907
2.68513,1.20568,-51.6876
2.68513,1.23829,-20.2368
2.68513,1.2709,-19.9737
2.68513,1.30351,-19.6353
2.68513,1.33612,-9.43708
2.68513,1.36873,-8.29008
2.68513,1.40134,-7.95504
2.68513,1.43394,-8.2735
2.68513,1.46655,-9.28263
2.68513,1.49916,-27.3092
2.68513,1.53177,-27.482
2.68513,1.56438,-6.17037
2.68513,1.59699,-6.69108
2.68513,1.6296,-6.21405
2.68513,1.6622,-5.2402
2.68513,1.69481,-5.73756
2.68513,1.72742,-6.81231
2.68513,1.76003,-10.6581
2.68513,1.79264,-11.5157
2.68513,1.82525,-48.0815
2.68513,1.85786,-48.2836
2.68513,1.89047,-48.3282
2.68513,1.92307,-51.6294
2.68513,1.95568,-51.2721
2.68513,1.98829,-51.09
2.68513,2.0209,-50.7489
2.68513,2.05351,-50.5444
2.68513,2.08612,-28.2442
2.68513,2.11873,-28.1724
2.68513,2.15134,-8.09859
2.68513,2.18394,-8.11615
2.68513,2.21655,-8.25201
2.68513,2.24916,-9.48541
2.68513,2.28177,-9.70644
2.68513,2.31438,-35.8747
2.68513,2.34699,-36.2376
2.68513,2.3796,-36.525
2.71774,1.14047,-43.6417
2.71774,1.17307,-43.9036
2.71774,1.20568,-31.1751
2.71774,1.23829,-31.3008
2.71774,1.2709,-20.1091
2.71774,1.30351,-51.4057
2.71774,1.33612,-50.4482
2.71774,1.36873,-49.5324
2.71774,1.40134,-10.0541
2.71774,1.43394,-10.1595
2.71774,1.46655,-11.2868
2.71774,1.49916,-27.3143
2.71774,1.53177,-6.46044
2.71774,1.56438,-6.2362
2.71774,1.59699,-5.79293
2.71774,1.6296,-5.91464
2.71774,1.6622,-0.967689
2.71774,1.69481,-1.51588
2.71774,1.72742,-2.58852
2.71774,1.76003,-10.3391
2.71774,1.79264,-12.2096
2.71774,1.82525,-12.9301
2.71774,1.85786,-48.3679
2.71774,1.89047,-12.5046
2.71774,1.92307,-12.1901
2.71774,1.95568,-11.6731
2.71774,1.98829,-50.7174
2.71774,2.0209,-50.4067
2.71774,2.05351,-52.6345
2.71774,2.08612,-52.505
2.71774,2.11873,-8.15658
2.71774,2.15134,-8.30588
2.71774,2.18394,-8.36303
2.71774,2.21655,-8.45482
2.71774,2.24916,-9.54616
2.71774,2.28177,-9.02429
2.71774,2.31438,-9.27801
2.71774,2.34699,-36.2725
2.71774,2.3796,-63.8283
2.75034,1.14047,-44.0567
2.75034,1.17307,-44.1887
2.75034,1.20568,-31.3468
2.75034,1.23829,-55.3874
2.75034,1.2709,-43.2405
2.75034,1.30351,-42.7033
2.75034,1.33612,-50.468
2.75034,1.36873,-49.6806
2.75034,1.40134,-10.2582
2.75034,1.43394,-10.4558
2.75034,1.46655,-11.4689
2.75034,1.49916,1.59926
2.75034,1.53177,1.60513
2.75034,1.56438,-5.79365
2.75034,1.59699,-1.67188
2.75034,1.6296,-1.04785
2.75034,1.6622,-3.01188
