x,y,z
2.96045,1.48181,0.280614
2.96045,1.49485,0.25533
2.96045,1.5079,0.209895
2.96045,1.52094,0.222202
2.96045,1.53398,0.246427
2.96045,1.54703,0.290679
2.96045,1.56007,0.321586
2.96045,1.57312,0.310091
2.96045,1.58616,0.302264
2.96045,1.5992,0.342737
2.96045,1.61225,0.365987
2.96045,1.62529,0.37674
2.96045,1.63833,0.350257
2.96045,1.65138,0.338994
2.96045,1.66442,0.347142
2.96045,1.67746,0.256586
2.96045,1.69051,0.307412
2.96045,1.70355,0.302712
2.96045,1.71659,0.289796
2.96045,1.72964,0.305404
2.96045,1.74268,0.286005
2.96045,1.75572,0.24973
2.96045,1.76877,0.243222
2.96045,1.78181,0.139629
2.96045,1.79485,0.0948331
2.96045,1.8079,0.0636861
2.96045,1.82094,0.0528593
2.96045,1.83398,0.0381702
2.96045,1.84703,0.0395855
2.96045,1.86007,0.0264087
2.96045,1.87312,0.0121
2.96045,1.88616,0.0188773
2.96045,1.8992,0.0563519
2.96045,1.91225,0.0364066
2.96045,1.92529,0.020321
2.96045,1.93833,0.0266592
2.96045,1.95138,0.00973467
2.96045,1.96442,0.0105273
2.96045,1.97746,0.004139
2.96045,1.99051,0.0042248
2.96045,2.00355,0.00164325
2.96045,2.01659,0.0001799
2.96045,2.02964,8.06667e-05
2.96045,2.04268,0.0006126
2.96045,2.05572,0.000484083
2.96045,2.06877,0.000129333
2.96045,2.08181,2.5e-05
2.9735,1.48181,0.280614
2.9735,1.49485,0.260612
2.9735,1.5079,0.257815
2.9735,1.52094,0.265086
2.9735,1.53398,0.294137
2.9735,1.54703,0.281806
2.9735,1.56007,0.349902
2.9735,1.57312,0.320827
2.9735,1.58616,0.276799
2.9735,1.5992,0.359677
2.9735,1.61225,0.504663
2.9735,1.62529,0.403109
2.9735,1.63833,0.38663
2.9735,1.65138,0.368603
2.9735,1.66442,0.378777
2.9735,1.67746,0.277414
2.9735,1.69051,0.297004
2.9735,1.70355,0.298134
2.9735,1.71659,0.310135
2.9735,1.72964,0.253579
2.9735,1.74268,0.205488
2.9735,1.75572,0.271161
2.9735,1.76877,0.247576
2.9735,1.78181,0.171926
2.9735,1.79485,0.155767
2.9735,1.8079,0.104365
2.9735,1.82094,0.171486
2.9735,1.83398,0.115225
2.9735,1.84703,0.15233
2.9735,1.86007,0.129253
2.9735,1.87312,0.104134
2.9735,1.88616,0.106593
2.9735,1.8992,0.100167
2.9735,1.91225,0.120627
2.9735,1.92529,0.0571885
2.9735,1.93833,0.049284
2.9735,1.95138,0.035453
2.9735,1.96442,0.039364
2.9735,1.97746,0.030371
2.9735,1.99051,0.0101325
2.9735,2.00355,0.00208167
2.9735,2.01659,0.000148667
2.9735,2.02964,0.001325
2.9735,2.04268,0.003443
2.9735,2.05572,0.000241
2.9735,2.06877,0.00012175
2.9735,2.08181,1.06e-05
2.98654,1.48181,0.224458
2.98654,1.49485,0.357513
2.98654,1.5079,0.356304
2.98654,1.52094,0.293809
2.98654,1.53398,0.276725
2.98654,1.54703,0.276725
2.98654,1.56007,0.357274
2.98654,1.57312,0.474952
