x,y,z
2.68001,1.13469,-2.12658
2.68001,1.16729,-2.52557
2.68001,1.1999,-2.95818
2.68001,1.23251,-3.18904
2.68001,1.26512,-3.07572
2.68001,1.29773,-2.52703
2.68001,1.33034,-1.55488
2.68001,1.36295,-1.08279
2.68001,1.39556,-1.08215
2.68001,1.42816,-1.00369
2.68001,1.46077,-1.20083
2.68001,1.49338,-1.59903
2.68001,1.52599,-1.92847
2.68001,1.5586,-0.420245
2.68001,1.59121,-0.474496
2.68001,1.62382,0.552416
2.68001,1.65643,-0.126326
2.68001,1.68903,-1.10999
2.68001,1.72164,-2.7617
2.68001,1.75425,-4.94403
2.68001,1.78686,-9.43888
2.68001,1.81947,-13.1943
2.68001,1.85208,-16.9107
2.68001,1.88469,-19.2287
2.68001,1.91729,-19.6296
2.68001,1.9499,-27.854
2.68001,1.98251,-41.2636
2.68001,2.01512,-48.4348
2.68001,2.04773,-34.8571
2.68001,2.08034,-33.6248
2.68001,2.11295,-32.827
2.68001,2.14556,-32.9704
2.68001,2.17816,-32.9205
2.68001,2.21077,-33.1698
2.68001,2.24338,-33.8352
2.68001,2.27599,-33.9134
2.68001,2.3086,-34.7955
2.68001,2.34121,-35.1193
2.68001,2.37382,-49.2147
2.71262,1.13469,-2.32104
2.71262,1.16729,-2.95664
2.71262,1.1999,-2.72994
2.71262,1.23251,-2.91962
2.71262,1.26512,-3.12975
2.71262,1.29773,-2.77462
2.71262,1.33034,-1.8765
2.71262,1.36295,-1.12636
2.71262,1.39556,-0.83465
2.71262,1.42816,-0.882057
2.71262,1.46077,-1.34066
2.71262,1.49338,-1.36839
2.71262,1.52599,-1.78092
2.71262,1.5586,-0.238542
2.71262,1.59121,-0.504858
2.71262,1.62382,0.493535
2.71262,1.65643,0.253142
2.71262,1.68903,-0.377775
2.71262,1.72164,-1.23604
2.71262,1.75425,-3.90718
2.71262,1.78686,-9.39037
2.71262,1.81947,-12.9543
2.71262,1.85208,-16.8074
2.71262,1.88469,-19.2164
2.71262,1.91729,-19.223
2.71262,1.9499,-27.6551
2.71262,1.98251,-41.0176
2.71262,2.01512,-47.3361
2.71262,2.04773,-33.789
2.71262,2.08034,-32.9083
2.71262,2.11295,-32.8911
2.71262,2.14556,-32.6614
2.71262,2.17816,-32.4737
2.71262,2.21077,-32.6277
2.71262,2.24338,-33.6454
2.71262,2.27599,-33.5954
2.71262,2.3086,-34.8134
2.71262,2.34121,-48.1208
2.71262,2.37382,-49.1281
2.74522,1.13469,-3.63447
2.74522,1.16729,-3.74297
2.74522,1.1999,-3.34218
2.74522,1.23251,-3.48061
2.74522,1.26512,-3.58484
2.74522,1.29773,-3.29243
