x,y,z
2.66993,1.12493,4.55556e-06
2.66993,1.13798,4.55556e-06
2.66993,1.15102,1.29153e-05
2.66993,1.16406,1.3e-05
2.66993,1.17711,1.19792e-05
2.66993,1.19015,3.75385e-06
2.66993,1.20319,5.22727e-06
2.66993,1.21624,3.83636e-06
2.66993,1.22928,8.63636e-06
2.66993,1.24232,7.32558e-06
2.66993,1.25537,7.72549e-06
2.66993,1.26841,0.00131684
2.66993,1.28145,0.0124513
2.66993,1.2945,0.0404494
2.66993,1.30754,0.30739
2.66993,1.32058,0.306801
2.66993,1.33363,0.348251
2.66993,1.34667,0.680255
2.66993,1.35971,0.897037
2.66993,1.37276,1.02296
2.66993,1.3858,1.0609
2.66993,1.39884,1.20805
2.66993,1.41189,1.21486
2.66993,1.42493,0.78156
2.66993,1.43798,0.758027
2.66993,1.45102,0.645782
2.66993,1.46406,0.349702
2.66993,1.47711,0.300703
2.66993,1.49015,0.274182
2.66993,1.50319,0.205794
2.66993,1.51624,0.0871591
2.66993,1.52928,0.0445147
2.66993,1.54232,0.0381119
2.66993,1.55537,0.0240205
2.66993,1.56841,0.0232665
2.66993,1.58145,0.0517494
2.66993,1.5945,0.143679
2.66993,1.60754,0.226361
2.66993,1.62058,0.314717
2.66993,1.63363,0.447791
2.66993,1.64667,0.771778
2.66993,1.65971,0.894226
2.66993,1.67276,1.5372
2.66993,1.6858,2.50728
2.66993,1.69884,3.07633
2.66993,1.71189,4.29446
2.66993,1.72493,5.00999
2.66993,1.73798,5.22209
2.66993,1.75102,6.59386
2.66993,1.76406,7.21096
2.66993,1.77711,6.56631
2.66993,1.79015,6.77669
2.66993,1.80319,6.65813
2.66993,1.81624,5.68894
2.66993,1.82928,5.22294
2.66993,1.84232,4.58421
2.66993,1.85537,3.26969
2.66993,1.86841,2.17418
2.66993,1.88145,1.51844
2.66993,1.8945,0.754719
2.66993,1.90754,0.319628
2.66993,1.92058,0.143442
2.66993,1.93363,0.0722878
2.66993,1.94667,0.009884
2.66993,1.95971,0.000834667
2.66993,1.97276,4.67778e-05
2.66993,1.9858,3.63e-05
2.66993,1.99884,4.49091e-05
