x,y,z
2.68001,1.13469,-45.0748
2.68001,1.16729,-45.3444
2.68001,1.1999,-50.5081
2.68001,1.23251,-48.116
2.68001,1.26512,-23.1104
2.68001,1.29773,-4.29678
2.68001,1.33034,-0.0387743
2.68001,1.36295,4.28644
2.68001,1.39556,5.44163
2.68001,1.42816,3.74438
2.68001,1.46077,1.5564
2.68001,1.49338,-1.49251
2.68001,1.52599,-8.33297
2.68001,1.5586,-12.508
2.68001,1.59121,-4.63665
2.68001,1.62382,-0.54701
2.68001,1.65643,3.47641
2.68001,1.68903,6.97799
2.68001,1.72164,8.02611
2.68001,1.75425,8.14095
2.68001,1.78686,7.34968
2.68001,1.81947,5.54247
2.68001,1.85208,3.49828
2.68001,1.88469,-0.384218
2.68001,1.91729,-10.8649
2.68001,1.9499,-21.0455
2.68001,1.98251,-43.7574
2.68001,2.01512,-36.4569
2.68001,2.04773,-22.6427
2.68001,2.08034,-20.2249
2.68001,2.11295,-22.9013
2.68001,2.14556,-31.6702
2.68001,2.17816,-22.0586
2.68001,2.21077,-15.3364
2.68001,2.24338,-10.3915
2.68001,2.27599,-7.09895
2.68001,2.3086,-6.30105
2.68001,2.34121,-9.41956
2.68001,2.37382,-23.9191
2.71262,1.13469,-26.9973
2.71262,1.16729,-37.4519
2.71262,1.1999,-50.4973
2.71262,1.23251,-47.8483
2.71262,1.26512,-22.0705
2.71262,1.29773,-7.80021
2.71262,1.33034,-2.43304
2.71262,1.36295,0.524747
2.71262,1.39556,1.38017
2.71262,1.42816,-1.39657
2.71262,1.46077,-3.04423
2.71262,1.49338,-10.7706
2.71262,1.52599,-28.331
2.71262,1.5586,-32.4597
2.71262,1.59121,-21.5319
2.71262,1.62382,-15.0074
2.71262,1.65643,-8.26519
2.71262,1.68903,-2.93193
2.71262,1.72164,-0.456375
2.71262,1.75425,-0.558436
2.71262,1.78686,-3.32512
2.71262,1.81947,-4.97915
2.71262,1.85208,-9.34314
2.71262,1.88469,-15.081
2.71262,1.91729,-56.4596
2.71262,1.9499,-50.6503
2.71262,1.98251,-45.685
2.71262,2.01512,-44.3942
2.71262,2.04773,-48.0244
2.71262,2.08034,-50.9594
2.71262,2.11295,-55.5774
2.71262,2.14556,-49.1935
2.71262,2.17816,-48.2618
2.71262,2.21077,-50.6652
2.71262,2.24338,-41.6449
2.71262,2.27599,-27.439
2.71262,2.3086,-18.624
2.71262,2.34121,-15.3321
2.71262,2.37382,-32.7441
2.74522,1.13469,-18.6351
2.74522,1.16729,-23.1187
2.74522,1.1999,-33.6705
2.74522,1.23251,-32.6193
2.74522,1.26512,-19.0418
2.74522,1.29773,-13.8429
2.74522,1.33034,-12.2784
2.74522,1.36295,-6.99553
2.74522,1.39556,-6.35052
2.74522,1.42816,-13.2068
2.74522,1.46077,-11.5011
2.74522,1.49338,-32.5991
2.74522,1.52599,-46.3899
2.74522,1.5586,-45.8903
2.74522,1.59121,-42.7182
2.74522,1.62382,-42.5692
2.74522,1.65643,-39.0673
2.74522,1.68903,-36.3643
2.74522,1.72164,-27.5614
2.74522,1.75425,-23.1487
2.74522,1.78686,-34.3702
2.74522,1.81947,-36.2
2.74522,1.85208,-46.5142
2.74522,1.88469,-50.8755
2.74522,1.91729,-28.3307
2.74522,1.9499,-20.333
2.74522,1.98251,-13.6103
2.74522,2.01512,-17.3175
2.74522,2.04773,-24.9382
2.74522,2.08034,-45.9027
2.74522,2.11295,-46.0354
2.74522,2.14556,-44.8863
2.74522,2.17816,-45.4716
2.74522,2.21077,-45.0143
2.74522,2.24338,-46.5281
2.74522,2.27599,-46.1268
2.74522,2.3086,-44.6928
2.74522,2.34121,-33.8651
2.74522,2.37382,-49.7623
2.77783,1.13469,-19.9782
2.77783,1.16729,-23.5125
2.77783,1.1999,-24.4442
2.77783,1.23251,-17.0846
2.77783,1.26512,-11.2452
2.77783,1.29773,-9.01432
2.77783,1.33034,-11.251
2.77783,1.36295,-9.02999
2.77783,1.39556,-9.03784
2.77783,1.42816,-12.7911
2.77783,1.46077,-33.471
2.77783,1.49338,-46.8119
2.77783,1.52599,-46.3764
2.77783,1.5586,-46.0216
2.77783,1.59121,-42.8966
2.77783,1.62382,-42.6883
2.77783,1.65643,-35.4771
2.77783,1.68903,-36.8617
2.77783,1.72164,-32.8385
2.77783,1.75425,-35.7624
2.77783,1.78686,-40.7186
2.77783,1.81947,-35.7306
2.77783,1.85208,-31.8345
2.77783,1.88469,-15.0628
2.77783,1.91729,-7.03819
2.77783,1.9499,-5.3299
2.77783,1.98251,-4.52211
2.77783,2.01512,-6.8625
2.77783,2.04773,-19.8411
2.77783,2.08034,-45.9189
2.77783,2.11295,-45.8282
2.77783,2.14556,-37.0381
2.77783,2.17816,-32.5081
2.77783,2.21077,-45.1782
2.77783,2.24338,-48.3366
2.77783,2.27599,-47.1738
2.77783,2.3086,-46.8048
2.77783,2.34121,-50.0806
2.77783,2.37382,-49.298
2.81044,1.13469,-36.7314
2.81044,1.16729,-37.8374
2.81044,1.1999,-28.0696
2.81044,1.23251,-14.7589
2.81044,1.26512,-7.28844
2.81044,1.29773,-5.02404
2.81044,1.33034,-4.7462
2.81044,1.36295,-2.69144
2.81044,1.39556,-2.10527
2.81044,1.42816,-1.86477
2.81044,1.46077,-10.5908
2.81044,1.49338,-29.006
2.81044,1.52599,-45.7742
2.81044,1.5586,-45.4854
2.81044,1.59121,-36.1064
2.81044,1.62382,-20.6475
2.81044,1.65643,-10.6212
2.81044,1.68903,-8.13169
2.81044,1.72164,-6.6153
2.81044,1.75425,-8.1207
2.81044,1.78686,-11.1369
2.81044,1.81947,-11.2302
2.81044,1.85208,-10.3196
2.81044,1.88469,-6.34666
2.81044,1.91729,-3.49038
2.81044,1.9499,-1.93005
2.81044,1.98251,-2.29142
2.81044,2.01512,-6.96401
2.81044,2.04773,-21.0317
2.81044,2.08034,-51.3513
2.81044,2.11295,-54.8196
2.81044,2.14556,-29.1283
2.81044,2.17816,-20.3757
2.81044,2.21077,-19.0098
2.81044,2.24338,-31.1853
2.81044,2.27599,-49.1538
2.81044,2.3086,-46.8503
2.81044,2.34121,-50.2147
2.81044,2.37382,-49.9532
2.84305,1.13469,-49.0528
2.84305,1.16729,-50.8189
2.84305,1.1999,-35.7931
2.84305,1.23251,-16.6222
2.84305,1.26512,-6.77874
2.84305,1.29773,-3.2432
2.84305,1.33034,-2.34366
2.84305,1.36295,0.353518
2.84305,1.39556,0.390882
2.84305,1.42816,-0.292336
2.84305,1.46077,-4.20302
2.84305,1.49338,-18.794
2.84305,1.52599,-44.9727
2.84305,1.5586,-40.0675
2.84305,1.59121,-13.3492
2.84305,1.62382,-7.03405
2.84305,1.65643,-1.70361
2.84305,1.68903,-1.15283
2.84305,1.72164,-0.517621
2.84305,1.75425,-1.6013
2.84305,1.78686,-3.19748
2.84305,1.81947,-4.85246
2.84305,1.85208,-5.80017
2.84305,1.88469,-5.3166
2.84305,1.91729,-4.4349
2.84305,1.9499,-3.71897
2.84305,1.98251,-4.27984
2.84305,2.01512,-9.41351
2.84305,2.04773,-23.9495
2.84305,2.08034,-48.7426
2.84305,2.11295,-49.6245
2.84305,2.14556,-38.2569
2.84305,2.17816,-25.185
2.84305,2.21077,-20.3649
2.84305,2.24338,-24.9157
2.84305,2.27599,-46.3708
2.84305,2.3086,-48.0099
2.84305,2.34121,-50.0885
2.84305,2.37382,-49.3974
2.87566,1.13469,-48.862
2.87566,1.16729,-50.1733
2.87566,1.1999,-50.3745
2.87566,1.23251,-27.5104
2.87566,1.26512,-10.7157
2.87566,1.29773,-5.15836
2.87566,1.33034,-3.33063
2.87566,1.36295,-0.613621
2.87566,1.39556,-0.693577
2.87566,1.42816,-1.04044
2.87566,1.46077,-4.02447
2.87566,1.49338,-12.8841
2.87566,1.52599,-22.026
2.87566,1.5586,-20.0144
2.87566,1.59121,-5.39446
2.87566,1.62382,-2.5347
2.87566,1.65643,0.113581
2.87566,1.68903,0.783271
2.87566,1.72164,2.05439
2.87566,1.75425,0.349424
2.87566,1.78686,-2.69728
2.87566,1.81947,-4.5851
2.87566,1.85208,-8.63424
2.87566,1.88469,-9.41544
2.87566,1.91729,-9.1317
2.87566,1.9499,-9.95437
2.87566,1.98251,-10.5529
2.87566,2.01512,-18.2532
2.87566,2.04773,-31.4643
2.87566,2.08034,-49.5469
2.87566,2.11295,-50.5103
2.87566,2.14556,-49.0254
2.87566,2.17816,-36.3067
2.87566,2.21077,-20.5566
2.87566,2.24338,-28.9792
2.87566,2.27599,-45.1522
2.87566,2.3086,-45.0897
2.87566,2.34121,-46.9306
2.87566,2.37382,-47.6586
2.90827,1.13469,-47.445
2.90827,1.16729,-49.1682
2.90827,1.1999,-49.805
2.90827,1.23251,-51.8238
2.90827,1.26512,-24.1342
2.90827,1.29773,-9.92544
2.90827,1.33034,-8.97544
2.90827,1.36295,-5.16759
2.90827,1.39556,-5.36482
2.90827,1.42816,-4.03576
2.90827,1.46077,-7.32052
2.90827,1.49338,-17.0949
2.90827,1.52599,-24.7159
2.90827,1.5586,-12.1089
2.90827,1.59121,-2.55645
2.90827,1.62382,-1.43955
2.90827,1.65643,2.14507
2.90827,1.68903,2.49871
2.90827,1.72164,3.06514
2.90827,1.75425,1.03036
2.90827,1.78686,-3.19286
2.90827,1.81947,-4.79538
2.90827,1.85208,-12.7353
2.90827,1.88469,-19.004
2.90827,1.91729,-23.2737
2.90827,1.9499,-23.2355
2.90827,1.98251,-27.7558
2.90827,2.01512,-29.2749
2.90827,2.04773,-52.4833
2.90827,2.08034,-51.5792
2.90827,2.11295,-55.1704
2.90827,2.14556,-51.3314
2.90827,2.17816,-47.9363
2.90827,2.21077,-33.4182
2.90827,2.24338,-51.4904
2.90827,2.27599,-47.4852
2.90827,2.3086,-44.9892
2.90827,2.34121,-48.7722
2.90827,2.37382,-46.8618
2.94088,1.13469,-46.629
2.94088,1.16729,-48.1304
2.94088,1.1999,-48.4699
2.94088,1.23251,-48.9335
2.94088,1.26512,-50.0229
2.94088,1.29773,-32.3275
2.94088,1.33034,-24.1128
2.94088,1.36295,-15.3881
2.94088,1.39556,-12.8039
2.94088,1.42816,-10.0289
2.94088,1.46077,-12.9794
2.94088,1.49338,-14.5267
2.94088,1.52599,-12.174
2.94088,1.5586,-5.79309
2.94088,1.59121,-1.42611
2.94088,1.62382,0.791556
2.94088,1.65643,3.14795
2.94088,1.68903,3.57454
2.94088,1.72164,4.17777
2.94088,1.75425,2.58423
2.94088,1.78686,-0.697876
2.94088,1.81947,-3.57383
2.94088,1.85208,-7.17701
2.94088,1.88469,-11.9286
2.94088,1.91729,-24.1379
2.94088,1.9499,-45.4997
2.94088,1.98251,-48.9844
2.94088,2.01512,-49.3785
2.94088,2.04773,-49.6073
2.94088,2.08034,-50.3851
2.94088,2.11295,-53.0626
2.94088,2.14556,-50.7941
2.94088,2.17816,-48.4926
2.94088,2.21077,-49.8487
2.94088,2.24338,-49.4751
2.94088,2.27599,-48.109
2.94088,2.3086,-46.4804
2.94088,2.34121,-46.4273
2.94088,2.37382,-47.3835
2.97349,1.13469,-47.4705
2.97349,1.16729,-49.4882
2.97349,1.1999,-49.6634
2.97349,1.23251,-50.5779
2.97349,1.26512,-51.329
2.97349,1.29773,-48.9507
2.97349,1.33034,-47.8291
2.97349,1.36295,-50.8449
2.97349,1.39556,-28.2095
2.97349,1.42816,-20.6573
