x,y,z
2.67326,1.13336,3.49107
2.67326,1.1464,3.89646
2.67326,1.15945,4.52906
2.67326,1.17249,3.02203
2.67326,1.18554,3.27804
2.67326,1.19858,2.70732
2.67326,1.21162,0.570717
2.67326,1.22467,0.454552
2.67326,1.23771,0.532458
2.67326,1.25075,1.27085
2.67326,1.2638,1.36106
2.67326,1.27684,2.42557
2.67326,1.28988,2.30378
2.67326,1.30293,-1.91149
2.67326,1.31597,-1.03434
2.67326,1.32901,-0.680087
2.67326,1.34206,2.17636
2.67326,1.3551,1.96883
2.67326,1.36814,2.18085
2.67326,1.38119,1.69355
2.67326,1.39423,3.7784
2.67326,1.40727,2.8508
2.67326,1.42032,2.26215
2.67326,1.43336,1.09277
2.67326,1.4464,0.567523
2.67326,1.45945,0.389351
2.67326,1.47249,0.0815552
2.67326,1.48554,-0.362624
2.67326,1.49858,-2.45985
2.67326,1.51162,-3.04806
2.67326,1.52467,-3.01532
2.67326,1.53771,-2.90531
2.67326,1.55075,-8.85225
2.67326,1.5638,-8.66855
2.67326,1.57684,-8.19156
2.67326,1.58988,-8.18754
2.67326,1.60293,-15.7091
2.67326,1.61597,-14.913
2.67326,1.62901,-14.1844
2.67326,1.64206,-14.132
2.67326,1.6551,-14.132
2.67326,1.66814,-10.4627
2.67326,1.68119,-1.39636
2.67326,1.69423,0.242169
2.67326,1.70727,2.48697
2.67326,1.72032,6.06284
2.67326,1.73336,8.21407
2.67326,1.7464,10.5784
2.67326,1.75945,13.5957
2.67326,1.77249,13.9534
2.67326,1.78554,14.6299
2.67326,1.79858,12.2704
2.67326,1.81162,11.3472
2.67326,1.82467,11.6056
2.67326,1.83771,10.5859
2.67326,1.85075,10.4131
2.67326,1.8638,7.17082
2.67326,1.87684,4.81795
2.67326,1.88988,4.46763
2.67326,1.90293,2.43293
2.67326,1.91597,0.999712
2.67326,1.92901,0.144643
2.67326,1.94206,-0.821385
2.67326,1.9551,-2.33923
2.67326,1.96814,-4.21223
2.67326,1.98119,-5.49249
2.67326,1.99423,-7.68328
2.67326,2.00727,-10.4133
2.67326,2.02032,-14.3319
2.67326,2.03336,-15.1766
2.67326,2.0464,-16.5702
2.67326,2.05945,-7.4017
2.67326,2.07249,-8.90091
2.67326,2.08554,-8.91273
2.67326,2.09858,-8.79708
2.67326,2.11162,-7.02704
2.67326,2.12467,-6.19541
2.67326,2.13771,-4.72093
2.67326,2.15075,-4.88462
2.67326,2.1638,-4.43374
2.67326,2.17684,-3.9994
2.67326,2.18988,-2.53496
2.67326,2.20293,-1.14284
2.67326,2.21597,-0.708562
2.67326,2.22901,-1.39773
2.67326,2.24206,3.08204
2.67326,2.2551,4.53014
2.67326,2.26814,14.4384
2.67326,2.28119,8.39296
2.67326,2.29423,5.38806
2.67326,2.30727,-0.285327
2.67326,2.32032,-2.85008
2.67326,2.33336,-6.19446
2.67326,2.3464,-8.19157
2.67326,2.35945,-9.43018
2.67326,2.37249,-9.43018
2.68631,1.13336,3.49107
2.68631,1.1464,4.64439
2.68631,1.15945,4.52906
2.68631,1.17249,3.02203
2.68631,1.18554,3.27804
2.68631,1.19858,2.70732
2.68631,1.21162,2.4047
2.68631,1.22467,1.69065
2.68631,1.23771,1.76856
