x,y,z
2.72574,1.14254,2.42014
2.72574,1.15558,5.04788
2.72574,1.16862,6.67907
2.72574,1.18167,8.17145
2.72574,1.19471,9.72013
2.72574,1.20775,11.0058
2.72574,1.2208,12.3156
2.72574,1.23384,12.4257
2.72574,1.24688,12.5934
2.72574,1.25993,10.3607
2.72574,1.27297,8.62091
2.72574,1.28601,5.5896
2.72574,1.29906,2.29954
2.72574,1.3121,0.281046
2.72574,1.32514,-2.32169
2.72574,1.33819,-4.96573
2.72574,1.35123,-7.48107
2.72574,1.36427,-9.99248
2.72574,1.37732,-12.4114
2.72574,1.39036,-12.6366
2.72574,1.40341,-11.9656
2.72574,1.41645,-11.2551
2.72574,1.42949,-10.4457
2.72574,1.44254,-10.1978
2.72574,1.45558,-9.76775
2.72574,1.46862,-9.64734
2.72574,1.48167,-9.59228
2.72574,1.49471,-9.94201
2.72574,1.50775,-10.3726
2.72574,1.5208,-11.154
2.72574,1.53384,-12.4663
2.72574,1.54688,-13.9087
2.72574,1.55993,-14.5614
2.72574,1.57297,-14.2716
2.72574,1.58601,-14.8366
2.72574,1.59906,-14.7542
2.72574,1.6121,-14.4004
2.72574,1.62514,-14.2896
2.72574,1.63819,-13.3618
2.72574,1.65123,-11.2088
2.72574,1.66427,-10.9314
2.72574,1.67732,-10.302
2.72574,1.69036,-7.6747
2.72574,1.70341,-6.89553
2.72574,1.71645,-5.23949
2.72574,1.72949,-4.13381
2.72574,1.74254,-1.68362
2.72574,1.75558,-0.850545
2.72574,1.76862,-0.712644
2.72574,1.78167,-0.335292
2.72574,1.79471,-0.537953
2.72574,1.80775,-0.797982
2.72574,1.8208,-1.161
2.72574,1.83384,-1.70375
2.72574,1.84688,-2.23657
2.72574,1.85993,-3.2629
2.72574,1.87297,-3.2929
2.72574,1.88601,-3.53615
2.72574,1.89906,-3.42148
2.72574,1.9121,-3.6866
2.72574,1.92514,-4.41279
2.72574,1.93819,-3.78201
2.72574,1.95123,-4.3162
2.72574,1.96427,-5.12939
2.72574,1.97732,-5.21989
2.72574,1.99036,-5.72071
2.72574,2.00341,-6.9843
2.72574,2.01645,-8.99592
2.72574,2.02949,-8.93349
2.72574,2.04254,-10.7456
2.72574,2.05558,-1.5406
2.72574,2.06862,-3.65054
2.72574,2.08167,-5.06958
2.72574,2.09471,-3.58439
2.72574,2.10775,-4.7236
2.72574,2.1208,-3.19724
2.72574,2.13384,-2.49208
2.72574,2.14688,-1.75983
2.72574,2.15993,-2.45813
2.72574,2.17297,-2.32146
2.72574,2.18601,-2.19973
2.72574,2.19906,-1.71195
2.72574,2.2121,-2.02129
2.72574,2.22514,-2.27755
2.72574,2.23819,-1.87885
2.72574,2.25123,-3.16211
2.72574,2.26427,-4.58634
2.72574,2.27732,-5.03989
2.72574,2.29036,-6.64974
2.72574,2.30341,-6.88915
2.72574,2.31645,-8.10635
2.72574,2.32949,-9.12022
2.72574,2.34254,-9.58627
2.72574,2.35558,-10.3062
2.72574,2.36862,-10.3062
2.73878,1.14254,4.77529
2.73878,1.15558,5.69183
2.73878,1.16862,7.08784
2.73878,1.18167,9.1587
2.73878,1.19471,10.6886
2.73878,1.20775,10.8175
2.73878,1.2208,13.2752
2.73878,1.23384,12.6785
2.73878,1.24688,12.4859
2.73878,1.25993,10.666
2.73878,1.27297,9.53071
2.73878,1.28601,7.04081
2.73878,1.29906,4.89971
2.73878,1.3121,2.04522
2.73878,1.32514,0.0916355
2.73878,1.33819,-2.95826
2.73878,1.35123,-5.69492
2.73878,1.36427,-7.36148
2.73878,1.37732,-10.1273
2.73878,1.39036,-12.4446
2.73878,1.40341,-13.0931
2.73878,1.41645,-13.962
2.73878,1.42949,-13.5853
2.73878,1.44254,-12.8822
2.73878,1.45558,-12.1999
2.73878,1.46862,-12.4405
2.73878,1.48167,-11.5661
2.73878,1.49471,-12.0364
2.73878,1.50775,-12.1768
2.73878,1.5208,-12.3064
2.73878,1.53384,-15.3707
2.73878,1.54688,-15.4482
2.73878,1.55993,-17.736
2.73878,1.57297,-15.4516
2.73878,1.58601,-17.6824
2.73878,1.59906,-15.9153
2.73878,1.6121,-15.412
2.73878,1.62514,-15.1614
2.73878,1.63819,-14.9744
2.73878,1.65123,-13.6518
2.73878,1.66427,-11.9385
2.73878,1.67732,-10.8323
2.73878,1.69036,-8.97654
2.73878,1.70341,-7.55822
2.73878,1.71645,-6.36939
2.73878,1.72949,-4.53067
2.73878,1.74254,-3.65835
2.73878,1.75558,-2.72699
2.73878,1.76862,-1.61367
2.73878,1.78167,-1.44125
2.73878,1.79471,-0.960476
2.73878,1.80775,-1.5081
2.73878,1.8208,-1.57872
2.73878,1.83384,-2.08674
2.73878,1.84688,-1.89957
2.73878,1.85993,-2.50739
2.73878,1.87297,-2.79259
2.73878,1.88601,-2.9094
2.73878,1.89906,-3.95878
2.73878,1.9121,-2.80916
2.73878,1.92514,-4.14819
2.73878,1.93819,-4.71812
2.73878,1.95123,-3.90769
2.73878,1.96427,-4.42011
2.73878,1.97732,-4.14172
2.73878,1.99036,-5.66342
2.73878,2.00341,-4.03285
2.73878,2.01645,-6.66071
2.73878,2.02949,-6.36938
2.73878,2.04254,-5.73554
2.73878,2.05558,-5.47323
2.73878,2.06862,-4.79654
2.73878,2.08167,-4.66911
2.73878,2.09471,-4.24856
2.73878,2.10775,-3.63468
2.73878,2.1208,-3.46673
2.73878,2.13384,-3.9053
2.73878,2.14688,-3.28712
2.73878,2.15993,-2.91574
2.73878,2.17297,-3.24123
2.73878,2.18601,-2.9567
2.73878,2.19906,-3.01938
2.73878,2.2121,-2.61697
2.73878,2.22514,-3.57091
2.73878,2.23819,-3.85265
2.73878,2.25123,-4.17362
2.73878,2.26427,-5.25226
2.73878,2.27732,-5.52625
2.73878,2.29036,-6.33224
2.73878,2.30341,-6.8005
2.73878,2.31645,-8.14899
2.73878,2.32949,-9.04106
2.73878,2.34254,-9.35846
2.73878,2.35558,-10.6062
2.73878,2.36862,-10.5592
2.75182,1.14254,4.11565
2.75182,1.15558,4.77386
2.75182,1.16862,7.13391
2.75182,1.18167,8.68315
2.75182,1.19471,9.49771
2.75182,1.20775,10.3379
2.75182,1.2208,12.2762
2.75182,1.23384,11.745
2.75182,1.24688,11.1998
2.75182,1.25993,10.3561
2.75182,1.27297,9.18673
2.75182,1.28601,6.39855
2.75182,1.29906,5.19566
2.75182,1.3121,2.63921
2.75182,1.32514,2.31798
2.75182,1.33819,-1.4604
2.75182,1.35123,-2.43615
2.75182,1.36427,-4.18922
2.75182,1.37732,-7.12138
2.75182,1.39036,-9.1034
2.75182,1.40341,-13.0534
2.75182,1.41645,-13.8229
2.75182,1.42949,-14.4303
2.75182,1.44254,-12.8923
2.75182,1.45558,-14.4169
2.75182,1.46862,-13.9627
2.75182,1.48167,-12.6184
2.75182,1.49471,-13.4741
2.75182,1.50775,-12.548
2.75182,1.5208,-13.0191
2.75182,1.53384,-14.7536
2.75182,1.54688,-18.1614
2.75182,1.55993,-16.9341
2.75182,1.57297,-15.3858
2.75182,1.58601,-15.0169
2.75182,1.59906,-12.7435
2.75182,1.6121,-13.2015
2.75182,1.62514,-12.9789
2.75182,1.63819,-12.5508
2.75182,1.65123,-10.4401
2.75182,1.66427,-10.7812
2.75182,1.67732,-10.5287
2.75182,1.69036,-8.35851
2.75182,1.70341,-7.1525
2.75182,1.71645,-6.35343
2.75182,1.72949,-5.07245
2.75182,1.74254,-3.0063
2.75182,1.75558,-3.01065
2.75182,1.76862,-2.15934
2.75182,1.78167,-1.32784
2.75182,1.79471,-1.09559
2.75182,1.80775,-1.02175
2.75182,1.8208,-0.848552
2.75182,1.83384,-0.0824343
2.75182,1.84688,-1.11349
2.75182,1.85993,-2.69074
2.75182,1.87297,-2.4073
2.75182,1.88601,-0.952197
2.75182,1.89906,-1.48905
2.75182,1.9121,-1.9281
2.75182,1.92514,-1.94274
2.75182,1.93819,-2.92265
2.75182,1.95123,-3.35944
2.75182,1.96427,-7.01521
2.75182,1.97732,-5.5841
2.75182,1.99036,-3.7851
2.75182,2.00341,-3.14602
2.75182,2.01645,-5.57948
2.75182,2.02949,-5.22041
2.75182,2.04254,-6.42173
2.75182,2.05558,-2.73462
2.75182,2.06862,-3.99005
2.75182,2.08167,-4.66552
2.75182,2.09471,-2.76353
2.75182,2.10775,-3.4232
2.75182,2.1208,-2.88105
2.75182,2.13384,-3.29047
2.75182,2.14688,-1.8277
2.75182,2.15993,-2.5246
2.75182,2.17297,-3.56058
2.75182,2.18601,-2.71504
2.75182,2.19906,-3.70805
2.75182,2.2121,-2.97954
2.75182,2.22514,-4.69843
2.75182,2.23819,-5.2137
2.75182,2.25123,-5.01359
2.75182,2.26427,-7.10541
2.75182,2.27732,-7.07646
2.75182,2.29036,-9.14621
2.75182,2.30341,-13.3562
2.75182,2.31645,-11.1221
2.75182,2.32949,-14.6451
2.75182,2.34254,-23.6042
2.75182,2.35558,-11.747
2.75182,2.36862,-14.8548
2.76487,1.14254,4.09139
2.76487,1.15558,4.88298
2.76487,1.16862,5.65596
2.76487,1.18167,8.17322
2.76487,1.19471,8.49379
2.76487,1.20775,9.61786
2.76487,1.2208,10.5154
2.76487,1.23384,11.8383
2.76487,1.24688,11.6315
2.76487,1.25993,11.9103
2.76487,1.27297,10.3897
2.76487,1.28601,8.41106
2.76487,1.29906,7.52481
2.76487,1.3121,5.80632
2.76487,1.32514,4.72573
2.76487,1.33819,3.36684
2.76487,1.35123,-0.488665
2.76487,1.36427,-0.952857
2.76487,1.37732,-4.75256
2.76487,1.39036,-4.69875
2.76487,1.40341,-9.07472
2.76487,1.41645,-11.1426
2.76487,1.42949,-11.1032
2.76487,1.44254,-12.3054
2.76487,1.45558,-14.7484
2.76487,1.46862,-12.9083
2.76487,1.48167,-12.8771
2.76487,1.49471,-14.616
2.76487,1.50775,-14.153
2.76487,1.5208,-13.499
2.76487,1.53384,-14.0392
2.76487,1.54688,-14.6821
2.76487,1.55993,-19.4462
2.76487,1.57297,-13.4487
2.76487,1.58601,-12.9476
2.76487,1.59906,-12.836
2.76487,1.6121,-13.363
2.76487,1.62514,-14.0731
2.76487,1.63819,-11.4594
2.76487,1.65123,-10.8331
2.76487,1.66427,-13.4182
2.76487,1.67732,-11.5421
2.76487,1.69036,-8.91578
2.76487,1.70341,-8.24107
2.76487,1.71645,-7.44605
2.76487,1.72949,-6.0724
2.76487,1.74254,-3.45718
2.76487,1.75558,-2.98639
2.76487,1.76862,-2.03089
2.76487,1.78167,-1.44907
2.76487,1.79471,-1.15856
2.76487,1.80775,-0.38468
2.76487,1.8208,0.592857
2.76487,1.83384,2.03007
2.76487,1.84688,1.85303
2.76487,1.85993,-0.0484351
2.76487,1.87297,0.364802
2.76487,1.88601,2.73207
2.76487,1.89906,0.66014
2.76487,1.9121,-0.473801
2.76487,1.92514,-1.93118
2.76487,1.93819,-2.38827
2.76487,1.95123,-1.7964
2.76487,1.96427,-2.67465
2.76487,1.97732,-2.72383
2.76487,1.99036,-3.90044
2.76487,2.00341,-1.9167
2.76487,2.01645,-2.20978
2.76487,2.02949,-4.11779
2.76487,2.04254,-3.99445
2.76487,2.05558,-1.59713
2.76487,2.06862,-2.3628
2.76487,2.08167,-3.95798
2.76487,2.09471,-0.933113
2.76487,2.10775,-1.92554
2.76487,2.1208,-2.13257
2.76487,2.13384,-0.986878
2.76487,2.14688,-0.885649
2.76487,2.15993,-1.58273
2.76487,2.17297,-2.79594
2.76487,2.18601,-2.18139
2.76487,2.19906,-1.65269
2.76487,2.2121,-2.14422
2.76487,2.22514,-3.57873
2.76487,2.23819,-3.04146
2.76487,2.25123,-4.862
2.76487,2.26427,-7.35783
2.76487,2.27732,-6.28036
2.76487,2.29036,-7.68666
2.76487,2.30341,-9.10854
2.76487,2.31645,-11.6479
2.76487,2.32949,-13.4278
2.76487,2.34254,-18.5186
2.76487,2.35558,-14.3281
2.76487,2.36862,-13.0669
2.77791,1.14254,4.26337
2.77791,1.15558,5.69277
2.77791,1.16862,6.75922
2.77791,1.18167,8.48431
2.77791,1.19471,9.62073
2.77791,1.20775,10.3999
2.77791,1.2208,11.1878
2.77791,1.23384,12.1138
2.77791,1.24688,11.8988
2.77791,1.25993,13.208
2.77791,1.27297,11.4869
2.77791,1.28601,10.8717
2.77791,1.29906,8.99026
2.77791,1.3121,7.07229
2.77791,1.32514,6.79741
2.77791,1.33819,5.50079
2.77791,1.35123,2.31017
2.77791,1.36427,1.77592
2.77791,1.37732,-1.03386
2.77791,1.39036,-2.33001
2.77791,1.40341,-6.80073
2.77791,1.41645,-8.67973
2.77791,1.42949,-6.53381
2.77791,1.44254,-9.04192
2.77791,1.45558,-12.228
2.77791,1.46862,-12.3453
2.77791,1.48167,-12.4628
2.77791,1.49471,-13.4482
2.77791,1.50775,-13.7397
2.77791,1.5208,-13.6538
2.77791,1.53384,-12.7815
2.77791,1.54688,-14.5385
2.77791,1.55993,-17.3864
2.77791,1.57297,-14.1509
2.77791,1.58601,-13.5541
2.77791,1.59906,-12.9544
2.77791,1.6121,-13.8636
2.77791,1.62514,-13.5593
2.77791,1.63819,-12.8134
2.77791,1.65123,-11.8976
2.77791,1.66427,-12.5574
2.77791,1.67732,-11.6784
2.77791,1.69036,-9.48818
2.77791,1.70341,-7.73107
2.77791,1.71645,-6.78656
2.77791,1.72949,-5.9824
2.77791,1.74254,-3.68887
2.77791,1.75558,-3.68887
2.77791,1.76862,-2.73428
2.77791,1.78167,-1.39308
2.77791,1.79471,0.584826
2.77791,1.80775,0.0271286
2.77791,1.8208,0.483429
2.77791,1.83384,4.06298
2.77791,1.84688,-0.786729
2.77791,1.85993,2.25077
2.77791,1.87297,3.52876
2.77791,1.88601,7.03031
2.77791,1.89906,2.06944
2.77791,1.9121,1.89983
2.77791,1.92514,-0.432461
2.77791,1.93819,-1.38729
2.77791,1.95123,-1.07063
2.77791,1.96427,-1.6259
2.77791,1.97732,-4.39051
2.77791,1.99036,-2.61072
2.77791,2.00341,-2.44303
2.77791,2.01645,-6.0619
2.77791,2.02949,-3.90977
2.77791,2.04254,-6.33307
2.77791,2.05558,-7.17507
2.77791,2.06862,-4.20762
2.77791,2.08167,-6.27681
2.77791,2.09471,-5.89301
2.77791,2.10775,-2.86517
2.77791,2.1208,-2.45949
2.77791,2.13384,-2.45949
2.77791,2.14688,-0.893119
2.77791,2.15993,-1.03736
2.77791,2.17297,-3.29911
2.77791,2.18601,-2.50356
2.77791,2.19906,-1.33199
2.77791,2.2121,-1.86447
2.77791,2.22514,-4.64181
2.77791,2.23819,-4.64181
2.77791,2.25123,-4.23778
2.77791,2.26427,-7.19901
2.77791,2.27732,-6.5959
2.77791,2.29036,-7.48702
2.77791,2.30341,-7.48702
2.77791,2.31645,-14.7076
2.77791,2.32949,-16.9333
2.77791,2.34254,-15.9867
2.77791,2.35558,-22.7065
2.77791,2.36862,-11.18
2.79095,1.14254,4.98539
2.79095,1.15558,6.45443
2.79095,1.16862,8.08805
2.79095,1.18167,9.64875
2.79095,1.19471,10.5891
2.79095,1.20775,12.0406
2.79095,1.2208,12.8203
2.79095,1.23384,13.0673
2.79095,1.24688,13.3459
2.79095,1.25993,13.9533
2.79095,1.27297,12.6114
2.79095,1.28601,11.3264
2.79095,1.29906,10.1696
2.79095,1.3121,9.02179
2.79095,1.32514,7.36201
2.79095,1.33819,4.78942
2.79095,1.35123,4.44195
2.79095,1.36427,3.8399
2.79095,1.37732,1.35677
2.79095,1.39036,0.592613
2.79095,1.40341,-1.66766
2.79095,1.41645,-4.34842
2.79095,1.42949,-4.53043
2.79095,1.44254,-6.01152
2.79095,1.45558,-8.21498
2.79095,1.46862,-8.86991
2.79095,1.48167,-10.5494
2.79095,1.49471,-10.6898
2.79095,1.50775,-12.0901
2.79095,1.5208,-13.096
2.79095,1.53384,-11.9963
2.79095,1.54688,-13.6956
2.79095,1.55993,-15.2929
2.79095,1.57297,-14.4702
2.79095,1.58601,-14.6983
2.79095,1.59906,-16.1438
2.79095,1.6121,-15.2548
2.79095,1.62514,-15.3938
2.79095,1.63819,-13.7248
2.79095,1.65123,-13.5107
2.79095,1.66427,-14.4236
2.79095,1.67732,-11.9474
2.79095,1.69036,-9.76488
2.79095,1.70341,-8.91524
2.79095,1.71645,-6.92186
2.79095,1.72949,-6.03506
2.79095,1.74254,-4.49119
2.79095,1.75558,-2.75833
2.79095,1.76862,-2.9293
2.79095,1.78167,-1.03534
2.79095,1.79471,-0.393686
2.79095,1.80775,1.46506
2.79095,1.8208,4.06454
2.79095,1.83384,6.2256
2.79095,1.84688,8.8633
2.79095,1.85993,6.71757
2.79095,1.87297,7.93799
2.79095,1.88601,8.01104
2.79095,1.89906,5.66696
2.79095,1.9121,3.62911
2.79095,1.92514,1.83239
2.79095,1.93819,-0.422356
2.79095,1.95123,-0.42532
2.79095,1.96427,-2.47667
2.79095,1.97732,-4.67135
2.79095,1.99036,-4.69046
2.79095,2.00341,-4.30387
2.79095,2.01645,-5.30566
2.79095,2.02949,-5.90036
2.79095,2.04254,-6.20214
2.79095,2.05558,-3.57324
2.79095,2.06862,-5.61801
2.79095,2.08167,-5.81742
2.79095,2.09471,-3.20475
2.79095,2.10775,-3.63396
2.79095,2.1208,-2.70498
2.79095,2.13384,-3.22427
2.79095,2.14688,-1.81649
2.79095,2.15993,-2.41654
2.79095,2.17297,-2.96399
2.79095,2.18601,-1.97875
2.79095,2.19906,-3.21815
2.79095,2.2121,-2.30095
2.79095,2.22514,-3.93957
2.79095,2.23819,-4.75597
2.79095,2.25123,-5.16435
