x,y,z
2.69118,1.13063,1.25496
2.69118,1.14367,1.60825
2.69118,1.15672,1.85477
2.69118,1.16976,2.08296
2.69118,1.1828,2.51965
2.69118,1.19585,2.79065
2.69118,1.20889,2.90634
2.69118,1.22193,2.94377
2.69118,1.23498,2.8916
2.69118,1.24802,2.86217
2.69118,1.26107,2.86217
2.69118,1.27411,2.86217
2.69118,1.28715,2.86217
2.69118,1.3002,0.619385
2.69118,1.31324,0.619385
2.69118,1.32628,0.619385
2.69118,1.33933,0.288515
2.69118,1.35237,0.288515
2.69118,1.36541,0.929272
2.69118,1.37846,0.929272
2.69118,1.3915,0.929272
2.70423,1.13063,1.25496
2.70423,1.14367,1.60825
2.70423,1.15672,1.85477
2.70423,1.16976,2.08296
2.70423,1.1828,2.51965
2.70423,1.19585,2.79065
2.70423,1.20889,2.90634
2.70423,1.22193,2.94377
2.70423,1.23498,2.8916
2.70423,1.24802,2.66515
2.70423,1.26107,3.7261
2.70423,1.27411,3.7261
2.70423,1.28715,1.76458
2.70423,1.3002,1.26827
2.70423,1.31324,0.676137
2.70423,1.32628,0.676137
2.70423,1.33933,0.476303
2.70423,1.35237,0.288515
2.70423,1.36541,0.288515
2.70423,1.37846,0.166879
2.70423,1.3915,0.196563
2.71727,1.13063,1.25496
2.71727,1.14367,1.60825
2.71727,1.15672,1.85477
2.71727,1.16976,2.08296
2.71727,1.1828,2.51965
2.71727,1.19585,2.79065
2.71727,1.20889,2.90634
2.71727,1.22193,2.94377
2.71727,1.23498,2.8916
2.71727,1.24802,2.66515
2.71727,1.26107,2.32152
2.71727,1.27411,2.16731
2.71727,1.28715,1.76458
2.71727,1.3002,1.26827
2.71727,1.31324,1.00458
2.71727,1.32628,0.751349
2.71727,1.33933,0.476303
2.71727,1.35237,0.341952
2.71727,1.36541,0.216533
2.71727,1.37846,0.166879
2.71727,1.3915,0.196563
2.73031,1.13063,1.48331
2.73031,1.14367,1.90828
2.73031,1.15672,2.25032
2.73031,1.16976,2.44069
2.73031,1.1828,2.85706
2.73031,1.19585,3.15036
2.73031,1.20889,3.3659
2.73031,1.22193,3.5419
2.73031,1.23498,3.46625
2.73031,1.24802,3.03906
2.73031,1.26107,3.19599
2.73031,1.27411,2.52876
2.73031,1.28715,1.85346
2.73031,1.3002,1.75618
2.73031,1.31324,1.2883
2.73031,1.32628,0.843013
2.73031,1.33933,0.474708
2.73031,1.35237,0.425311
2.73031,1.36541,0.264017
2.73031,1.37846,0.174255
2.73031,1.3915,0.143755
2.74336,1.13063,1.57116
2.74336,1.14367,1.78152
2.74336,1.15672,2.28055
2.74336,1.16976,2.71218
2.74336,1.1828,3.27266
2.74336,1.19585,4.00444
2.74336,1.20889,3.97554
2.74336,1.22193,4.46778
2.74336,1.23498,4.15625
2.74336,1.24802,4.04209
2.74336,1.26107,4.15899
2.74336,1.27411,3.40609
2.74336,1.28715,2.80342
2.74336,1.3002,2.56699
2.74336,1.31324,1.89905
2.74336,1.32628,1.53158
2.74336,1.33933,1.10067
2.74336,1.35237,0.960823
2.74336,1.36541,0.580064
2.74336,1.37846,0.380119
2.74336,1.3915,0.266425
2.7564,1.13063,1.88699
2.7564,1.14367,2.17529
2.7564,1.15672,2.73247
2.7564,1.16976,3.1845
2.7564,1.1828,3.87628
2.7564,1.19585,4.44399
2.7564,1.20889,4.57898
2.7564,1.22193,5.05683
2.7564,1.23498,5.01689
2.7564,1.24802,4.90395
2.7564,1.26107,5.30213
2.7564,1.27411,4.50012
2.7564,1.28715,3.74343
2.7564,1.3002,3.78752
2.7564,1.31324,2.67364
2.7564,1.32628,2.41302
2.7564,1.33933,1.69104
2.7564,1.35237,1.46222
2.7564,1.36541,1.03199
2.7564,1.37846,0.648901
2.7564,1.3915,0.549017
2.76944,1.13063,2.22157
2.76944,1.14367,2.55532
2.76944,1.15672,3.31584
2.76944,1.16976,3.58918
2.76944,1.1828,4.84462
2.76944,1.19585,5.74693
2.76944,1.20889,5.23615
2.76944,1.22193,6.72866
2.76944,1.23498,6.35215
2.76944,1.24802,5.57863
2.76944,1.26107,6.84199
2.76944,1.27411,5.25941
2.76944,1.28715,4.34124
2.76944,1.3002,4.61707
2.76944,1.31324,3.71177
2.76944,1.32628,3.06553
2.76944,1.33933,1.85035
2.76944,1.35237,2.15228
2.76944,1.36541,1.59884
2.76944,1.37846,1.16667
2.76944,1.3915,0.981233
2.78249,1.13063,2.66573
2.78249,1.14367,3.08014
2.78249,1.15672,4.07291
2.78249,1.16976,4.41913
2.78249,1.1828,5.56099
2.78249,1.19585,6.28951
2.78249,1.20889,6.22698
2.78249,1.22193,7.35897
2.78249,1.23498,7.12809
2.78249,1.24802,6.5213
2.78249,1.26107,7.46648
2.78249,1.27411,6.85293
2.78249,1.28715,5.87458
2.78249,1.3002,5.82613
2.78249,1.31324,4.68767
2.78249,1.32628,4.13368
2.78249,1.33933,2.77716
2.78249,1.35237,3.08443
2.78249,1.36541,2.4751
2.78249,1.37846,1.72171
2.78249,1.3915,1.60017
2.79553,1.13063,3.29068
2.79553,1.14367,3.53071
2.79553,1.15672,4.73776
2.79553,1.16976,5.12592
2.79553,1.1828,6.69532
2.79553,1.19585,7.59236
2.79553,1.20889,7.70973
2.79553,1.22193,8.60247
2.79553,1.23498,8.71318
2.79553,1.24802,8.37218
2.79553,1.26107,9.39091
2.79553,1.27411,8.21896
2.79553,1.28715,7.49723
2.79553,1.3002,7.3361
2.79553,1.31324,6.62447
2.79553,1.32628,5.81151
2.79553,1.33933,4.5004
2.79553,1.35237,4.62034
2.79553,1.36541,3.43763
2.79553,1.37846,2.80586
2.79553,1.3915,2.3942
2.80857,1.13063,3.85317
2.80857,1.14367,4.39838
2.80857,1.15672,5.9309
2.80857,1.16976,6.01532
2.80857,1.1828,7.32227
2.80857,1.19585,8.70713
2.80857,1.20889,8.5256
2.80857,1.22193,9.68575
2.80857,1.23498,9.86728
2.80857,1.24802,9.52762
2.80857,1.26107,10.6422
2.80857,1.27411,9.68491
2.80857,1.28715,8.12277
2.80857,1.3002,8.53776
2.80857,1.31324,6.94771
2.80857,1.32628,6.02356
2.80857,1.33933,5.41878
2.80857,1.35237,5.46744
2.80857,1.36541,4.03938
2.80857,1.37846,3.28344
2.80857,1.3915,3.13835
2.82162,1.13063,4.43628
2.82162,1.14367,4.73948
2.82162,1.15672,6.33897
2.82162,1.16976,7.13688
2.82162,1.1828,8.09737
2.82162,1.19585,9.60037
2.82162,1.20889,9.77498
2.82162,1.22193,11.1771
2.82162,1.23498,10.9267
2.82162,1.24802,10.9184
2.82162,1.26107,12.1146
2.82162,1.27411,11.0948
2.82162,1.28715,10.0952
2.82162,1.3002,10.1239
2.82162,1.31324,9.11358
2.82162,1.32628,8.36887
2.82162,1.33933,6.90187
2.82162,1.35237,6.75345
2.82162,1.36541,5.52269
2.82162,1.37846,4.3223
2.82162,1.3915,4.01839
2.83466,1.13063,5.12882
2.83466,1.14367,5.58935
2.83466,1.15672,6.8329
2.83466,1.16976,7.86583
2.83466,1.1828,8.84898
2.83466,1.19585,10.2636
2.83466,1.20889,10.9501
2.83466,1.22193,11.7804
2.83466,1.23498,12.089
2.83466,1.24802,12.1848
2.83466,1.26107,12.988
2.83466,1.27411,12.4547
2.83466,1.28715,11.6486
2.83466,1.3002,11.5162
2.83466,1.31324,10.5608
2.83466,1.32628,9.72866
2.83466,1.33933,8.35051
2.83466,1.35237,8.03246
2.83466,1.36541,6.63446
2.83466,1.37846,5.71848
2.83466,1.3915,5.19623
2.8477,1.13063,5.77381
2.8477,1.14367,6.4682
2.8477,1.15672,7.82145
2.8477,1.16976,8.18833
2.8477,1.1828,9.94604
2.8477,1.19585,11.2119
2.8477,1.20889,11.772
2.8477,1.22193,12.9309
2.8477,1.23498,12.9857
2.8477,1.24802,12.5508
2.8477,1.26107,13.8844
2.8477,1.27411,13.1025
2.8477,1.28715,12.5866
2.8477,1.3002,12.1683
2.8477,1.31324,11.2954
2.8477,1.32628,10.6853
2.8477,1.33933,8.54428
2.8477,1.35237,8.81757
2.8477,1.36541,7.56039
2.8477,1.37846,6.13931
2.8477,1.3915,5.85579
2.86075,1.13063,6.13587
2.86075,1.14367,6.84513
2.86075,1.15672,8.07795
2.86075,1.16976,9.10416
2.86075,1.1828,10.3513
2.86075,1.19585,11.7542
2.86075,1.20889,12.3582
2.86075,1.22193,13.3822
2.86075,1.23498,13.7542
2.86075,1.24802,13.5947
2.86075,1.26107,14.208
2.86075,1.27411,13.8299
2.86075,1.28715,13.3615
2.86075,1.3002,12.7823
2.86075,1.31324,12.2936
2.86075,1.32628,11.5099
2.86075,1.33933,10.33
2.86075,1.35237,9.58296
2.86075,1.36541,8.25158
2.86075,1.37846,6.97616
2.86075,1.3915,6.46191
2.87379,1.13063,6.25575
2.87379,1.14367,6.80317
2.87379,1.15672,7.95617
2.87379,1.16976,9.08479
