x,y,z
2.69118,1.13063,-29.0137
2.69118,1.14367,-27.9365
2.69118,1.15672,-27.3171
2.69118,1.16976,-26.8132
2.69118,1.1828,-25.9866
2.69118,1.19585,-25.5429
2.69118,1.20889,-25.3665
2.69118,1.22193,-25.311
2.69118,1.23498,-25.3886
2.69118,1.24802,-25.433
2.69118,1.26107,-25.433
2.69118,1.27411,-25.433
2.69118,1.28715,-25.433
2.69118,1.3002,-32.0804
2.69118,1.31324,-32.0804
2.69118,1.32628,-32.0804
2.69118,1.33933,-35.3983
2.69118,1.35237,-35.3983
2.69118,1.36541,-30.3186
2.69118,1.37846,-30.3186
2.69118,1.3915,-30.3186
2.70423,1.13063,-29.0137
2.70423,1.14367,-27.9365
2.70423,1.15672,-27.3171
2.70423,1.16976,-26.8132
2.70423,1.1828,-25.9866
2.70423,1.19585,-25.5429
2.70423,1.20889,-25.3665
2.70423,1.22193,-25.311
2.70423,1.23498,-25.3886
2.70423,1.24802,-25.7428
2.70423,1.26107,-24.2874
2.70423,1.27411,-24.2874
2.70423,1.28715,-27.5336
2.70423,1.3002,-28.9679
2.70423,1.31324,-31.6996
2.70423,1.32628,-31.6996
2.70423,1.33933,-33.2212
2.70423,1.35237,-35.3983
2.70423,1.36541,-35.3983
2.70423,1.37846,-37.776
2.70423,1.3915,-37.065
2.71727,1.13063,-29.0137
2.71727,1.14367,-27.9365
2.71727,1.15672,-27.3171
2.71727,1.16976,-26.8132
2.71727,1.1828,-25.9866
2.71727,1.19585,-25.5429
2.71727,1.20889,-25.3665
2.71727,1.22193,-25.311
2.71727,1.23498,-25.3886
2.71727,1.24802,-25.7428
2.71727,1.26107,-26.3423
2.71727,1.27411,-26.6408
2.71727,1.28715,-27.5336
2.71727,1.3002,-28.9679
2.71727,1.31324,-29.9802
2.71727,1.32628,-31.2416
2.71727,1.33933,-33.2212
2.71727,1.35237,-34.6604
2.71727,1.36541,-36.6448
2.71727,1.37846,-37.776
2.71727,1.3915,-37.065
2.73031,1.13063,-28.2877
2.73031,1.14367,-27.1936
2.73031,1.15672,-26.4776
