x,y,z
2.72574,1.12926,3.99424
2.72574,1.1423,3.99424
2.72574,1.15534,5.66957
2.72574,1.16839,7.12776
2.72574,1.18143,8.13072
2.72574,1.19447,9.69367
2.72574,1.20752,11.0326
2.72574,1.22056,11.2174
2.72574,1.2336,12.1195
2.72574,1.24665,11.8673
2.72574,1.25969,9.90372
2.72574,1.27273,8.53218
2.72574,1.28578,5.86059
2.72574,1.29882,2.36096
2.72574,1.31186,0.763868
2.72574,1.32491,-2.41073
2.72574,1.33795,-4.87391
2.72574,1.35099,-7.43403
2.72574,1.36404,-9.92164
2.72574,1.37708,-12.3335
2.72574,1.39013,-12.474
2.73878,1.12926,2.57175
2.73878,1.1423,2.57175
2.73878,1.15534,4.46821
2.73878,1.16839,6.2882
2.73878,1.18143,7.26585
2.73878,1.19447,8.60812
2.73878,1.20752,10.0553
2.73878,1.22056,10.2282
2.73878,1.2336,11.2191
2.73878,1.24665,11.4439
2.73878,1.25969,10.1535
2.73878,1.27273,8.86279
2.73878,1.28578,6.84464
2.73878,1.29882,4.63064
2.73878,1.31186,2.69484
2.73878,1.32491,-0.316543
2.73878,1.33795,-2.79988
2.73878,1.35099,-5.5796
2.73878,1.36404,-7.45708
2.73878,1.37708,-10.0367
2.73878,1.39013,-12.4446
2.75182,1.12926,2.4345
2.75182,1.1423,2.4345
2.75182,1.15534,4.7577
2.75182,1.16839,6.15046
2.75182,1.18143,7.35957
2.75182,1.19447,8.7757
2.75182,1.20752,9.80766
2.75182,1.22056,10.3246
2.75182,1.2336,10.9228
2.75182,1.24665,10.9258
2.75182,1.25969,10.1624
2.75182,1.27273,9.30002
2.75182,1.28578,7.16267
2.75182,1.29882,5.32362
2.75182,1.31186,3.6523
2.75182,1.32491,1.71844
2.75182,1.33795,-0.571195
2.75182,1.35099,-2.064
2.75182,1.36404,-3.82894
2.75182,1.37708,-6.97174
2.75182,1.39013,-8.47529
2.76487,1.12926,2.57123
2.76487,1.1423,2.57123
2.76487,1.15534,4.42516
2.76487,1.16839,5.90781
2.76487,1.18143,7.59371
2.76487,1.19447,8.60319
2.76487,1.20752,9.38102
2.76487,1.22056,10.7069
2.76487,1.2336,10.9346
2.76487,1.24665,10.9219
2.76487,1.25969,11.1635
2.76487,1.27273,10.5099
2.76487,1.28578,8.71826
2.76487,1.29882,7.41981
2.76487,1.31186,5.94542
2.76487,1.32491,4.12201
