x,y,z
2.6701,1.14005,0.0372954
2.6701,1.15309,0.0142383
2.6701,1.16614,0.00783625
2.6701,1.17918,0.0743515
2.6701,1.19223,0.0120795
2.6701,1.20527,0.0301986
2.6701,1.21831,0.0969407
2.6701,1.23136,0.0087442
2.6701,1.2444,0.0969885
2.6701,1.25744,0.0264937
2.6701,1.27049,0.0583085
2.6701,1.28353,0.02305
2.6701,1.29657,1e-06
2.6701,1.30962,0.0815636
2.6701,1.32266,0.163977
2.6701,1.3357,0.0161345
2.6701,1.34875,0.013225
2.6701,1.36179,0.0398953
2.6701,1.37483,0.0748252
2.6701,1.38788,0.124021
2.6701,1.40092,0.002025
2.6701,1.41396,0.002025
2.6701,1.42701,0.18951
2.6701,1.44005,0.00838943
2.6701,1.45309,0.0214233
2.6701,1.46614,0.0649298
2.6701,1.47918,0.0092445
2.6701,1.49223,4.45e-05
2.6701,1.50527,0.642198
2.6701,1.51831,0.0123237
2.6701,1.53136,0.11235
2.6701,1.5444,0.00576275
2.6701,1.55744,0.0671022
2.6701,1.57049,1.3456
2.6701,1.58353,0.136381
2.6701,1.59657,0.0821993
2.6701,1.60962,0.589794
2.6701,1.62266,0.0155125
2.6701,1.6357,0.408512
2.6701,1.64875,0.0257647
2.6701,1.66179,0.0257647
2.6701,1.67483,0.029929
2.6701,1.68788,0.25836
2.6701,1.70092,0.055696
2.6701,1.71396,0.364228
2.6701,1.72701,0.228475
2.6701,1.74005,0.0798278
2.6701,1.75309,0.373609
2.6701,1.76614,0.247931
2.6701,1.77918,0.0774029
2.6701,1.79223,0.315101
2.6701,1.80527,0.065028
2.6701,1.81831,0.153702
2.6701,1.83136,0.153702
2.6701,1.8444,0.0009
2.6701,1.85744,0.295362
2.6701,1.87049,0.023409
2.6701,1.88353,0.257049
2.6701,1.89657,0.005776
2.6701,1.90962,0.0974345
2.6701,1.92266,0.202643
2.6701,1.9357,0.33193
2.6701,1.94875,0.068322
2.6701,1.96179,0.236086
2.6701,1.97483,0.27094
2.6701,1.98788,0.276368
2.6701,2.00092,0.0770111
2.6701,2.01396,0.310274
2.6701,2.02701,0.010415
2.6701,2.04005,0.364496
2.6701,2.05309,0.239908
2.6701,2.06614,0.239908
2.6701,2.07918,0.0081
2.6701,2.09223,0.167029
2.6701,2.10527,0.007921
2.6701,2.11831,0.0421937
2.6701,2.13136,0.0638328
2.6701,2.1444,0.00514
2.6701,2.15744,0.0642524
2.6701,2.17049,0.0236913
2.6701,2.18353,0.612327
2.6701,2.19657,0.000529
2.6701,2.20962,0.000529
2.6701,2.22266,0.003545
2.6701,2.2357,3.6e-05
2.6701,2.24875,0.070313
2.6701,2.26179,0.0397845
2.6701,2.27483,0.116647
2.6701,2.28788,0.735659
2.6701,2.30092,0.21848
2.6701,2.31396,0.066256
2.6701,2.32701,0.14832
2.6701,2.34005,0.535336
2.6701,2.35309,1.64087
2.6701,2.36614,1.64087
2.68314,1.14005,0.0372954
2.68314,1.15309,0.0142383
2.68314,1.16614,0.00783625
2.68314,1.17918,0.155895
2.68314,1.19223,0.0135939
2.68314,1.20527,0.0212615
2.68314,1.21831,0.0028382
2.68314,1.23136,0.0168363
2.68314,1.2444,0.401965
2.68314,1.25744,0.006195
2.68314,1.27049,0.00330371
2.68314,1.28353,0.0029018
2.68314,1.29657,0.223162
2.68314,1.30962,0.0590817
2.68314,1.32266,0.139819
2.68314,1.3357,0.0110195
2.68314,1.34875,0.228845
2.68314,1.36179,0.109538
2.68314,1.37483,0.164245
2.68314,1.38788,0.093442
2.68314,1.40092,0.0157152
2.68314,1.41396,0.0511802
2.68314,1.42701,0.248461
2.68314,1.44005,0.142215
2.68314,1.45309,0.0802233
2.68314,1.46614,0.017175
2.68314,1.47918,0.0894997
2.68314,1.49223,0.14121
2.68314,1.50527,0.193805
2.68314,1.51831,0.164866
2.68314,1.53136,0.0478897
2.68314,1.5444,0.0388592
2.68314,1.55744,0.0853304
2.68314,1.57049,0.267602
2.68314,1.58353,0.0416228
2.68314,1.59657,0.0266223
2.68314,1.60962,0.0048082
2.68314,1.62266,0.0063535
2.68314,1.6357,0.072248
2.68314,1.64875,0.032946
2.68314,1.66179,0.129076
2.68314,1.67483,0.309796
2.68314,1.68788,0.0240772
2.68314,1.70092,0.0530366
2.68314,1.71396,0.0521716
2.68314,1.72701,0.0387289
2.68314,1.74005,0.0241683
2.68314,1.75309,0.00764583
2.68314,1.76614,0.0223907
2.68314,1.77918,0.00511025
2.68314,1.79223,0.376333
2.68314,1.80527,0.0247345
2.68314,1.81831,0.564014
2.68314,1.83136,0.47657
2.68314,1.8444,0.556957
2.68314,1.85744,0.12349
2.68314,1.87049,0.000544
2.68314,1.88353,0.248894
2.68314,1.89657,0.0534665
2.68314,1.90962,0.00715883
2.68314,1.92266,0.0504063
2.68314,1.9357,0.0115693
2.68314,1.94875,0.0551215
2.68314,1.96179,0.056682
2.68314,1.97483,0.0582003
2.68314,1.98788,0.163488
2.68314,2.00092,0.114499
2.68314,2.01396,0.022676
2.68314,2.02701,0.331347
2.68314,2.04005,0.014394
2.68314,2.05309,0.154154
2.68314,2.06614,0.0114902
2.68314,2.07918,0.00596967
2.68314,2.09223,0.0032845
2.68314,2.10527,2e-05
2.68314,2.11831,0.00610667
2.68314,2.13136,0.026261
2.68314,2.1444,0.0157455
2.68314,2.15744,1.19551
2.68314,2.17049,0.699731
2.68314,2.18353,0.0693686
2.68314,2.19657,0.168961
2.68314,2.20962,0.0464023
2.68314,2.22266,0.125532
2.68314,2.2357,0.0335233
2.68314,2.24875,0.0011635
2.68314,2.26179,0.0496297
2.68314,2.27483,0.220343
2.68314,2.28788,0.001369
2.68314,2.30092,0.378457
2.68314,2.31396,4e-06
2.68314,2.32701,0.231922
2.68314,2.34005,0.0581467
2.68314,2.35309,0.0565347
2.68314,2.36614,0.389609
2.69619,1.14005,0.000913
2.69619,1.15309,0.0227545
2.69619,1.16614,0.0227545
2.69619,1.17918,3.6e-05
2.69619,1.19223,0.000121
2.69619,1.20527,0.0093425
2.69619,1.21831,0.0093425
2.69619,1.23136,0.0168363
2.69619,1.2444,0.018769
2.69619,1.25744,0.018769
2.69619,1.27049,0.182058
2.69619,1.28353,0.182058
2.69619,1.29657,0.223162
2.69619,1.30962,0.0148625
2.69619,1.32266,0.0001765
2.69619,1.3357,0.0001765
2.69619,1.34875,0.228845
2.69619,1.36179,0.063504
2.69619,1.37483,0.007858
2.69619,1.38788,0.007858
2.69619,1.40092,0.0157152
2.69619,1.41396,0.0511802
2.69619,1.42701,0.248461
2.69619,1.44005,0.0104117
2.69619,1.45309,0.155493
2.69619,1.46614,0.155493
2.69619,1.47918,0.0894997
2.69619,1.49223,0.14121
2.69619,1.50527,0.257049
2.69619,1.51831,0.257049
2.69619,1.53136,0.0478897
2.69619,1.5444,1e-06
2.69619,1.55744,0.0144
2.69619,1.57049,0.0144
2.69619,1.58353,9e-06
2.69619,1.59657,9e-06
2.69619,1.60962,0.0048082
2.69619,1.62266,0.0063535
2.69619,1.6357,0.684185
2.69619,1.64875,0.011236
2.69619,1.66179,0.011236
2.69619,1.67483,0.001296
2.69619,1.68788,0.001296
2.69619,1.70092,0.0530366
2.69619,1.71396,0.0022565
2.69619,1.72701,0.421442
2.69619,1.74005,0.421442
2.69619,1.75309,0.00764583
2.69619,1.76614,0.0223907
2.69619,1.77918,6.4e-05
2.69619,1.79223,6.4e-05
2.69619,1.80527,0.13042
2.69619,1.81831,0.0057625
2.69619,1.83136,0.0057625
2.69619,1.8444,0.161569
2.69619,1.85744,0.161569
2.69619,1.87049,0.000544
2.69619,1.88353,0.248894
2.69619,1.89657,0.0534665
2.69619,1.90962,1.2447
2.69619,1.92266,0.108466
2.69619,1.9357,0.108466
2.69619,1.94875,0.0551215
2.69619,1.96179,0.056682
2.69619,1.97483,0.0582003
2.69619,1.98788,0.679922
2.69619,2.00092,6.4e-05
2.69619,2.01396,6.4e-05
2.69619,2.02701,0.331347
2.69619,2.04005,0.1076
2.69619,2.05309,1.19028
2.69619,2.06614,1.19028
2.69619,2.07918,0.007412
2.69619,2.09223,0.007412
2.69619,2.10527,2e-05
2.69619,2.11831,0.026896
2.69619,2.13136,0.026896
2.69619,2.1444,0.0157455
2.69619,2.15744,0.003249
2.69619,2.17049,0.013456
2.69619,2.18353,0.002209
2.69619,2.19657,0.002209
2.69619,2.20962,0.0464023
2.69619,2.22266,0.125532
2.69619,2.2357,0.0335233
2.69619,2.24875,0.089492
2.69619,2.26179,0.069605
2.69619,2.27483,0.236196
2.69619,2.28788,0.236196
2.69619,2.30092,0.378457
2.69619,2.31396,4e-06
2.69619,2.32701,0.164025
2.69619,2.34005,0.164025
2.69619,2.35309,0.39774
2.69619,2.36614,0.77405
2.70923,1.14005,0.0418745
2.70923,1.15309,0.0418745
2.70923,1.16614,0.0028565
2.70923,1.17918,0.0028565
2.70923,1.19223,0.0723645
2.70923,1.20527,0.121801
2.70923,1.21831,0.121801
2.70923,1.23136,0.018769
2.70923,1.2444,0.018769
2.70923,1.25744,0.018769
2.70923,1.27049,9e-06
2.70923,1.28353,9e-06
2.70923,1.29657,0.459684
2.70923,1.30962,0.459684
2.70923,1.32266,0.260786
2.70923,1.3357,0.260786
2.70923,1.34875,0.021609
2.70923,1.36179,0.021609
2.70923,1.37483,0.002601
2.70923,1.38788,0.002601
2.70923,1.40092,0.002601
2.70923,1.41396,0.0511802
2.70923,1.42701,0.001241
2.70923,1.44005,0.001241
2.70923,1.45309,0.036481
2.70923,1.46614,0.036481
2.70923,1.47918,0.036481
2.70923,1.49223,0.257049
2.70923,1.50527,0.257049
2.70923,1.51831,0.671281
2.70923,1.53136,0.671281
2.70923,1.5444,0.00145
2.70923,1.55744,0.158245
2.70923,1.57049,0.158245
2.70923,1.58353,1.3e-05
2.70923,1.59657,1.3e-05
2.70923,1.60962,1.3e-05
2.70923,1.62266,0.020449
2.70923,1.6357,0.020449
2.70923,1.64875,0.817945
2.70923,1.66179,0.817945
2.70923,1.67483,0.004096
2.70923,1.68788,0.004096
2.70923,1.70092,0.002209
2.70923,1.71396,0.002209
2.70923,1.72701,0.036481
2.70923,1.74005,0.036481
2.70923,1.75309,0.036481
2.70923,1.76614,6.4e-05
2.70923,1.77918,6.4e-05
2.70923,1.79223,1.37593
2.70923,1.80527,1.37593
2.70923,1.81831,0.0083385
2.70923,1.83136,0.0083385
2.70923,1.8444,0.000225
2.70923,1.85744,0.000225
2.70923,1.87049,0.000225
2.70923,1.88353,0.248894
2.70923,1.89657,0.018225
2.70923,1.90962,0.018225
2.70923,1.92266,0.0317505
2.70923,1.9357,0.0317505
2.70923,1.94875,0.0317505
2.70923,1.96179,0.056682
2.70923,1.97483,0.009604
2.70923,1.98788,0.009604
2.70923,2.00092,0.0241425
2.70923,2.01396,0.0241425
2.70923,2.02701,0.042025
2.70923,2.04005,0.042025
2.70923,2.05309,0.010816
2.70923,2.06614,0.010816
2.70923,2.07918,0.000324
2.70923,2.09223,0.000324
2.70923,2.10527,0.040804
2.70923,2.11831,0.040804
2.70923,2.13136,0.040804
2.70923,2.1444,0.0054965
2.70923,2.15744,0.0054965
2.70923,2.17049,0.004825
2.70923,2.18353,0.002209
2.70923,2.19657,0.002209
2.70923,2.20962,0.002209
2.70923,2.22266,0.125532
2.70923,2.2357,0.16385
2.70923,2.24875,0.16385
2.70923,2.26179,0.001521
2.70923,2.27483,0.000196
2.70923,2.28788,0.000196
2.70923,2.30092,0.183184
2.70923,2.31396,0.183184
2.70923,2.32701,0.000361
2.70923,2.34005,0.890756
2.70923,2.35309,0.000529
2.70923,2.36614,0.063504
2.72227,1.14005,0.000163333
2.72227,1.15309,0.000163333
2.72227,1.16614,0.0699845
2.72227,1.17918,0.659528
2.72227,1.19223,0.057121
2.72227,1.20527,0.315045
2.72227,1.21831,0.315045
2.72227,1.23136,0.156025
2.72227,1.2444,0.018769
2.72227,1.25744,0.000441
2.72227,1.27049,9e-06
2.72227,1.28353,9e-06
2.72227,1.29657,0.0784
