x,y,z
2.68001,1.13469,-12.1473
2.68001,1.16729,-7.44335
2.68001,1.1999,-14.1387
2.68001,1.23251,-5.55803
2.68001,1.26512,-9.20608
2.68001,1.29773,-6.7025
2.68001,1.33034,-7.07807
2.68001,1.36295,-4.25399
2.68001,1.39556,-8.20275
2.68001,1.42816,-3.57738
2.68001,1.46077,-9.12425
2.68001,1.49338,-1.85984
2.68001,1.52599,-5.698
2.68001,1.5586,-4.52619
2.68001,1.59121,-3.72417
2.68001,1.62382,-5.14578
2.68001,1.65643,-2.22762
2.68001,1.68903,-4.2624
2.68001,1.72164,-5.06949
2.68001,1.75425,-7.67625
2.68001,1.78686,-8.9529
2.68001,1.81947,-5.84234
2.68001,1.85208,-6.9074
2.68001,1.88469,-9.7245
2.68001,1.91729,-7.73838
2.68001,1.9499,-10.4545
2.68001,1.98251,-7.60484
2.68001,2.01512,-8.82562
2.68001,2.04773,-7.0595
2.68001,2.08034,-12.1725
2.68001,2.11295,-16.3771
2.68001,2.14556,-11.5208
2.68001,2.17816,-0.834797
2.68001,2.21077,-9.75296
2.68001,2.24338,-12.9879
2.68001,2.27599,-5.45108
2.68001,2.3086,-5.84496
2.68001,2.34121,-2.96145
2.68001,2.37382,-3.92327
2.71262,1.13469,-12.7432
2.71262,1.16729,-1.44133
2.71262,1.1999,-6.08633
2.71262,1.23251,-13.8645
2.71262,1.26512,-26.9057
2.71262,1.29773,-5.54618
2.71262,1.33034,-3.39402
2.71262,1.36295,-12.1649
2.71262,1.39556,-11.8732
2.71262,1.42816,-17.3486
2.71262,1.46077,-7.10087
2.71262,1.49338,-7.1286
2.71262,1.52599,1.70896
2.71262,1.5586,-5.5996
2.71262,1.59121,-31.4246
2.71262,1.62382,-11.8767
2.71262,1.65643,2.50835
2.71262,1.68903,-22.2853
2.71262,1.72164,-11.2191
2.71262,1.75425,-13.0225
2.71262,1.78686,-5.98158
2.71262,1.81947,-12.0239
2.71262,1.85208,-10.8447
2.71262,1.88469,-10.619
2.71262,1.91729,-12.943
2.71262,1.9499,-12.6866
2.71262,1.98251,-7.32731
2.71262,2.01512,-6.35113
