x,y,z
2.68513,1.14047,0.169446
2.68513,1.17307,-0.254473
2.68513,1.20568,0.229725
2.68513,1.23829,-0.31513
2.68513,1.2709,-0.188317
2.68513,1.30351,0.00793348
2.68513,1.33612,0.0807546
2.68513,1.36873,-0.00666291
2.68513,1.40134,-0.189115
2.68513,1.43394,0.26922
2.68513,1.46655,0.230894
2.68513,1.49916,-0.33066
2.68513,1.53177,0.0169372
2.68513,1.56438,0.00035444
2.68513,1.59699,0.0894677
2.68513,1.6296,-0.0364929
2.68513,1.6622,0.0437304
2.68513,1.69481,0.152832
2.68513,1.72742,-0.4215
2.68513,1.76003,-0.0378941
2.68513,1.79264,0.0457147
2.68513,1.82525,-0.111694
2.68513,1.85786,0.0703838
2.68513,1.89047,-0.0714272
2.68513,1.92307,-0.141091
2.68513,1.95568,0.119851
2.68513,1.98829,-0.0917871
2.68513,2.0209,0.0437933
2.68513,2.05351,-0.209983
2.68513,2.08612,0.0603806
2.68513,2.11873,-0.125441
2.68513,2.15134,-0.0850831
2.68513,2.18394,-0.137998
2.68513,2.21655,-0.0331021
2.68513,2.24916,0.0862935
2.68513,2.28177,-0.293448
2.68513,2.31438,-0.00175233
2.68513,2.34699,0.0312285
2.68513,2.3796,0.0902318
2.71774,1.14047,0.133231
2.71774,1.17307,-0.279028
2.71774,1.20568,0.0836591
2.71774,1.23829,-0.373371
2.71774,1.2709,-0.432253
2.71774,1.30351,-0.372561
2.71774,1.33612,-0.246902
2.71774,1.36873,-0.506243
2.71774,1.40134,-0.0343901
2.71774,1.43394,-0.211026
2.71774,1.46655,-0.0828925
2.71774,1.49916,-0.190201
2.71774,1.53177,0.0242071
2.71774,1.56438,0.053117
2.71774,1.59699,-0.372231
2.71774,1.6296,-0.230536
2.71774,1.6622,-0.0993471
2.71774,1.69481,-0.370328
2.71774,1.72742,0.22535
2.71774,1.76003,0.0436884
2.71774,1.79264,-0.0390262
2.71774,1.82525,-0.0695384
2.71774,1.85786,-0.0776575
2.71774,1.89047,-0.0960627
2.71774,1.92307,0.151527
2.71774,1.95568,-0.125296
2.71774,1.98829,0.129816
2.71774,2.0209,-0.0536061
2.71774,2.05351,-0.147024
2.71774,2.08612,0.126238
2.71774,2.11873,-0.226703
2.71774,2.15134,-0.0424312
2.71774,2.18394,-0.170032
2.71774,2.21655,0.0817897
2.71774,2.24916,0.177988
2.71774,2.28177,-0.00745698
2.71774,2.31438,0.0245772
2.71774,2.34699,0.0383443
2.71774,2.3796,-0.0125989
2.75034,1.14047,-0.261346
2.75034,1.17307,0.140944
2.75034,1.20568,0.176333
2.75034,1.23829,-0.35579
2.75034,1.2709,0.0361944
2.75034,1.30351,0.0222789
2.75034,1.33612,-0.418929
2.75034,1.36873,0.190923
2.75034,1.40134,0.152238
2.75034,1.43394,-0.201902
2.75034,1.46655,0.0311193
2.75034,1.49916,-0.127865
2.75034,1.53177,-0.0285468
2.75034,1.56438,-0.238844
2.75034,1.59699,0.0313991
2.75034,1.6296,0.276571
2.75034,1.6622,-0.167215
2.75034,1.69481,0.0501068
2.75034,1.72742,-0.0845307
2.75034,1.76003,-0.359353
2.75034,1.79264,-0.115455
2.75034,1.82525,0.0783424
2.75034,1.85786,0.133117
2.75034,1.89047,0.238203
2.75034,1.92307,-0.0843347
2.75034,1.95568,-0.310713
2.75034,1.98829,-0.049736
2.75034,2.0209,0.0192422
2.75034,2.05351,0.0241204
2.75034,2.08612,0.388849
2.75034,2.11873,-0.133337
2.75034,2.15134,0.313813
2.75034,2.18394,0.252038
2.75034,2.21655,0.255538
2.75034,2.24916,0.100372
2.75034,2.28177,0.0422829
2.75034,2.31438,0.0174984
2.75034,2.34699,0.304322
2.75034,2.3796,0.111833
2.78295,1.14047,-0.0238662
2.78295,1.17307,0.040104
2.78295,1.20568,0.0490575
2.78295,1.23829,0.251363
2.78295,1.2709,0.24921
2.78295,1.30351,0.074827
