x,y,z
2.68513,1.14047,-15.7959
2.68513,1.17307,-22.0214
2.68513,1.20568,-55.2094
2.68513,1.23829,-55.3399
2.68513,1.2709,-55.0768
2.68513,1.30351,-54.7384
2.68513,1.33612,-56.7177
2.68513,1.36873,-3.34248
2.68513,1.40134,-2.84659
2.68513,1.43394,-2.26644
2.68513,1.46655,-3.27557
2.68513,1.49916,-1.8492
2.68513,1.53177,-6.63622
2.68513,1.56438,-9.53313
2.68513,1.59699,-8.03323
2.68513,1.6296,-7.5562
2.68513,1.6622,-12.1922
2.68513,1.69481,-0.115283
2.68513,1.72742,-1.19004
2.68513,1.76003,5.92568
2.68513,1.79264,5.06811
2.68513,1.82525,0.0719771
2.68513,1.85786,-2.46803
2.68513,1.89047,-2.51269
2.68513,1.92307,-53.6706
2.68513,1.95568,-53.3133
2.68513,1.98829,-53.1312
2.68513,2.0209,-52.7901
2.68513,2.05351,-47.0226
2.68513,2.08612,-62.2236
2.68513,2.11873,-56.1312
2.68513,2.15134,-50.8688
2.68513,2.18394,-56.1096
2.68513,2.21655,-48.2867
2.68513,2.24916,-48.6088
2.68513,2.28177,-52.4951
2.68513,2.31438,-21.6465
2.68513,2.34699,-22.0093
2.68513,2.3796,-56.7698
2.71774,1.14047,-16.0314
2.71774,1.17307,-22.2559
2.71774,1.20568,-38.7014
2.71774,1.23829,-61.4038
2.71774,1.2709,-61.2328
2.71774,1.30351,-60.9481
2.71774,1.33612,-56.9803
2.71774,1.36873,-19.0654
2.71774,1.40134,-5.07852
2.71774,1.43394,-3.90811
2.71774,1.46655,-4.7007
2.71774,1.49916,-6.05789
2.71774,1.53177,-6.0237
2.71774,1.56438,-7.70441
2.71774,1.59699,-15.8219
2.71774,1.6296,-5.44599
2.71774,1.6622,-11.7078
2.71774,1.69481,-2.45703
2.71774,1.72742,-0.326447
2.71774,1.76003,2.32418
2.71774,1.79264,1.92112
2.71774,1.82525,0.13134
2.71774,1.85786,-6.6683
2.71774,1.89047,-13.5422
2.71774,1.92307,-53.7715
2.71774,1.95568,-53.5648
2.71774,1.98829,-32.3191
2.71774,2.0209,-52.9054
2.71774,2.05351,-59.1667
2.71774,2.08612,-49.1471
2.71774,2.11873,-55.3762
2.71774,2.15134,-50.7542
2.71774,2.18394,-52.2727
2.71774,2.21655,-51.4652
2.71774,2.24916,-51.3779
2.71774,2.28177,-52.5495
2.71774,2.31438,-54.2243
2.71774,2.34699,-49.8897
2.71774,2.3796,-56.8386
2.75034,1.14047,-11.3567
2.75034,1.17307,-11.4887
2.75034,1.20568,-39.171
2.75034,1.23829,-39.1291
2.75034,1.2709,-55.2817
2.75034,1.30351,-54.7445
2.75034,1.33612,-60.0105
2.75034,1.36873,-37.6394
2.75034,1.40134,-16.3459
2.75034,1.43394,-17.7709
2.75034,1.46655,-18.784
2.75034,1.49916,-6.16474
2.75034,1.53177,-25.7988
2.75034,1.56438,-25.5274
2.75034,1.59699,-15.4231
2.75034,1.6296,-52.9688
2.75034,1.6622,-58.7894
2.75034,1.69481,-58.9809
2.75034,1.72742,-60.0863
2.75034,1.76003,-9.55989
2.75034,1.79264,-10.7241
2.75034,1.82525,0.387194
2.75034,1.85786,-6.39565
2.75034,1.89047,-46.8393
2.75034,1.92307,-51.4496
2.75034,1.95568,-50.8916
2.75034,1.98829,-15.567
2.75034,2.0209,-12.0852
2.75034,2.05351,-19.8593
2.75034,2.08612,-25.8042
2.75034,2.11873,-25.9241
2.75034,2.15134,-47.9429
2.75034,2.18394,-58.3626
2.75034,2.21655,-58.6326
2.75034,2.24916,-56.6665
2.75034,2.28177,-56.8987
2.75034,2.31438,-51.3614
2.75034,2.34699,-51.65
2.75034,2.3796,-51.3519
2.78295,1.14047,-15.4546
2.78295,1.17307,-15.5223
2.78295,1.20568,-30.7293
2.78295,1.23829,-57.8494
2.78295,1.2709,-48.1702
2.78295,1.30351,-25.2947
2.78295,1.33612,-21.1773
2.78295,1.36873,-13.2766
2.78295,1.40134,-16.609
2.78295,1.43394,-12.4671
2.78295,1.46655,-17.3603
2.78295,1.49916,-17.4649
2.78295,1.53177,-18.3559
2.78295,1.56438,-53.4587
2.78295,1.59699,-52.2451
2.78295,1.6296,-42.4326
2.78295,1.6622,-55.0993
2.78295,1.69481,-47.6603
2.78295,1.72742,-29.1979
2.78295,1.76003,-29.9775
2.78295,1.79264,-7.97079
2.78295,1.82525,-10.7898
2.78295,1.85786,-12.5491
2.78295,1.89047,-13.9736
2.78295,1.92307,-24.7197
2.78295,1.95568,-17.3068
2.78295,1.98829,-10.8872
2.78295,2.0209,-9.74682
2.78295,2.05351,-10.6858
2.78295,2.08612,-13.9535
2.78295,2.11873,-32.3059
2.78295,2.15134,-41.233
2.78295,2.18394,-52.8759
2.78295,2.21655,-56.0813
2.78295,2.24916,-52.6546
2.78295,2.28177,-50.9906
2.78295,2.31438,-51.4903
2.78295,2.34699,-52.4134
2.78295,2.3796,-52.5486
2.81556,1.14047,-22.0449
2.81556,1.17307,-52.7453
2.81556,1.20568,-52.6452
2.81556,1.23829,-62.2104
2.81556,1.2709,-62.0436
2.81556,1.30351,-25.9421
2.81556,1.33612,-16.0274
2.81556,1.36873,-5.59892
2.81556,1.40134,-23.8867
2.81556,1.43394,-23.8375
2.81556,1.46655,-17.7911
2.81556,1.49916,-17.4381
2.81556,1.53177,-18.1563
2.81556,1.56438,-59.3591
2.81556,1.59699,-49.8959
2.81556,1.6296,-53.7673
2.81556,1.6622,-53.7477
2.81556,1.69481,-60.038
2.81556,1.72742,-9.8881
2.81556,1.76003,-6.27364
2.81556,1.79264,-4.36308
