x,y,z
2.96047,1.12495,9e-06
2.96047,1.13799,9e-06
2.96047,1.15104,9e-06
2.96047,1.16408,9e-06
2.96047,1.17712,9e-06
2.96047,1.19017,9e-06
2.96047,1.20321,9e-06
2.96047,1.21626,9e-06
2.96047,1.2293,9e-06
2.96047,1.24234,9e-06
2.96047,1.25539,9e-06
2.96047,1.26843,9e-06
2.96047,1.28147,9e-06
2.96047,1.29452,9e-06
2.96047,1.30756,9e-06
2.96047,1.3206,9e-06
2.96047,1.33365,9e-06
2.96047,1.34669,9e-06
2.96047,1.35973,9e-06
2.96047,1.37278,9e-06
2.96047,1.38582,9e-06
2.96047,1.39886,9e-06
2.96047,1.41191,9e-06
2.96047,1.42495,9e-06
2.96047,1.43799,9e-06
2.96047,1.45104,9e-06
2.96047,1.46408,9e-06
2.96047,1.47712,9e-06
2.96047,1.49017,9e-06
2.96047,1.50321,9e-06
2.96047,1.51626,4e-06
2.96047,1.5293,7.33333e-06
2.96047,1.54234,2.83333e-06
2.96047,1.55539,5.4e-06
2.96047,1.56843,4.5e-05
2.96047,1.58147,0.00862914
2.96047,1.59452,0.0144158
2.96047,1.60756,0.0475087
2.96047,1.6206,0.042554
2.96047,1.63365,0.085408
2.96047,1.64669,0.245811
2.96047,1.65973,0.200108
2.96047,1.67278,0.247009
2.96047,1.68582,0.293196
2.96047,1.69886,0.420083
2.96047,1.71191,0.401469
2.96047,1.72495,0.463761
2.96047,1.73799,0.528929
2.96047,1.75104,0.702244
2.96047,1.76408,0.771413
2.96047,1.77712,1.11692
2.96047,1.79017,1.12845
2.96047,1.80321,1.13577
2.96047,1.81626,1.16046
2.96047,1.8293,1.35539
2.96047,1.84234,1.4624
2.96047,1.85539,1.82437
2.96047,1.86843,1.78102
2.96047,1.88147,1.61489
2.96047,1.89452,1.95296
2.96047,1.90756,1.87142
2.96047,1.9206,2.14425
2.96047,1.93365,2.24025
2.96047,1.94669,2.03322
2.96047,1.95973,2.01666
2.96047,1.97278,2.06335
2.96047,1.98582,2.26066
2.96047,1.99886,2.26066
2.96047,2.01191,1.91291
2.96047,2.02495,1.93399
2.96047,2.03799,1.93399
2.96047,2.05104,1.27421
2.96047,2.06408,0.855311
2.96047,2.07712,0.855311
2.97352,1.12495,9e-06
2.97352,1.13799,9e-06
2.97352,1.15104,9e-06
2.97352,1.16408,9e-06
2.97352,1.17712,9e-06
2.97352,1.19017,9e-06
2.97352,1.20321,9e-06
2.97352,1.21626,9e-06
2.97352,1.2293,9e-06
2.97352,1.24234,9e-06
2.97352,1.25539,9e-06
