x,y,z
2.68001,1.13469,-46.2635
2.68001,1.16729,-46.6625
2.68001,1.1999,-47.0951
2.68001,1.23251,-47.3259
2.68001,1.26512,-49.7653
2.68001,1.29773,-49.2167
2.68001,1.33034,-48.2445
2.68001,1.36295,-47.7724
2.68001,1.39556,-47.7718
2.68001,1.42816,-47.6933
2.68001,1.46077,-47.8905
2.68001,1.49338,-48.2887
2.68001,1.52599,-48.6215
2.68001,1.5586,-42.477
2.68001,1.59121,-15.8583
2.68001,1.62382,-7.1586
2.68001,1.65643,-1.93105
2.68001,1.68903,-0.746714
2.68001,1.72164,-1.27775
2.68001,1.75425,-0.451964
2.68001,1.78686,0.226913
2.68001,1.81947,0.208912
2.68001,1.85208,0.812761
2.68001,1.88469,1.7154
2.68001,1.91729,2.6685
2.68001,1.9499,3.01059
2.68001,1.98251,2.95735
2.68001,2.01512,2.86482
2.68001,2.04773,-0.635647
2.68001,2.08034,0.596618
2.68001,2.11295,1.39444
2.68001,2.14556,1.25107
2.68001,2.17816,1.30096
2.68001,2.21077,1.05168
2.68001,2.24338,0.386224
2.68001,2.27599,0.308052
2.68001,2.3086,-0.574068
2.68001,2.34121,-0.897802
2.68001,2.37382,-0.230632
2.71262,1.13469,-46.4579
2.71262,1.16729,-47.0935
2.71262,1.1999,-46.8668
2.71262,1.23251,-47.0565
2.71262,1.26512,-47.2667
2.71262,1.29773,-49.4642
2.71262,1.33034,-48.5661
2.71262,1.36295,-47.816
2.71262,1.39556,-47.5243
2.71262,1.42816,-47.5717
2.71262,1.46077,-48.0303
2.71262,1.49338,-48.058
2.71262,1.52599,-48.474
2.71262,1.5586,-42.2953
2.71262,1.59121,-15.8886
2.71262,1.62382,-7.21749
2.71262,1.65643,-1.55158
2.71262,1.68903,-0.0144946
2.71262,1.72164,0.247918
2.71262,1.75425,0.584882
2.71262,1.78686,0.275421
2.71262,1.81947,0.448856
2.71262,1.85208,0.916006
2.71262,1.88469,1.72771
2.71262,1.91729,3.0751
2.71262,1.9499,3.20943
2.71262,1.98251,3.20343
2.71262,2.01512,3.96346
2.71262,2.04773,0.432465
2.71262,2.08034,1.31311
2.71262,2.11295,1.3304
2.71262,2.14556,1.56009
2.71262,2.17816,1.74778
2.71262,2.21077,1.59379
2.71262,2.24338,0.576045
2.71262,2.27599,0.626061
2.71262,2.3086,-0.591924
2.71262,2.34121,0.86319
2.71262,2.37382,-0.144096
2.74522,1.13469,-47.7714
2.74522,1.16729,-47.8799
2.74522,1.1999,-47.4791
2.74522,1.23251,-47.6175
2.74522,1.26512,-47.7217
2.74522,1.29773,-47.4293
2.74522,1.33034,-48.8135
2.74522,1.36295,-48.0274
2.74522,1.39556,-47.8702
2.74522,1.42816,-47.6751
2.74522,1.46077,-47.9454
2.74522,1.49338,-48.4834
2.74522,1.52599,-48.5958
2.74522,1.5586,-42.4725
2.74522,1.59121,-15.9956
2.74522,1.62382,-7.07345
2.74522,1.65643,-1.56766
2.74522,1.68903,0.259101
2.74522,1.72164,0.839817
2.74522,1.75425,1.20568
2.74522,1.78686,1.07496
2.74522,1.81947,0.61317
2.74522,1.85208,1.10585
2.74522,1.88469,1.66103
2.74522,1.91729,2.60446
2.74522,1.9499,2.96074
2.74522,1.98251,3.87346
2.74522,2.01512,3.97822
2.74522,2.04773,0.609686
2.74522,2.08034,1.19304
2.74522,2.11295,1.21754
2.74522,2.14556,0.913081
2.74522,2.17816,1.07814
2.74522,2.21077,0.489796
2.74522,2.24338,0.0656316
2.74522,2.27599,-0.594407
2.74522,2.3086,0.850229
2.74522,2.34121,0.522192
2.74522,2.37382,0.104174
2.77783,1.13469,-48.7746
2.77783,1.16729,-48.8514
2.77783,1.1999,-48.4476
2.77783,1.23251,-48.4683
2.77783,1.26512,-48.4279
2.77783,1.29773,-48.183
2.77783,1.33034,-47.16
2.77783,1.36295,-48.8629
2.77783,1.39556,-48.1268
2.77783,1.42816,-48.0583
2.77783,1.46077,-48.1446
2.77783,1.49338,-48.2449
2.77783,1.52599,-48.3875
2.77783,1.5586,-42.3
2.77783,1.59121,-15.8334
2.77783,1.62382,-7.25153
2.77783,1.65643,-1.504
2.77783,1.68903,0.208132
2.77783,1.72164,0.968578
2.77783,1.75425,1.94987
2.77783,1.78686,2.09452
2.77783,1.81947,1.10248
2.77783,1.85208,1.36286
2.77783,1.88469,1.91227
2.77783,1.91729,3.01789
2.77783,1.9499,3.12006
2.77783,1.98251,3.62966
