x,y,z
2.96055,1.48169,1e-06
2.96055,1.49473,5e-06
2.96055,1.50777,8.8e-06
2.96055,1.52082,0.00479938
2.96055,1.53386,0.0637955
2.96055,1.5469,0.238144
2.96055,1.55995,0.341348
2.96055,1.57299,0.759165
2.96055,1.58603,1.21911
2.96055,1.59908,1.82938
2.96055,1.61212,2.26757
2.96055,1.62517,2.8555
2.96055,1.63821,3.56961
2.96055,1.65125,4.09826
2.96055,1.6643,4.35849
2.96055,1.67734,4.76979
2.96055,1.69038,5.2658
2.96055,1.70343,5.77163
2.96055,1.71647,5.99438
2.96055,1.72951,6.85634
2.96055,1.74256,6.62952
2.96055,1.7556,7.23209
2.96055,1.76864,7.17322
2.96055,1.78169,7.0977
2.96055,1.79473,7.24364
2.96055,1.80777,7.09876
2.96055,1.82082,6.60984
2.96055,1.83386,7.25451
2.96055,1.8469,7.82463
2.96055,1.85995,7.6366
2.96055,1.87299,8.07148
2.96055,1.88603,7.86693
2.96055,1.89908,7.27734
2.96055,1.91212,6.93522
2.96055,1.92517,6.70903
2.96055,1.93821,6.12572
2.96055,1.95125,5.84082
2.96055,1.9643,4.93921
2.96055,1.97734,4.63604
2.96055,1.99038,3.72569
2.96055,2.00343,3.45798
2.96055,2.01647,2.56848
2.96055,2.02951,1.8567
2.96055,2.04256,1.7024
2.96055,2.0556,1.06951
2.96055,2.06864,0.767375
2.96055,2.08169,0.48585
2.9736,1.48169,4e-06
2.9736,1.49473,4.57143e-06
2.9736,1.50777,0.000164167
2.9736,1.52082,0.0292145
2.9736,1.53386,0.121609
2.9736,1.5469,0.253356
2.9736,1.55995,0.495797
2.9736,1.57299,1.22529
2.9736,1.58603,1.73683
2.9736,1.59908,2.54887
2.9736,1.61212,3.05197
2.9736,1.62517,3.92718
2.9736,1.63821,4.90096
2.9736,1.65125,5.87177
2.9736,1.6643,6.54718
2.9736,1.67734,6.34085
2.9736,1.69038,7.95092
2.9736,1.70343,7.46144
2.9736,1.71647,8.40562
2.9736,1.72951,8.91462
2.9736,1.74256,8.13929
2.9736,1.7556,9.81146
2.9736,1.76864,9.67465
2.9736,1.78169,9.31662
2.9736,1.79473,10.1282
2.9736,1.80777,9.91413
2.9736,1.82082,10.8299
2.9736,1.83386,10.2513
2.9736,1.8469,10.9044
2.9736,1.85995,10.1639
2.9736,1.87299,10.5083
2.9736,1.88603,10.4518
2.9736,1.89908,9.40102
2.9736,1.91212,8.71969
2.9736,1.92517,7.8129
2.9736,1.93821,7.80824
2.9736,1.95125,7.57455
2.9736,1.9643,6.55753
2.9736,1.97734,5.77963
2.9736,1.99038,5.33919
2.9736,2.00343,3.98587
2.9736,2.01647,3.27897
2.9736,2.02951,2.56834
2.9736,2.04256,2.29622
2.9736,2.0556,1.51241
2.9736,2.06864,1.15193
2.9736,2.08169,0.76643
2.98664,1.48169,7e-06
2.98664,1.49473,7.42857e-06
2.98664,1.50777,0.00204975
2.98664,1.52082,0.069497
2.98664,1.53386,0.257298
2.98664,1.5469,0.338625
2.98664,1.55995,0.808919
2.98664,1.57299,1.72842
2.98664,1.58603,2.14554
2.98664,1.59908,3.5443
2.98664,1.61212,4.13141
2.98664,1.62517,5.47432
2.98664,1.63821,6.65569
2.98664,1.65125,7.92054
2.98664,1.6643,8.29254
2.98664,1.67734,8.68128
2.98664,1.69038,10.7764
2.98664,1.70343,9.10755
2.98664,1.71647,11.0823
2.98664,1.72951,11.4267
2.98664,1.74256,11.6371
2.98664,1.7556,11.499
2.98664,1.76864,12.7269
2.98664,1.78169,11.5532
2.98664,1.79473,12.3151
2.98664,1.80777,11.9946
2.98664,1.82082,10.6666
2.98664,1.83386,11.1325
2.98664,1.8469,11.6353
2.98664,1.85995,11.1927
2.98664,1.87299,11.4899
2.98664,1.88603,10.727
2.98664,1.89908,10.1391
2.98664,1.91212,9.56496
2.98664,1.92517,9.49025
2.98664,1.93821,8.64825
2.98664,1.95125,8.45627
2.98664,1.9643,7.69189
2.98664,1.97734,6.84694
2.98664,1.99038,5.40563
2.98664,2.00343,4.45803
2.98664,2.01647,3.47407
2.98664,2.02951,3.10384
2.98664,2.04256,2.67729
2.98664,2.0556,1.78794
2.98664,2.06864,1.38989
2.98664,2.08169,0.987326
2.99968,1.48169,3.3375e-05
2.99968,1.49473,0.000153
2.99968,1.50777,0.0114185
2.99968,1.52082,0.104185
2.99968,1.53386,0.281461
2.99968,1.5469,0.446066
2.99968,1.55995,0.751981
2.99968,1.57299,1.51811
2.99968,1.58603,2.15519
2.99968,1.59908,3.97641
2.99968,1.61212,4.42936
2.99968,1.62517,4.10829
2.99968,1.63821,5.62341
2.99968,1.65125,8.55938
2.99968,1.6643,8.41967
2.99968,1.67734,8.50591
2.99968,1.69038,10.2795
2.99968,1.70343,10.1872
2.99968,1.71647,11.9392
2.99968,1.72951,11.7468
2.99968,1.74256,13.2111
2.99968,1.7556,13.4546
2.99968,1.76864,13.7744
2.99968,1.78169,13.5821
2.99968,1.79473,13.8386
2.99968,1.80777,13.6091
2.99968,1.82082,14.3286
2.99968,1.83386,12.9435
2.99968,1.8469,13.0598
2.99968,1.85995,11.8164
2.99968,1.87299,12.0927
2.99968,1.88603,11.4439
2.99968,1.89908,9.90972
2.99968,1.91212,9.83008
2.99968,1.92517,9.5701
2.99968,1.93821,9.51562
2.99968,1.95125,8.21605
2.99968,1.9643,7.77899
2.99968,1.97734,6.76984
2.99968,1.99038,5.51447
2.99968,2.00343,5.03275
2.99968,2.01647,3.89228
2.99968,2.02951,3.19954
2.99968,2.04256,2.78282
2.99968,2.0556,2.0737
2.99968,2.06864,1.5968
2.99968,2.08169,1.22243
3.01273,1.48169,3.63077e-05
3.01273,1.49473,0.00254775
3.01273,1.50777,0.0252185
3.01273,1.52082,0.140563
3.01273,1.53386,0.263441
3.01273,1.5469,0.543751
3.01273,1.55995,1.07796
3.01273,1.57299,1.99
3.01273,1.58603,2.68117
3.01273,1.59908,3.77592
3.01273,1.61212,5.30463
3.01273,1.62517,5.92126
3.01273,1.63821,7.48548
3.01273,1.65125,8.92902
3.01273,1.6643,8.71169
3.01273,1.67734,10.0058
3.01273,1.69038,10.5776
3.01273,1.70343,11.0488
3.01273,1.71647,11.3777
3.01273,1.72951,11.9966
3.01273,1.74256,12.757
3.01273,1.7556,13.5209
3.01273,1.76864,12.9336
3.01273,1.78169,13.4842
3.01273,1.79473,13.855
3.01273,1.80777,13.7249
3.01273,1.82082,14.3726
3.01273,1.83386,11.8768
3.01273,1.8469,12.2509
3.01273,1.85995,10.7322
3.01273,1.87299,11.3061
3.01273,1.88603,10.2369
3.01273,1.89908,10.0499
3.01273,1.91212,8.82201
3.01273,1.92517,8.36154
3.01273,1.93821,7.89544
3.01273,1.95125,7.40635
3.01273,1.9643,6.44225
3.01273,1.97734,6.10934
3.01273,1.99038,5.6298
3.01273,2.00343,4.63606
3.01273,2.01647,3.78473
3.01273,2.02951,2.91959
3.01273,2.04256,2.36656
3.01273,2.0556,2.02474
3.01273,2.06864,1.49655
3.01273,2.08169,1.19046
3.02577,1.48169,4.96667e-05
3.02577,1.49473,0.010559
3.02577,1.50777,0.068877
3.02577,1.52082,0.187355
3.02577,1.53386,0.355739
3.02577,1.5469,0.380916
3.02577,1.55995,1.09621
3.02577,1.57299,2.23754
3.02577,1.58603,2.23754
3.02577,1.59908,4.55449
3.02577,1.61212,5.12358
3.02577,1.62517,5.12358
3.02577,1.63821,7.48548
3.02577,1.65125,8.51656
3.02577,1.6643,8.8338
3.02577,1.67734,8.8338
3.02577,1.69038,10.7899
3.02577,1.70343,10.1529
3.02577,1.71647,12.3315
3.02577,1.72951,11.4479
3.02577,1.74256,12.1939
3.02577,1.7556,12.4635
3.02577,1.76864,11.289
3.02577,1.78169,11.7043
3.02577,1.79473,12.7765
3.02577,1.80777,11.6505
3.02577,1.82082,11.6505
3.02577,1.83386,9.90691
3.02577,1.8469,10.0489
3.02577,1.85995,8.58366
3.02577,1.87299,8.07356
3.02577,1.88603,7.74091
3.02577,1.89908,7.75981
3.02577,1.91212,6.29062
3.02577,1.92517,6.68082
3.02577,1.93821,6.68082
3.02577,1.95125,5.61599
3.02577,1.9643,4.55442
3.02577,1.97734,4.99513
3.02577,1.99038,4.11471
3.02577,2.00343,3.62057
3.02577,2.01647,2.86118
3.02577,2.02951,2.67509
3.02577,2.04256,2.67509
3.02577,2.0556,1.84958
3.02577,2.06864,1.49667
3.02577,2.08169,1.22325
3.03881,1.48169,0.0001172
3.03881,1.49473,0.02375
3.03881,1.50777,0.041692
3.03881,1.52082,0.207816
3.03881,1.53386,0.364544
3.03881,1.5469,0.567654
3.03881,1.55995,0.943962
3.03881,1.57299,1.92417
3.03881,1.58603,2.46092
3.03881,1.59908,2.87946
3.03881,1.61212,4.14195
3.03881,1.62517,3.73725
3.03881,1.63821,5.91846
3.03881,1.65125,6.17251
3.03881,1.6643,6.01857
3.03881,1.67734,6.77912
3.03881,1.69038,7.50265
3.03881,1.70343,8.28981
3.03881,1.71647,8.51649
3.03881,1.72951,8.42731
3.03881,1.74256,9.13913
3.03881,1.7556,9.45693
3.03881,1.76864,9.74022
3.03881,1.78169,9.15034
3.03881,1.79473,9.66165
