x,y,z
2.68001,1.13469,-55.8059
2.68001,1.16729,-56.2049
2.68001,1.1999,-56.6375
2.68001,1.23251,-56.8684
2.68001,1.26512,-56.755
2.68001,1.29773,-56.2064
2.68001,1.33034,-55.2342
2.68001,1.36295,-54.7621
2.68001,1.39556,-54.7615
2.68001,1.42816,-54.683
2.68001,1.46077,-54.8802
2.68001,1.49338,-55.2784
2.68001,1.52599,-11.1949
2.68001,1.5586,0.0496712
2.68001,1.59121,6.52384
2.68001,1.62382,9.45128
2.68001,1.65643,10.852
2.68001,1.68903,11.196
2.68001,1.72164,10.3369
2.68001,1.75425,9.43733
2.68001,1.78686,8.45786
2.68001,1.81947,7.5652
2.68001,1.85208,7.46688
2.68001,1.88469,7.83148
2.68001,1.91729,7.53775
2.68001,1.9499,7.31716
2.68001,1.98251,5.95281
2.68001,2.01512,3.80734
2.68001,2.04773,0.982029
2.68001,2.08034,-1.09128
2.68001,2.11295,-0.293454
2.68001,2.14556,-0.436831
2.68001,2.17816,-0.386937
2.68001,2.21077,-0.636215
2.68001,2.24338,-1.30167
2.68001,2.27599,-1.37985
2.68001,2.3086,-2.26197
2.68001,2.34121,-2.5857
2.68001,2.37382,-3.44293
2.71262,1.13469,-56.0004
2.71262,1.16729,-56.636
2.71262,1.1999,-56.4093
2.71262,1.23251,-56.5989
2.71262,1.26512,-56.8091
2.71262,1.29773,-56.4539
2.71262,1.33034,-55.5558
2.71262,1.36295,-54.8057
2.71262,1.39556,-54.514
2.71262,1.42816,-54.5614
2.71262,1.46077,-55.02
2.71262,1.49338,-55.0477
2.71262,1.52599,-11.0473
2.71262,1.5586,0.231373
2.71262,1.59121,6.49348
2.71262,1.62382,9.3924
2.71262,1.65643,11.2314
2.71262,1.68903,11.9283
2.71262,1.72164,11.8625
2.71262,1.75425,10.4742
2.71262,1.78686,8.50637
2.71262,1.81947,7.80514
2.71262,1.85208,7.57013
2.71262,1.88469,7.8438
2.71262,1.91729,7.94435
2.71262,1.9499,7.51599
2.71262,1.98251,6.19889
2.71262,2.01512,4.90598
2.71262,2.04773,2.05014
2.71262,2.08034,-0.374785
2.71262,2.11295,-0.357495
2.71262,2.14556,-0.12781
2.71262,2.17816,0.0598796
2.71262,2.21077,-0.0941079
2.71262,2.24338,-1.11185
2.71262,2.27599,-1.06184
2.71262,2.3086,-2.27982
2.71262,2.34121,-2.34911
2.71262,2.37382,-3.35639
2.74522,1.13469,-57.3138
2.74522,1.16729,-57.4223
2.74522,1.1999,-57.0215
2.74522,1.23251,-57.1599
2.74522,1.26512,-57.2642
2.74522,1.29773,-56.9718
2.74522,1.33034,-55.8032
2.74522,1.36295,-55.0171
2.74522,1.39556,-54.8599
2.74522,1.42816,-54.6648
2.74522,1.46077,-54.9351
2.74522,1.49338,-55.4731
2.74522,1.52599,-11.1692
2.74522,1.5586,0.0542219
2.74522,1.59121,6.38646
2.74522,1.62382,9.53644
2.74522,1.65643,11.2154
2.74522,1.68903,12.2019
2.74522,1.72164,12.4544
2.74522,1.75425,11.095
2.74522,1.78686,9.30591
2.74522,1.81947,7.96946
2.74522,1.85208,7.75997
2.74522,1.88469,7.77712
2.74522,1.91729,7.47371
2.74522,1.9499,7.2673
2.74522,1.98251,6.86892
2.74522,2.01512,4.92074
2.74522,2.04773,2.22736
2.74522,2.08034,-0.494861
2.74522,2.11295,-0.470358
2.74522,2.14556,-0.774816
2.74522,2.17816,-0.609759
2.74522,2.21077,-1.1981
2.74522,2.24338,-1.62227
2.74522,2.27599,-2.2823
2.74522,2.3086,-2.36207
2.74522,2.34121,-2.69011
2.74522,2.37382,-3.10812
2.77783,1.13469,-58.317
2.77783,1.16729,-58.3938
2.77783,1.1999,-57.99
2.77783,1.23251,-58.0108
2.77783,1.26512,-57.9703
2.77783,1.29773,-57.7254
2.77783,1.33034,-56.7024
2.77783,1.36295,-55.8526
2.77783,1.39556,-55.1165
2.77783,1.42816,-55.048
2.77783,1.46077,-55.1343
2.77783,1.49338,-55.2346
2.77783,1.52599,-10.9608
2.77783,1.5586,0.226703
2.77783,1.59121,6.54868
2.77783,1.62382,9.35836
2.77783,1.65643,11.279
2.77783,1.68903,12.1509
2.77783,1.72164,12.5832
2.77783,1.75425,11.8392
2.77783,1.78686,10.3255
2.77783,1.81947,8.45876
2.77783,1.85208,8.01698
2.77783,1.88469,8.02836
2.77783,1.91729,7.88715
2.77783,1.9499,7.42662
2.77783,1.98251,6.62513
2.77783,2.01512,5.15235
2.77783,2.04773,2.55494
2.77783,2.08034,-0.271482
2.77783,2.11295,-0.085398
2.77783,2.14556,-0.789669
2.77783,2.17816,-1.22806
2.77783,2.21077,-1.40663
2.77783,2.24338,-1.94201
2.77783,2.27599,-2.35588
2.77783,2.3086,-2.47041
2.77783,2.34121,-3.03134
2.77783,2.37382,-3.00598
2.81044,1.13469,-58.77
2.81044,1.16729,-58.9878
2.81044,1.1999,-58.4374
2.81044,1.23251,-58.657
2.81044,1.26512,-58.5936
2.81044,1.29773,-58.3804
2.81044,1.33034,-57.6066
2.81044,1.36295,-57.0162
2.81044,1.39556,-56.108
2.81044,1.42816,-55.5265
2.81044,1.46077,-55.6136
2.81044,1.49338,-55.1697
2.81044,1.52599,-10.579
2.81044,1.5586,0.579442
2.81044,1.59121,6.60141
