x,y,z
2.66997,1.14,0.382387
2.66997,1.15305,0.14439
2.66997,1.16609,0.121466
2.66997,1.17913,0.110488
2.66997,1.19218,0.0870084
2.66997,1.20522,0.0626342
2.66997,1.21826,0.0581362
2.66997,1.23131,0.0298441
2.66997,1.24435,0.0164517
2.66997,1.25739,0.0121139
2.66997,1.27044,0.00151473
2.66997,1.28348,0.000135545
2.66997,1.29652,1.58261e-05
2.66997,1.30957,1.00556e-05
2.66997,1.32261,1.53103e-05
2.66997,1.33565,4.16e-06
2.66997,1.3487,3.43243e-06
2.66997,1.36174,2.52941e-06
2.66997,1.37478,2.76471e-06
2.66997,1.38783,5.37838e-06
2.66997,1.40087,7.1875e-06
2.66997,1.41391,4.97143e-06
2.66997,1.42696,6.05714e-06
2.66997,1.44,5.30435e-06
2.66997,1.45305,5.59459e-06
2.66997,1.46609,8.58537e-06
2.66997,1.47913,9.05e-06
2.66997,1.49218,7.725e-06
2.66997,1.50522,7.14286e-06
2.66997,1.51826,6.66667e-06
2.66997,1.53131,8.10345e-06
2.66997,1.54435,6.96429e-06
2.66997,1.55739,5.80556e-06
2.66997,1.57044,2.33714e-05
2.66997,1.58348,0.00176586
2.66997,1.59652,0.0301815
2.66997,1.60957,0.12347
2.66997,1.62261,0.249492
2.66997,1.63565,0.532701
2.66997,1.6487,0.700213
2.66997,1.66174,0.927639
2.66997,1.67478,1.26124
2.66997,1.68783,1.54169
2.66997,1.70087,1.43429
2.66997,1.71391,0.941058
2.66997,1.72696,0.819021
2.66997,1.74,0.869996
2.66997,1.75305,0.7793
2.66997,1.76609,0.598675
2.66997,1.77913,0.573441
2.66997,1.79218,0.637964
2.66997,1.80522,0.439855
2.66997,1.81826,0.280501
2.66997,1.83131,0.343288
2.66997,1.84435,0.319384
2.66997,1.85739,0.3638
2.66997,1.87044,0.259333
2.66997,1.88348,0.168492
2.66997,1.89652,0.147237
2.66997,1.90957,0.0744686
2.66997,1.92261,0.0611724
2.66997,1.93565,0.0549356
2.66997,1.9487,0.0268336
2.66997,1.96174,0.0209219
2.66997,1.97478,0.0354779
2.66997,1.98783,0.012253
2.66997,2.00087,0.0108914
2.66997,2.01391,0.0020545
2.66997,2.02696,1.42308e-05
2.66997,2.04,2.37778e-05
2.66997,2.05305,8.1e-05
2.66997,2.06609,2.05714e-05
2.66997,2.07913,1.14444e-05
2.66997,2.09218,1.28e-05
2.66997,2.10522,2.32857e-05
2.66997,2.11826,1.88889e-06
2.66997,2.13131,2.77778e-06
2.66997,2.14435,5.44444e-06
2.66997,2.15739,6.09091e-06
2.66997,2.17044,7e-06
2.66997,2.18348,6.25e-06
2.66997,2.19652,6.5e-06
2.66997,2.20957,7.75e-06
2.66997,2.22261,6.5e-06
2.66997,2.23565,9e-06
2.66997,2.2487,5e-06
2.66997,2.26174,9.55556e-06
2.66997,2.27478,7.58333e-06
2.66997,2.28783,7e-06
2.66997,2.30087,7.8e-06
2.66997,2.31391,6.2e-06
2.66997,2.32696,6.27273e-06
2.66997,2.34,1.18e-05
2.66997,2.35305,1.6e-05
2.66997,2.36609,1.6e-05
2.68301,1.14,0.382387
2.68301,1.15305,0.284777
2.68301,1.16609,0.240263
2.68301,1.17913,0.227167
2.68301,1.19218,0.145397
2.68301,1.20522,0.0879822
2.68301,1.21826,0.0700566
2.68301,1.23131,0.0345576
2.68301,1.24435,0.021272
2.68301,1.25739,0.0100946
2.68301,1.27044,0.00133505
2.68301,1.28348,0.00110825
2.68301,1.29652,3.05e-05
2.68301,1.30957,3.80769e-06
2.68301,1.32261,1.46e-05
