x,y,z
2.68001,1.13469,-0.059069
2.68001,1.16729,-3.46159
2.68001,1.1999,-7.14038
2.68001,1.23251,-11.9628
2.68001,1.26512,-19.7982
2.68001,1.29773,-40.0079
2.68001,1.33034,-45.3442
2.68001,1.36295,-50.2043
2.68001,1.39556,-47.3366
2.68001,1.42816,-47.5761
2.68001,1.46077,-46.6548
2.68001,1.49338,-46.7221
2.68001,1.52599,-47.2218
2.68001,1.5586,-29.6185
2.68001,1.59121,-9.51898
2.68001,1.62382,-0.0630548
2.68001,1.65643,3.38445
2.68001,1.68903,5.05656
2.68001,1.72164,0.918056
2.68001,1.75425,-1.14852
2.68001,1.78686,-3.06681
2.68001,1.81947,-5.58803
2.68001,1.85208,-6.32761
2.68001,1.88469,-7.09372
2.68001,1.91729,-10.8482
2.68001,1.9499,-10.1404
2.68001,1.98251,-13.6776
2.68001,2.01512,-27.532
2.68001,2.04773,-45.0242
2.68001,2.08034,-47.3564
2.68001,2.11295,-47.752
2.68001,2.14556,-49.137
2.68001,2.17816,-49.003
2.68001,2.21077,-48.8249
2.68001,2.24338,-50.1326
2.68001,2.27599,-48.8965
2.68001,2.3086,-50.677
2.68001,2.34121,-50.0148
2.68001,2.37382,-50.7041
2.71262,1.13469,-1.00082
2.71262,1.16729,-1.57282
2.71262,1.1999,-5.91265
2.71262,1.23251,-14.0424
2.71262,1.26512,-28.7346
2.71262,1.29773,-46.775
2.71262,1.33034,-44.6646
2.71262,1.36295,-50.0345
2.71262,1.39556,-46.6964
2.71262,1.42816,-47.0795
2.71262,1.46077,-46.3887
2.71262,1.49338,-36.1687
2.71262,1.52599,-25.2661
2.71262,1.5586,-18.6777
2.71262,1.59121,-7.51913
2.71262,1.62382,-2.82802
2.71262,1.65643,-0.876425
2.71262,1.68903,0.513749
2.71262,1.72164,-3.67279
2.71262,1.75425,-5.69649
2.71262,1.78686,-5.85018
2.71262,1.81947,-6.22458
2.71262,1.85208,-6.37058
2.71262,1.88469,-5.1742
2.71262,1.91729,-5.39578
2.71262,1.9499,-5.99316
2.71262,1.98251,-9.24755
2.71262,2.01512,-23.0326
2.71262,2.04773,-43.799
2.71262,2.08034,-46.7842
2.71262,2.11295,-47.3463
2.71262,2.14556,-49.0215
2.71262,2.17816,-48.6625
2.71262,2.21077,-47.8128
2.71262,2.24338,-51.6829
2.71262,2.27599,-48.5917
2.71262,2.3086,-50.6372
2.71262,2.34121,-49.8559
2.71262,2.37382,-51.6321
2.74522,1.13469,-1.96717
2.74522,1.16729,-2.82588
2.74522,1.1999,-8.87679
2.74522,1.23251,-21.0113
2.74522,1.26512,-43.9806
2.74522,1.29773,-49.0413
2.74522,1.33034,-45.5501
2.74522,1.36295,-50.3115
2.74522,1.39556,-43.4427
2.74522,1.42816,-40.0195
2.74522,1.46077,-19.1225
2.74522,1.49338,-11.3726
2.74522,1.52599,-9.95656
2.74522,1.5586,-10.1437
2.74522,1.59121,-7.21239
2.74522,1.62382,-6.39092
2.74522,1.65643,-8.1319
2.74522,1.68903,-6.01743
2.74522,1.72164,-8.64082
2.74522,1.75425,-9.27633
2.74522,1.78686,-5.14372
2.74522,1.81947,-4.13744
2.74522,1.85208,-2.53071
2.74522,1.88469,-1.32278
2.74522,1.91729,-2.80215
2.74522,1.9499,-4.51766
2.74522,1.98251,-7.60792
2.74522,2.01512,-21.8574
2.74522,2.04773,-43.9278
2.74522,2.08034,-45.6475
2.74522,2.11295,-45.823
2.74522,2.14556,-46.5233
2.74522,2.17816,-40.0894
2.74522,2.21077,-49.3477
2.74522,2.24338,-50.8671
2.74522,2.27599,-39.3315
2.74522,2.3086,-50.5221
2.74522,2.34121,-50.6339
2.74522,2.37382,-51.3384
2.77783,1.13469,-3.85109
2.77783,1.16729,-6.90087
2.77783,1.1999,-18.2527
2.77783,1.23251,-41.0331
2.77783,1.26512,-48.1862
2.77783,1.29773,-49.219
2.77783,1.33034,-46.2824
2.77783,1.36295,-50.6056
2.77783,1.39556,-28.6184
2.77783,1.42816,-22.6917
2.77783,1.46077,-11.6579
2.77783,1.49338,-5.97328
2.77783,1.52599,-6.14527
2.77783,1.5586,-9.01152
2.77783,1.59121,-9.4565
2.77783,1.62382,-11.5635
2.77783,1.65643,-12.7115
2.77783,1.68903,-5.95908
2.77783,1.72164,-2.56054
2.77783,1.75425,-0.96704
2.77783,1.78686,0.761021
2.77783,1.81947,0.624776
2.77783,1.85208,1.3443
2.77783,1.88469,1.37441
2.77783,1.91729,-0.206086
2.77783,1.9499,-4.39094
2.77783,1.98251,-11.9708
2.77783,2.01512,-31.1508
2.77783,2.04773,-45.5711
2.77783,2.08034,-35.9884
2.77783,2.11295,-18.5096
2.77783,2.14556,-12.6933
2.77783,2.17816,-12.2805
2.77783,2.21077,-10.632
2.77783,2.24338,-14.9202
2.77783,2.27599,-19.9843
2.77783,2.3086,-31.2558
2.77783,2.34121,-50.4397
2.77783,2.37382,-51.1794
2.81044,1.13469,-11.6488
2.81044,1.16729,-15.0311
2.81044,1.1999,-34.4138
2.81044,1.23251,-50.789
2.81044,1.26512,-48.7423
2.81044,1.29773,-50.7425
2.81044,1.33034,-47.3154
2.81044,1.36295,-52.3235
2.81044,1.39556,-32.4602
2.81044,1.42816,-24.9203
2.81044,1.46077,-14.8839
2.81044,1.49338,-10.1117
2.81044,1.52599,-9.68386
2.81044,1.5586,-13.338
2.81044,1.59121,-15.9582
2.81044,1.62382,-16.3304
2.81044,1.65643,-12.1076
2.81044,1.68903,-1.8029
2.81044,1.72164,0.785296
2.81044,1.75425,3.09252
2.81044,1.78686,4.02707
2.81044,1.81947,3.52208
2.81044,1.85208,2.84245
2.81044,1.88469,1.45563
2.81044,1.91729,-1.71733
2.81044,1.9499,-7.12583
2.81044,1.98251,-22.7575
2.81044,2.01512,-43.0706
2.81044,2.04773,-41.9093
2.81044,2.08034,-14.4636
2.81044,2.11295,-7.60162
2.81044,2.14556,-4.76183
2.81044,2.17816,-6.77818
2.81044,2.21077,-7.42803
2.81044,2.24338,-10.6298
2.81044,2.27599,-13.0715
2.81044,2.3086,-17.4895
2.81044,2.34121,-34.0669
2.81044,2.37382,-52.7199
2.84305,1.13469,-25.8956
2.84305,1.16729,-28.172
2.84305,1.1999,-46.9546
2.84305,1.23251,-47.6078
2.84305,1.26512,-47.619
2.84305,1.29773,-49.081
2.84305,1.33034,-45.9671
2.84305,1.36295,-49.778
2.84305,1.39556,-46.6614
2.84305,1.42816,-45.9495
2.84305,1.46077,-28.9805
2.84305,1.49338,-26.6684
2.84305,1.52599,-20.2169
2.84305,1.5586,-24.0152
2.84305,1.59121,-26.6712
2.84305,1.62382,-29.5248
2.84305,1.65643,-20.9048
2.84305,1.68903,-6.37723
2.84305,1.72164,-1.26166
2.84305,1.75425,1.07089
2.84305,1.78686,2.21792
2.84305,1.81947,1.92872
2.84305,1.85208,0.736077
2.84305,1.88469,-1.45955
2.84305,1.91729,-6.4777
2.84305,1.9499,-14.8338
2.84305,1.98251,-45.1291
2.84305,2.01512,-44.9386
2.84305,2.04773,-31.5783
2.84305,2.08034,-16.0322
2.84305,2.11295,-6.00808
2.84305,2.14556,-4.73807
2.84305,2.17816,-5.89995
2.84305,2.21077,-7.97739
2.84305,2.24338,-11.8723
2.84305,2.27599,-17.4371
2.84305,2.3086,-22.4638
2.84305,2.34121,-32.4317
2.84305,2.37382,-52.5431
2.87566,1.13469,-48.7052
2.87566,1.16729,-42.8851
2.87566,1.1999,-49.2419
2.87566,1.23251,-48.844
2.87566,1.26512,-47.8469
2.87566,1.29773,-49.5769
2.87566,1.33034,-47.734
2.87566,1.36295,-51.4579
2.87566,1.39556,-48.8847
2.87566,1.42816,-48.4115
2.87566,1.46077,-47.4139
2.87566,1.49338,-48.7232
2.87566,1.52599,-45.8999
2.87566,1.5586,-47.1435
2.87566,1.59121,-43.6193
2.87566,1.62382,-44.9749
2.87566,1.65643,-44.9339
2.87566,1.68903,-27.0681
2.87566,1.72164,-12.3921
2.87566,1.75425,-7.51131
2.87566,1.78686,-5.70086
2.87566,1.81947,-5.95805
2.87566,1.85208,-8.60558
2.87566,1.88469,-11.3442
2.87566,1.91729,-24.8146
2.87566,1.9499,-48.4344
2.87566,1.98251,-47.4863
2.87566,2.01512,-22.4251
2.87566,2.04773,-10.2384
2.87566,2.08034,-5.86745
2.87566,2.11295,-2.58284
2.87566,2.14556,-2.46818
2.87566,2.17816,-3.08493
2.87566,2.21077,-6.9498
2.87566,2.24338,-11.8726
2.87566,2.27599,-18.9678
2.87566,2.3086,-23.0096
2.87566,2.34121,-22.8101
2.87566,2.37382,-35.6849
2.90827,1.13469,-49.285
2.90827,1.16729,-37.6287
2.90827,1.1999,-49.221
2.90827,1.23251,-50.0524
2.90827,1.26512,-48.8753
2.90827,1.29773,-50.6269
2.90827,1.33034,-48.9384
2.90827,1.36295,-53.0673
2.90827,1.39556,-50.2782
2.90827,1.42816,-50.1075
2.90827,1.46077,-49.2143
2.90827,1.49338,-52.2168
2.90827,1.52599,-48.3744
2.90827,1.5586,-50.1304
2.90827,1.59121,-44.8969
2.90827,1.62382,-46.7137
2.90827,1.65643,-46.0586
2.90827,1.68903,-47.3858
2.90827,1.72164,-34.1156
2.90827,1.75425,-43.6642
2.90827,1.78686,-45.4723
2.90827,1.81947,-46.1914
2.90827,1.85208,-47.0525
2.90827,1.88469,-48.2322
2.90827,1.91729,-50.5864
2.90827,1.9499,-26.3487
2.90827,1.98251,-23.9988
2.90827,2.01512,-8.5558
2.90827,2.04773,-6.38977
2.90827,2.08034,-3.84155
2.90827,2.11295,-3.62947
2.90827,2.14556,-4.97455
2.90827,2.17816,-6.4486
2.90827,2.21077,-13.7731
2.90827,2.24338,-25.781
2.90827,2.27599,-52.5844
2.90827,2.3086,-51.8734
2.90827,2.34121,-25.1886
2.90827,2.37382,-55.9013
2.94088,1.13469,-49.5937
2.94088,1.16729,-37.3646
2.94088,1.1999,-49.6091
2.94088,1.23251,-50.1877
2.94088,1.26512,-49.0781
2.94088,1.29773,-50.8477
2.94088,1.33034,-48.6393
2.94088,1.36295,-53.928
2.94088,1.39556,-50.2214
2.94088,1.42816,-50.7157
2.94088,1.46077,-49.7968
2.94088,1.49338,-53.1188
2.94088,1.52599,-49.7862
2.94088,1.5586,-49.7848
2.94088,1.59121,-27.6234
2.94088,1.62382,-16.717
2.94088,1.65643,-9.44003
2.94088,1.68903,-7.16697
2.94088,1.72164,-4.13358
2.94088,1.75425,-3.63362
2.94088,1.78686,-2.96252
2.94088,1.81947,-4.60014
2.94088,1.85208,-4.74645
2.94088,1.88469,-6.39686
2.94088,1.91729,-6.12284
2.94088,1.9499,-3.75322
2.94088,1.98251,-3.09593
2.94088,2.01512,-1.5699
2.94088,2.04773,-1.18026
2.94088,2.08034,-1.04273
2.94088,2.11295,-3.64368
2.94088,2.14556,-5.82567
2.94088,2.17816,-10.9749
2.94088,2.21077,-21.274
2.94088,2.24338,-44.3312
2.94088,2.27599,-46.2895
2.94088,2.3086,-45.7407
2.94088,2.34121,-28.4959
2.94088,2.37382,-25.2402
2.97349,1.13469,-50.2478
2.97349,1.16729,-37.1995
2.97349,1.1999,-49.6559
2.97349,1.23251,-44.5858
2.97349,1.26512,-42.4266
2.97349,1.29773,-49.6454
2.97349,1.33034,-35.0905
2.97349,1.36295,-41.9016
2.97349,1.39556,-49.237
2.97349,1.42816,-49.5114
2.97349,1.46077,-50.2121
2.97349,1.49338,-54.2941
2.97349,1.52599,-50.8765
2.97349,1.5586,-37.9235
2.97349,1.59121,-14.8619
2.97349,1.62382,-6.16139
2.97349,1.65643,0.54419
2.97349,1.68903,3.64553
2.97349,1.72164,5.52653
2.97349,1.75425,6.57053
2.97349,1.78686,7.01107
2.97349,1.81947,6.39521
2.97349,1.85208,5.9784
2.97349,1.88469,4.36645
2.97349,1.91729,3.80331
2.97349,1.9499,3.21197
2.97349,1.98251,2.3923
2.97349,2.01512,1.63557
2.97349,2.04773,1.05238
2.97349,2.08034,-0.497788
2.97349,2.11295,-5.1011
2.97349,2.14556,-12.2569
2.97349,2.17816,-26.5574
2.97349,2.21077,-48.8946
2.97349,2.24338,-45.1721
2.97349,2.27599,-47.9257
2.97349,2.3086,-48.0791
2.97349,2.34121,-20.192
2.97349,2.37382,-12.2122
3.00609,1.13469,-50.1699
3.00609,1.16729,-37.5221
3.00609,1.1999,-50.2248
3.00609,1.23251,-41.1939
3.00609,1.26512,-49.9642
3.00609,1.29773,-43.0624
3.00609,1.33034,-27.0569
3.00609,1.36295,-30.9829
3.00609,1.39556,-30.733
3.00609,1.42816,-45.7105
3.00609,1.46077,-48.897
3.00609,1.49338,-52.194
3.00609,1.52599,-50.3399
3.00609,1.5586,-23.0462
3.00609,1.59121,-8.22
3.00609,1.62382,-0.664049
3.00609,1.65643,4.90076
3.00609,1.68903,7.91127
3.00609,1.72164,9.6866
3.00609,1.75425,11.3383
3.00609,1.78686,11.879
3.00609,1.81947,11.2705
3.00609,1.85208,10.5596
3.00609,1.88469,9.13785
3.00609,1.91729,7.94193
3.00609,1.9499,6.02729
3.00609,1.98251,4.20879
3.00609,2.01512,2.06912
3.00609,2.04773,1.2182
3.00609,2.08034,-0.939734
3.00609,2.11295,-8.72901
3.00609,2.14556,-28.1431
3.00609,2.17816,-46.4099
3.00609,2.21077,-52.7455
3.00609,2.24338,-48.207
3.00609,2.27599,-52.344
3.00609,2.3086,-34.6481
3.00609,2.34121,-14.3911
3.00609,2.37382,-6.7337
3.0387,1.13469,-49.5759
3.0387,1.16729,-38.7455
3.0387,1.1999,-50.1442
3.0387,1.23251,-41.5985
3.0387,1.26512,-49.1259
