x,y,z
2.66904,1.15425,0.565378
2.66904,1.18034,0.549163
2.66904,1.20643,0.460892
2.66904,1.23252,0.308554
2.66904,1.2586,0.177292
2.66904,1.28469,0.16005
2.66904,1.31078,0.21597
2.66904,1.33686,0.389237
2.66904,1.36295,1.01877
2.66904,1.38904,1.35869
2.66904,1.41512,1.6358
2.66904,1.44121,1.59887
2.66904,1.4673,1.39015
2.66904,1.49338,0.973717
2.66904,1.51947,0.54506
2.66904,1.54556,0.283827
2.66904,1.57165,0.194205
2.66904,1.59773,0.239715
2.66904,1.62382,0.683181
2.66904,1.64991,1.42317
2.66904,1.67599,3.42023
2.66904,1.70208,5.77435
2.66904,1.72817,8.47495
2.66904,1.75425,10.3768
2.66904,1.78034,11.5341
2.66904,1.80643,10.5014
2.66904,1.83252,8.52717
2.66904,1.8586,6.96002
2.66904,1.88469,3.77588
2.66904,1.91078,1.68898
2.66904,1.93686,0.744155
2.66904,1.96295,0.49818
2.66904,1.98904,0.838706
2.66904,2.01512,1.20111
2.66904,2.04121,1.40669
2.66904,2.0673,1.03564
2.66904,2.09338,0.767221
2.66904,2.11947,0.330207
2.66904,2.14556,0.114158
2.66904,2.17165,0.0401776
2.66904,2.19773,0.0402791
2.66904,2.22382,0.0752972
2.66904,2.24991,0.160194
2.66904,2.27599,0.303932
2.66904,2.30208,0.567879
2.66904,2.32817,0.984091
2.66904,2.35425,1.49491
2.66904,2.38034,1.62315
2.69512,1.15425,0.627384
2.69512,1.18034,0.559402
2.69512,1.20643,0.457629
2.69512,1.23252,0.234808
2.69512,1.2586,0.165061
2.69512,1.28469,0.140352
2.69512,1.31078,0.248672
2.69512,1.33686,0.408998
2.69512,1.36295,0.747543
2.69512,1.38904,1.01491
2.69512,1.41512,1.15317
2.69512,1.44121,0.942435
2.69512,1.4673,0.681433
2.69512,1.49338,0.458597
2.69512,1.51947,0.238626
2.69512,1.54556,0.0995245
2.69512,1.57165,0.102877
2.69512,1.59773,0.143425
2.69512,1.62382,0.554337
2.69512,1.64991,1.55331
2.69512,1.67599,3.02903
2.69512,1.70208,5.28275
2.69512,1.72817,8.06991
2.69512,1.75425,8.5119
2.69512,1.78034,10.0196
2.69512,1.80643,9.06424
2.69512,1.83252,7.64634
2.69512,1.8586,6.18936
2.69512,1.88469,3.85962
2.69512,1.91078,1.97932
2.69512,1.93686,1.01067
2.69512,1.96295,0.784329
2.69512,1.98904,0.948948
2.69512,2.01512,1.27687
2.69512,2.04121,1.49717
2.69512,2.0673,1.23544
2.69512,2.09338,0.926776
2.69512,2.11947,0.465006
2.69512,2.14556,0.19505
2.69512,2.17165,0.121313
2.69512,2.19773,0.0861768
2.69512,2.22382,0.21269
2.69512,2.24991,0.382847
2.69512,2.27599,0.570573
2.69512,2.30208,0.879583
2.69512,2.32817,1.25457
2.69512,2.35425,1.5458
2.69512,2.38034,1.52162
2.72121,1.15425,0.986572
