x,y,z
2.67326,1.13336,0.462713
2.67326,1.1464,-0.285217
2.67326,1.15945,-0.991314
2.67326,1.17249,-2.68944
2.67326,1.18554,-3.0433
2.67326,1.19858,-5.10849
2.67326,1.21162,-5.96606
2.67326,1.22467,-6.63161
2.67326,1.23771,-7.98869
2.67326,1.25075,-8.14487
2.67326,1.2638,-9.8372
2.67326,1.27684,-10.1333
2.67326,1.28988,-10.2121
2.67326,1.30293,-6.66293
2.67326,1.31597,-4.11984
2.67326,1.32901,-3.50445
2.67326,1.34206,-1.42572
2.67326,1.3551,0.513966
2.67326,1.36814,2.37514
2.67326,1.38119,2.40264
2.67326,1.39423,2.35069
2.67326,1.40727,1.66869
2.67326,1.42032,1.57732
2.67326,1.43336,0.292656
2.67326,1.4464,-0.448504
2.67326,1.45945,-1.11797
2.67326,1.47249,-1.88688
2.67326,1.48554,-2.84054
2.67326,1.49858,-4.04001
2.67326,1.51162,-5.86456
2.67326,1.52467,-6.65889
2.67326,1.53771,-8.00801
2.67326,1.55075,-8.17181
2.67326,1.5638,-9.34855
2.67326,1.57684,-10.8438
2.67326,1.58988,-9.51798
2.67326,1.60293,-7.80882
2.67326,1.61597,-4.3284
2.67326,1.62901,-2.55452
2.67326,1.64206,-0.0577735
2.67326,1.6551,1.79532
2.67326,1.66814,7.47742
2.67326,1.68119,8.59212
2.67326,1.69423,10.3042
2.67326,1.70727,13.0048
2.67326,1.72032,16.6009
2.67326,1.73336,18.6363
2.67326,1.7464,20.2277
2.67326,1.75945,22.7115
2.67326,1.77249,23.1127
2.67326,1.78554,22.8495
2.67326,1.79858,19.5844
2.67326,1.81162,18.3066
2.67326,1.82467,18.5255
2.67326,1.83771,15.7804
2.67326,1.85075,15.1574
2.67326,1.8638,11.9661
2.67326,1.87684,7.87726
2.67326,1.88988,6.19617
2.67326,1.90293,3.31877
2.67326,1.91597,0.381416
2.67326,1.92901,-1.89937
2.67326,1.94206,-4.73755
2.67326,1.9551,-5.48787
2.67326,1.96814,-6.03344
2.67326,1.98119,-4.83076
2.67326,1.99423,-3.7111
2.67326,2.00727,-3.22117
2.67326,2.02032,-2.62642
2.67326,2.03336,-2.4706
2.67326,2.0464,-2.70135
2.67326,2.05945,-3.80532
2.67326,2.07249,-3.96358
2.67326,2.08554,-5.62302
2.67326,2.09858,-6.60573
2.67326,2.11162,-9.00774
2.67326,2.12467,-11.0834
2.67326,2.13771,-13.9062
2.67326,2.15075,-16.1449
2.67326,2.1638,-17.7392
2.67326,2.17684,-19.007
2.67326,2.18988,-17.6426
2.67326,2.20293,-16.6459
2.67326,2.21597,-15.4548
2.67326,2.22901,-13.2844
2.67326,2.24206,-9.93231
2.67326,2.2551,-2.59957
2.67326,2.26814,7.81791
2.67326,2.28119,4.64961
2.67326,2.29423,3.17417
2.67326,2.30727,-0.504392
2.67326,2.32032,-0.640748
2.67326,2.33336,-1.89827
2.67326,2.3464,-2.99469
2.67326,2.35945,-3.24432
2.67326,2.37249,-3.0768
2.68631,1.13336,0.435076
2.68631,1.1464,0.435076
2.68631,1.15945,-0.889278
2.68631,1.17249,-3.01859
2.68631,1.18554,-3.7414
2.68631,1.19858,-5.03983
2.68631,1.21162,-6.29617
2.68631,1.22467,-8.45711
2.68631,1.23771,-8.64437
2.68631,1.25075,-9.11764
2.68631,1.2638,-10.9416
2.68631,1.27684,-9.33048
2.68631,1.28988,-8.57329
2.68631,1.30293,-5.1073
2.68631,1.31597,-4.40548
2.68631,1.32901,-2.41173
2.68631,1.34206,-0.144429
2.68631,1.3551,0.0985749
2.68631,1.36814,1.57813
2.68631,1.38119,2.16389
2.68631,1.39423,1.5713
2.68631,1.40727,0.978547
2.68631,1.42032,0.516699
2.68631,1.43336,-1.18243
2.68631,1.4464,-1.8236
2.68631,1.45945,-2.65285
2.68631,1.47249,-4.18276
2.68631,1.48554,-5.08003
2.68631,1.49858,-6.35996
2.68631,1.51162,-9.45823
2.68631,1.52467,-9.96288
2.68631,1.53771,-11.3022
2.68631,1.55075,-14.5991
2.68631,1.5638,-12.2947
2.68631,1.57684,-12.2311
2.68631,1.58988,-11.9932
2.68631,1.60293,-9.91725
2.68631,1.61597,-5.9963
2.68631,1.62901,-2.31349
2.68631,1.64206,-0.42718
2.68631,1.6551,1.02721
2.68631,1.66814,4.86521
2.68631,1.68119,8.10969
2.68631,1.69423,10.5145
2.68631,1.70727,10.8244
2.68631,1.72032,15.0791
2.68631,1.73336,16.4935
2.68631,1.7464,16.7914
2.68631,1.75945,22.6535
2.68631,1.77249,23.1112
2.68631,1.78554,26.3852
2.68631,1.79858,21.0705
2.68631,1.81162,20.0308
2.68631,1.82467,19.9066
2.68631,1.83771,16.2016
2.68631,1.85075,11.9503
2.68631,1.8638,12.0289
2.68631,1.87684,8.61429
2.68631,1.88988,5.47239
2.68631,1.90293,5.2659
2.68631,1.91597,1.38167
2.68631,1.92901,-0.0756886
2.68631,1.94206,-3.08996
2.68631,1.9551,-2.75106
2.68631,1.96814,-2.45411
2.68631,1.98119,-2.70921
2.68631,1.99423,-2.40203
2.68631,2.00727,-1.94188
2.68631,2.02032,-2.41008
2.68631,2.03336,-1.95552
2.68631,2.0464,-1.6223
2.68631,2.05945,-1.95179
2.68631,2.07249,-2.94963
2.68631,2.08554,-4.46633
2.68631,2.09858,-5.34864
2.68631,2.11162,-7.19815
2.68631,2.12467,-9.37682
2.68631,2.13771,-9.09592
2.68631,2.15075,-14.0961
2.68631,2.1638,-14.9628
2.68631,2.17684,-15.1163
2.68631,2.18988,-18.5688
2.68631,2.20293,-14.242
2.68631,2.21597,-12.409
2.68631,2.22901,-6.12659
2.68631,2.24206,-4.41362
2.68631,2.2551,0.89054
2.68631,2.26814,8.6681
2.68631,2.28119,4.2384
2.68631,2.29423,1.57249
2.68631,2.30727,0.253586
2.68631,2.32032,-0.516579
2.68631,2.33336,-3.13966
2.68631,2.3464,-2.24103
2.68631,2.35945,-3.39135
2.68631,2.37249,-3.89356
2.69935,1.13336,11.1908
2.69935,1.1464,1.26589
2.69935,1.15945,-1.35048
2.69935,1.17249,-1.5272
2.69935,1.18554,-1.94633
2.69935,1.19858,-3.76618
2.69935,1.21162,-4.63059
2.69935,1.22467,-5.46593
2.69935,1.23771,-7.0757
2.69935,1.25075,-7.03335
2.69935,1.2638,-9.41509
2.69935,1.27684,-8.6094
2.69935,1.28988,-4.80803
2.69935,1.30293,-3.33817
2.69935,1.31597,-2.73281
2.69935,1.32901,-0.147654
2.69935,1.34206,3.19794
2.69935,1.3551,2.21755
2.69935,1.36814,1.71646
2.69935,1.38119,1.75347
2.69935,1.39423,0.103292
2.69935,1.40727,-1.40983
2.69935,1.42032,-0.480585
2.69935,1.43336,-3.56153
2.69935,1.4464,-4.14787
2.69935,1.45945,-3.60204
2.69935,1.47249,-5.88086
2.69935,1.48554,-6.36552
2.69935,1.49858,-8.55003
2.69935,1.51162,-11.5716
2.69935,1.52467,-10.7024
2.69935,1.53771,-12.8794
2.69935,1.55075,-21.5316
2.69935,1.5638,-12.2701
2.69935,1.57684,-13.7588
2.69935,1.58988,-10.503
2.69935,1.60293,-10.1547
2.69935,1.61597,-6.50806
2.69935,1.62901,-2.55525
2.69935,1.64206,0.0663146
2.69935,1.6551,1.86794
2.69935,1.66814,4.51347
2.69935,1.68119,7.42751
2.69935,1.69423,8.72037
2.69935,1.70727,13.3899
2.69935,1.72032,11.4876
2.69935,1.73336,15.8004
2.69935,1.7464,17.8514
2.69935,1.75945,20.6908
2.69935,1.77249,21.2874
2.69935,1.78554,25.5538
2.69935,1.79858,25.2845
2.69935,1.81162,25.7548
2.69935,1.82467,23.3002
2.69935,1.83771,19.8653
2.69935,1.85075,17.7606
2.69935,1.8638,14.5129
2.69935,1.87684,9.56748
2.69935,1.88988,7.99029
2.69935,1.90293,9.35076
2.69935,1.91597,7.17929
2.69935,1.92901,1.82358
2.69935,1.94206,-1.95068
2.69935,1.9551,0.101614
2.69935,1.96814,-0.152717
2.69935,1.98119,-2.18448
2.69935,1.99423,-2.3471
2.69935,2.00727,-1.77995
2.69935,2.02032,-2.05151
2.69935,2.03336,-1.6776
2.69935,2.0464,-1.72425
2.69935,2.05945,-0.29763
2.69935,2.07249,-1.35676
2.69935,2.08554,-3.33192
2.69935,2.09858,-4.251
2.69935,2.11162,-5.89842
2.69935,2.12467,-7.88255
2.69935,2.13771,-8.65569
2.69935,2.15075,-11.7654
2.69935,2.1638,-12.5051
2.69935,2.17684,-12.5188
2.69935,2.18988,-14.3413
2.69935,2.20293,-9.38682
2.69935,2.21597,-7.37015
2.69935,2.22901,-7.81317
2.69935,2.24206,-0.414776
2.69935,2.2551,0.772893
2.69935,2.26814,18.2782
2.69935,2.28119,2.10144
