x,y,z
2.70165,1.14773,0.787374
2.70165,1.16078,0.690179
2.70165,1.17382,0.561969
2.70165,1.18686,0.678601
2.70165,1.19991,0.513649
2.70165,1.21295,0.408833
2.70165,1.22599,0.408833
2.70165,1.23904,0.22632
2.70165,1.25208,0.167377
2.70165,1.26512,0.0983565
2.70165,1.27817,0.0944037
2.70165,1.29121,0.170824
2.70165,1.30425,0.207312
2.70165,1.3173,0.180246
2.70165,1.33034,0.369266
2.70165,1.34338,0.5412
2.70165,1.35643,0.536652
2.70165,1.36947,0.833737
2.70165,1.38252,0.92219
2.70165,1.39556,0.794795
2.71469,1.14773,1.01915
2.71469,1.16078,0.856733
2.71469,1.17382,0.686835
2.71469,1.18686,0.802667
2.71469,1.19991,0.619838
2.71469,1.21295,0.443659
2.71469,1.22599,0.443659
2.71469,1.23904,0.247084
2.71469,1.25208,0.14926
2.71469,1.26512,0.0965234
2.71469,1.27817,0.0696881
2.71469,1.29121,0.131607
2.71469,1.30425,0.148741
2.71469,1.3173,0.148413
2.71469,1.33034,0.312603
2.71469,1.34338,0.464107
2.71469,1.35643,0.439294
2.71469,1.36947,0.68655
2.71469,1.38252,0.723139
2.71469,1.39556,0.651148
2.72773,1.14773,1.16697
2.72773,1.16078,1.03615
2.72773,1.17382,0.836562
2.72773,1.18686,0.895776
2.72773,1.19991,0.714217
2.72773,1.21295,0.505268
2.72773,1.22599,0.342207
2.72773,1.23904,0.27817
2.72773,1.25208,0.140939
2.72773,1.26512,0.10605
2.72773,1.27817,0.0598888
2.72773,1.29121,0.0897292
2.72773,1.30425,0.0781799
2.72773,1.3173,0.1063
2.72773,1.33034,0.222381
2.72773,1.34338,0.345957
2.72773,1.35643,0.34282
2.72773,1.36947,0.535601
2.72773,1.38252,0.581803
2.72773,1.39556,0.48241
2.74078,1.14773,1.37637
2.74078,1.16078,1.21247
2.74078,1.17382,0.955777
2.74078,1.18686,1.10212
2.74078,1.19991,0.876364
2.74078,1.21295,0.610743
2.74078,1.22599,0.329838
2.74078,1.23904,0.396344
2.74078,1.25208,0.166624
2.74078,1.26512,0.104631
2.74078,1.27817,0.0833208
2.74078,1.29121,0.0552405
2.74078,1.30425,0.0448627
2.74078,1.3173,0.0509536
2.74078,1.33034,0.162356
2.74078,1.34338,0.32963
2.74078,1.35643,0.219988
2.74078,1.36947,0.388776
2.74078,1.38252,0.390389
2.74078,1.39556,0.371234
2.75382,1.14773,1.55454
2.75382,1.16078,1.41243
2.75382,1.17382,1.16155
2.75382,1.18686,1.36465
2.75382,1.19991,1.03746
2.75382,1.21295,0.74593
2.75382,1.22599,0.74593
2.75382,1.23904,0.510528
2.75382,1.25208,0.218548
2.75382,1.26512,0.208732
2.75382,1.27817,0.159331
2.75382,1.29121,0.0314598
2.75382,1.30425,0.0260337
2.75382,1.3173,0.0151661
2.75382,1.33034,0.102476
2.75382,1.34338,0.21088
2.75382,1.35643,0.120898
2.75382,1.36947,0.253351
2.75382,1.38252,0.251543
2.75382,1.39556,0.222134
2.76686,1.14773,1.7454
2.76686,1.16078,1.60153
2.76686,1.17382,1.40833
2.76686,1.18686,1.61594
2.76686,1.19991,1.2569
2.76686,1.21295,0.969457
2.76686,1.22599,0.860754
2.76686,1.23904,0.711843
2.76686,1.25208,0.451763
2.76686,1.26512,0.369916
2.76686,1.27817,0.282444
2.76686,1.29121,0.0940977
2.76686,1.30425,0.12092
2.76686,1.3173,0.0779544
2.76686,1.33034,0.0442031
2.76686,1.34338,0.0386746
2.76686,1.35643,0.059304
2.76686,1.36947,0.136156
2.76686,1.38252,0.150704
2.76686,1.39556,0.138723
2.77991,1.14773,1.93497
2.77991,1.16078,1.76187
2.77991,1.17382,1.6086
2.77991,1.18686,1.78936
2.77991,1.19991,1.50816
2.77991,1.21295,1.16239
2.77991,1.22599,1.17944
2.77991,1.23904,0.887321
2.77991,1.25208,0.53641
2.77991,1.26512,0.539252
2.77991,1.27817,0.43242
2.77991,1.29121,0.151698
2.77991,1.30425,0.090414
2.77991,1.3173,0.124807
2.77991,1.33034,0.0250839
2.77991,1.34338,0.0117133
2.77991,1.35643,0.0254797
2.77991,1.36947,0.0797307
2.77991,1.38252,0.0540519
2.77991,1.39556,0.0511966
2.79295,1.14773,2.14852
2.79295,1.16078,1.86104
2.79295,1.17382,1.68688
2.79295,1.18686,2.01787
2.79295,1.19991,1.69466
2.79295,1.21295,1.36821
2.79295,1.22599,1.36821
2.79295,1.23904,1.14572
2.79295,1.25208,0.814164
2.79295,1.26512,0.795239
2.79295,1.27817,0.659851
2.79295,1.29121,0.301851
2.79295,1.30425,0.275626
2.79295,1.3173,0.289053
2.79295,1.33034,0.0824111
2.79295,1.34338,0.00959644
2.79295,1.35643,0.0950809
2.79295,1.36947,0.0380009
2.79295,1.38252,0.0215843
2.79295,1.39556,0.0536695
2.80599,1.14773,2.35852
2.80599,1.16078,2.10679
2.80599,1.17382,2.06728
2.80599,1.18686,2.19675
2.80599,1.19991,2.05481
2.80599,1.21295,1.70882
2.80599,1.22599,1.93642
2.80599,1.23904,1.52331
2.80599,1.25208,1.16582
2.80599,1.26512,1.19116
2.80599,1.27817,1.00716
2.80599,1.29121,0.675197
2.80599,1.30425,0.615185
2.80599,1.3173,0.491124
2.80599,1.33034,0.232723
2.80599,1.34338,0.198503
2.80599,1.35643,0.197432
2.80599,1.36947,0.0891343
2.80599,1.38252,0.0548845
2.80599,1.39556,0.101128
2.81904,1.14773,2.30277
2.81904,1.16078,2.18007
2.81904,1.17382,2.00673
2.81904,1.18686,2.3221
2.81904,1.19991,2.18764
2.81904,1.21295,1.88857
2.81904,1.22599,2.01511
2.81904,1.23904,1.77758
2.81904,1.25208,1.4488
2.81904,1.26512,1.3871
2.81904,1.27817,1.26619
2.81904,1.29121,0.97336
