x,y,z
2.70165,1.14773,-31.0382
2.70165,1.16078,-31.6104
2.70165,1.17382,-32.5029
2.70165,1.18686,-31.6839
2.70165,1.19991,-32.8933
2.70165,1.21295,-33.8845
2.70165,1.22599,-33.8845
2.70165,1.23904,-36.4528
2.70165,1.25208,-37.763
2.70165,1.26512,-40.072
2.70165,1.27817,-40.2501
2.70165,1.29121,-37.6745
2.70165,1.30425,-36.8338
2.70165,1.3173,-37.4413
2.70165,1.33034,-34.3266
2.70165,1.34338,-32.6664
2.70165,1.35643,-32.7031
2.70165,1.36947,-30.7897
2.70165,1.38252,-30.3518
2.70165,1.39556,-30.9974
2.71469,1.14773,-29.9176
2.71469,1.16078,-30.6715
2.71469,1.17382,-31.6315
2.71469,1.18686,-30.9546
2.71469,1.19991,-32.0772
2.71469,1.21295,-33.5295
2.71469,1.22599,-33.5295
2.71469,1.23904,-36.0716
2.71469,1.25208,-38.2606
2.71469,1.26512,-40.1537
2.71469,1.27817,-41.5684
2.71469,1.29121,-38.8072
2.71469,1.30425,-38.2757
2.71469,1.3173,-38.2853
2.71469,1.33034,-35.0501
2.71469,1.34338,-33.3338
2.71469,1.35643,-33.5724
2.71469,1.36947,-31.6333
2.71469,1.38252,-31.4078
2.71469,1.39556,-31.8632
2.72773,1.14773,-29.3294
2.72773,1.16078,-29.8458
2.72773,1.17382,-30.775
2.72773,1.18686,-30.478
2.72773,1.19991,-31.4617
2.72773,1.21295,-32.9648
2.72773,1.22599,-34.6571
2.72773,1.23904,-35.5569
2.72773,1.25208,-38.5097
2.72773,1.26512,-39.7449
2.72773,1.27817,-42.2265
2.72773,1.29121,-40.4707
2.72773,1.30425,-41.0691
2.72773,1.3173,-39.7347
2.72773,1.33034,-36.529
2.72773,1.34338,-34.6098
2.72773,1.35643,-34.6493
2.72773,1.36947,-32.7116
2.72773,1.38252,-32.3522
2.72773,1.39556,-33.1658
2.74078,1.14773,-28.6127
2.74078,1.16078,-29.1633
2.74078,1.17382,-30.1964
