x,y,z
2.67602,1.14103,0.590561
2.67602,1.16712,0.694121
2.67602,1.19321,0.805823
2.67602,1.21929,0.888501
2.67602,1.24538,0.918698
2.67602,1.27147,0.949576
2.67602,1.29755,0.950753
2.67602,1.32364,0.932631
2.67602,1.34973,0.870219
2.67602,1.37581,0.903524
2.67602,1.4019,0.909146
2.67602,1.42799,0.900447
2.67602,1.45407,0.716992
2.67602,1.48016,0.603787
2.67602,1.50625,0.469172
2.67602,1.53234,0.423037
2.67602,1.55842,0.426223
2.67602,1.58451,0.431985
2.67602,1.6106,0.510304
2.67602,1.63668,0.839067
2.67602,1.66277,1.71874
2.67602,1.68886,3.11121
2.67602,1.71494,5.7021
2.67602,1.74103,7.48832
2.67602,1.76712,8.74189
2.67602,1.79321,8.98927
2.67602,1.81929,7.90187
2.67602,1.84538,5.02727
2.67602,1.87147,2.62835
2.67602,1.89755,0.913441
2.67602,1.92364,0.120847
2.67602,1.94973,0.696167
2.67602,1.97581,2.2616
2.67602,2.0019,3.14848
2.67602,2.02799,3.96802
2.67602,2.05407,3.83409
2.67602,2.08016,3.07924
2.67602,2.10625,2.15902
2.67602,2.13234,1.28195
2.67602,2.15842,0.658703
2.67602,2.18451,0.35401
2.67602,2.2106,0.277118
2.67602,2.23668,0.327658
2.67602,2.26277,0.41387
2.67602,2.28886,0.485086
2.67602,2.31494,0.531582
2.67602,2.34103,0.539941
2.67602,2.36712,0.512952
2.70211,1.14103,0.607952
2.70211,1.16712,0.725877
2.70211,1.19321,0.823646
2.70211,1.21929,0.890092
2.70211,1.24538,0.863339
2.70211,1.27147,0.897342
2.70211,1.29755,0.791576
2.70211,1.32364,0.917116
2.70211,1.34973,0.865079
2.70211,1.37581,0.811187
2.70211,1.4019,0.748527
2.70211,1.42799,0.757401
2.70211,1.45407,0.517066
2.70211,1.48016,0.420145
2.70211,1.50625,0.38151
2.70211,1.53234,0.399695
2.70211,1.55842,0.400343
2.70211,1.58451,0.314984
2.70211,1.6106,0.169035
2.70211,1.63668,0.446754
2.70211,1.66277,0.906685
2.70211,1.68886,1.953
2.70211,1.71494,4.5399
2.70211,1.74103,5.56268
2.70211,1.76712,5.91142
2.70211,1.79321,6.80041
2.70211,1.81929,6.00698
2.70211,1.84538,3.37062
2.70211,1.87147,1.27384
2.70211,1.89755,0.241359
2.70211,1.92364,0.155275
2.70211,1.94973,1.37353
2.70211,1.97581,2.66922
2.70211,2.0019,3.37508
2.70211,2.02799,4.36903
2.70211,2.05407,4.22806
2.70211,2.08016,3.31813
2.70211,2.10625,2.16321
2.70211,2.13234,1.73897
2.70211,2.15842,1.13182
2.70211,2.18451,0.60552
2.70211,2.2106,0.769021
2.70211,2.23668,0.730526
2.70211,2.26277,0.968464
2.70211,2.28886,1.02622
2.70211,2.31494,1.02528
2.70211,2.34103,0.814435
2.70211,2.36712,0.730414
2.72819,1.14103,0.754858
2.72819,1.16712,0.759207
2.72819,1.19321,0.766344
2.72819,1.21929,0.746055
2.72819,1.24538,0.703164
2.72819,1.27147,0.677586
2.72819,1.29755,0.603012
2.72819,1.32364,0.742206
2.72819,1.34973,0.669274
2.72819,1.37581,0.640296
2.72819,1.4019,0.550806
2.72819,1.42799,0.542139
2.72819,1.45407,0.37782
2.72819,1.48016,0.332831
2.72819,1.50625,0.409557
2.72819,1.53234,0.466627
2.72819,1.55842,0.443822
2.72819,1.58451,0.35029
2.72819,1.6106,0.206329
2.72819,1.63668,0.262295
2.72819,1.66277,0.606681
2.72819,1.68886,1.22428
2.72819,1.71494,2.8017
2.72819,1.74103,3.48902
2.72819,1.76712,4.01692
2.72819,1.79321,5.02685
2.72819,1.81929,4.35861
2.72819,1.84538,2.90033
2.72819,1.87147,1.45199
2.72819,1.89755,0.498941
2.72819,1.92364,0.258116
2.72819,1.94973,1.01111
2.72819,1.97581,2.09031
2.72819,2.0019,2.91592
2.72819,2.02799,3.77495
2.72819,2.05407,3.99358
2.72819,2.08016,3.24103
2.72819,2.10625,2.65513
2.72819,2.13234,2.04085
2.72819,2.15842,1.5439
2.72819,2.18451,1.07211
2.72819,2.2106,1.43063
2.72819,2.23668,1.32681
2.72819,2.26277,1.65133
2.72819,2.28886,1.72233
2.72819,2.31494,1.65279
2.72819,2.34103,1.54182
2.72819,2.36712,1.45242
2.75428,1.14103,0.898257
2.75428,1.16712,0.82422
2.75428,1.19321,0.7537
2.75428,1.21929,0.774318
2.75428,1.24538,0.627021
2.75428,1.27147,0.535996
2.75428,1.29755,0.538072
2.75428,1.32364,0.533864
2.75428,1.34973,0.554026
2.75428,1.37581,0.437653
2.75428,1.4019,0.366169
2.75428,1.42799,0.391793
2.75428,1.45407,0.267455
2.75428,1.48016,0.230633
2.75428,1.50625,0.353786
2.75428,1.53234,0.453113
2.75428,1.55842,0.566047
2.75428,1.58451,0.685193
2.75428,1.6106,0.662608
2.75428,1.63668,0.522254
2.75428,1.66277,1.22126
2.75428,1.68886,1.6832
2.75428,1.71494,2.70436
2.75428,1.74103,3.10235
2.75428,1.76712,3.87769
2.75428,1.79321,4.32523
2.75428,1.81929,3.90185
2.75428,1.84538,2.93012
2.75428,1.87147,1.39872
2.75428,1.89755,0.781953
2.75428,1.92364,0.539532
2.75428,1.94973,1.23611
2.75428,1.97581,1.88416
2.75428,2.0019,2.3544
2.75428,2.02799,3.30442
2.75428,2.05407,3.40642
2.75428,2.08016,2.69231
2.75428,2.10625,2.20277
2.75428,2.13234,1.73764
2.75428,2.15842,1.54115
2.75428,2.18451,1.19636
2.75428,2.2106,1.41485
2.75428,2.23668,1.4203
2.75428,2.26277,1.98836
2.75428,2.28886,2.15603
2.75428,2.31494,2.04757
2.75428,2.34103,2.1981
2.75428,2.36712,2.03439
2.78037,1.14103,0.878666
2.78037,1.16712,0.842057
2.78037,1.19321,0.725588
2.78037,1.21929,0.560216
2.78037,1.24538,0.450755
2.78037,1.27147,0.356662
2.78037,1.29755,0.253653
2.78037,1.32364,0.284701
2.78037,1.34973,0.263195
2.78037,1.37581,0.240017
2.78037,1.4019,0.203042
2.78037,1.42799,0.213073
2.78037,1.45407,0.153741
2.78037,1.48016,0.22631
2.78037,1.50625,0.452855
2.78037,1.53234,0.669183
2.78037,1.55842,0.925037
2.78037,1.58451,1.21397
2.78037,1.6106,1.58183
2.78037,1.63668,1.86419
2.78037,1.66277,2.37663
2.78037,1.68886,3.11455
2.78037,1.71494,3.94309
2.78037,1.74103,4.37447
2.78037,1.76712,5.12877
2.78037,1.79321,4.71288
