x,y,z
2.67326,1.13336,-0.0189527
2.67326,1.1464,-0.766882
2.67326,1.15945,-0.329468
2.67326,1.17249,-2.00074
2.67326,1.18554,-2.13918
2.67326,1.19858,-2.56421
2.67326,1.21162,-2.93481
2.67326,1.22467,-2.84771
2.67326,1.23771,-2.67511
2.67326,1.25075,-1.80387
2.67326,1.2638,-1.72885
2.67326,1.27684,-0.586371
2.67326,1.28988,-0.47488
2.67326,1.30293,0.864102
2.67326,1.31597,1.36577
2.67326,1.32901,1.32362
2.67326,1.34206,1.70066
2.67326,1.3551,1.36521
2.67326,1.36814,1.44229
2.67326,1.38119,1.38938
2.67326,1.39423,0.55476
2.67326,1.40727,-0.0689538
2.67326,1.42032,-0.515996
2.67326,1.43336,-2.02563
2.67326,1.4464,-3.23879
2.67326,1.45945,-3.83325
2.67326,1.47249,-4.56493
2.67326,1.48554,-5.30816
2.67326,1.49858,-6.32303
2.67326,1.51162,-7.4372
2.67326,1.52467,-7.94747
2.67326,1.53771,-7.93545
2.67326,1.55075,-7.8969
2.67326,1.5638,-7.36682
2.67326,1.57684,-6.81794
2.67326,1.58988,-6.43766
2.67326,1.60293,-5.84762
2.67326,1.61597,-4.17633
2.67326,1.62901,-2.80029
2.67326,1.64206,-0.908819
2.67326,1.6551,0.561686
2.67326,1.66814,6.823
2.67326,1.68119,7.02533
2.67326,1.69423,9.3951
2.67326,1.70727,10.6852
2.67326,1.72032,15.8021
2.67326,1.73336,17.9016
2.67326,1.7464,18.8342
2.67326,1.75945,21.5527
2.67326,1.77249,22.3861
2.67326,1.78554,21.9933
2.67326,1.79858,19.0393
2.67326,1.81162,17.5171
2.67326,1.82467,17.0341
2.67326,1.83771,15.4707
2.67326,1.85075,13.6335
2.67326,1.8638,10.7434
2.67326,1.87684,4.18961
2.67326,1.88988,4.24205
2.67326,1.90293,-3.13345
2.67326,1.91597,-20.8344
2.67326,1.92901,-12.2817
2.67326,1.94206,-12.7689
2.67326,1.9551,-0.447537
2.67326,1.96814,-0.843166
2.67326,1.98119,1.28505
2.67326,1.99423,2.06498
2.67326,2.00727,2.67956
2.67326,2.02032,2.37905
2.67326,2.03336,2.55796
2.67326,2.0464,1.95639
2.67326,2.05945,1.34974
2.67326,2.07249,0.838192
2.67326,2.08554,-0.261227
2.67326,2.09858,-1.7705
2.67326,2.11162,-2.43427
2.67326,2.12467,-3.76191
2.67326,2.13771,-5.29479
2.67326,2.15075,-6.09659
2.67326,2.1638,-6.42445
2.67326,2.17684,-8.06713
2.67326,2.18988,-8.45918
2.67326,2.20293,-7.00382
2.67326,2.21597,-7.23111
2.67326,2.22901,-6.48241
2.67326,2.24206,-3.54944
2.67326,2.2551,1.16174
2.67326,2.26814,11.5938
2.67326,2.28119,6.14797
2.67326,2.29423,3.86171
2.67326,2.30727,-1.86432
2.67326,2.32032,-2.2807
2.67326,2.33336,-5.60728
2.67326,2.3464,-6.90594
2.67326,2.35945,-7.90276
2.67326,2.37249,-8.40343
2.68631,1.13336,-0.0189527
2.68631,1.1464,-0.0189527
2.68631,1.15945,-0.251042
2.68631,1.17249,-2.08992
2.68631,1.18554,-2.22726
2.68631,1.19858,-2.7347
2.68631,1.21162,-3.26054
2.68631,1.22467,-2.8897
2.68631,1.23771,-2.9847
2.68631,1.25075,-2.35062
2.68631,1.2638,-2.22283
2.68631,1.27684,-0.876784
2.68631,1.28988,-1.24831
2.68631,1.30293,-0.0704331
2.68631,1.31597,1.19511
2.68631,1.32901,0.945951
2.68631,1.34206,1.40485
2.68631,1.3551,1.38423
2.68631,1.36814,1.5686
2.68631,1.38119,1.45832
2.68631,1.39423,0.641526
2.68631,1.40727,-0.126966
2.68631,1.42032,-0.980701
2.68631,1.43336,-2.31688
2.68631,1.4464,-3.59691
2.68631,1.45945,-4.28523
2.68631,1.47249,-5.07404
2.68631,1.48554,-5.88525
2.68631,1.49858,-6.2249
2.68631,1.51162,-7.10372
2.68631,1.52467,-6.83489
2.68631,1.53771,-6.80635
2.68631,1.55075,-6.34325
2.68631,1.5638,-6.29985
2.68631,1.57684,-6.3993
2.68631,1.58988,-5.69705
2.68631,1.60293,-5.82379
2.68631,1.61597,-5.49318
2.68631,1.62901,-3.67001
2.68631,1.64206,-1.72757
2.68631,1.6551,0.0680877
2.68631,1.66814,2.55088
2.68631,1.68119,6.11808
2.68631,1.69423,9.0316
2.68631,1.70727,8.89303
2.68631,1.72032,14.1924
2.68631,1.73336,14.8445
2.68631,1.7464,15.7169
2.68631,1.75945,21.8355
2.68631,1.77249,21.9162
2.68631,1.78554,25.258
2.68631,1.79858,20.2016
2.68631,1.81162,19.0524
2.68631,1.82467,18.342
2.68631,1.83771,15.1552
2.68631,1.85075,10.4238
2.68631,1.8638,9.52734
2.68631,1.87684,5.38959
2.68631,1.88988,2.75937
2.68631,1.90293,-1.71989
2.68631,1.91597,-9.14855
2.68631,1.92901,-8.77639
2.68631,1.94206,-4.13066
2.68631,1.9551,-0.999456
2.68631,1.96814,-0.586962
2.68631,1.98119,2.01499
2.68631,1.99423,2.0369
2.68631,2.00727,1.27693
2.68631,2.02032,1.69423
2.68631,2.03336,2.39965
2.68631,2.0464,2.75534
2.68631,2.05945,2.65309
2.68631,2.07249,1.85917
2.68631,2.08554,0.518873
2.68631,2.09858,0.436498
2.68631,2.11162,-1.45645
2.68631,2.12467,-2.73149
