x,y,z
2.69559,1.13451,0.60747
2.69559,1.14755,0.60747
2.69559,1.1606,0.699488
2.69559,1.17364,0.757462
2.69559,1.18668,0.773271
2.69559,1.19973,0.906209
2.69559,1.21277,1.00061
2.69559,1.22581,1.00061
2.69559,1.23886,0.99717
2.69559,1.2519,0.99717
2.69559,1.26494,0.898513
2.69559,1.27799,1.02462
2.69559,1.29103,1.02462
2.69559,1.30407,0.848198
2.69559,1.31712,0.90345
2.69559,1.33016,0.90345
2.69559,1.34321,0.847537
2.69559,1.35625,0.940237
2.69559,1.36929,0.743378
2.69559,1.38234,0.916078
2.69559,1.39538,0.787367
2.70863,1.13451,0.608193
2.70863,1.14755,0.608193
2.70863,1.1606,0.684312
2.70863,1.17364,0.748737
2.70863,1.18668,0.735656
2.70863,1.19973,0.854577
2.70863,1.21277,0.867156
2.70863,1.22581,0.714922
2.70863,1.23886,0.809565
2.70863,1.2519,0.730714
2.70863,1.26494,0.772114
2.70863,1.27799,0.921097
2.70863,1.29103,0.791717
2.70863,1.30407,0.791506
2.70863,1.31712,0.963625
2.70863,1.33016,0.781667
2.70863,1.34321,0.786051
2.70863,1.35625,0.847257
2.70863,1.36929,0.721168
2.70863,1.38234,0.976941
2.70863,1.39538,0.670741
2.72167,1.13451,0.73474
2.72167,1.14755,0.73474
2.72167,1.1606,0.734384
2.72167,1.17364,0.774955
2.72167,1.18668,0.767235
2.72167,1.19973,0.833888
2.72167,1.21277,0.980954
2.72167,1.22581,0.980954
2.72167,1.23886,0.836153
2.72167,1.2519,0.836153
2.72167,1.26494,0.704274
2.72167,1.27799,0.927579
2.72167,1.29103,0.927579
2.72167,1.30407,0.791506
2.72167,1.31712,0.796153
2.72167,1.33016,0.796153
2.72167,1.34321,0.786051
2.72167,1.35625,0.840215
2.72167,1.36929,0.600857
2.72167,1.38234,0.906719
2.72167,1.39538,0.591849
2.73472,1.13451,0.769946
2.73472,1.14755,0.769946
2.73472,1.1606,0.757664
2.73472,1.17364,0.758797
2.73472,1.18668,0.735663
2.73472,1.19973,0.750005
2.73472,1.21277,0.743112
2.73472,1.22581,0.592399
2.73472,1.23886,0.649969
2.73472,1.2519,0.649969
2.73472,1.26494,0.556754
2.73472,1.27799,0.707578
2.73472,1.29103,0.605634
2.73472,1.30407,0.60039
2.73472,1.31712,0.767426
2.73472,1.33016,0.624333
2.73472,1.34321,0.626619
2.73472,1.35625,0.652148
2.73472,1.36929,0.563025
2.73472,1.38234,0.695833
2.73472,1.39538,0.540153
2.74776,1.13451,0.907391
2.74776,1.14755,0.907391
2.74776,1.1606,0.848938
2.74776,1.17364,0.822161
2.74776,1.18668,0.78593
2.74776,1.19973,0.758552
2.74776,1.21277,0.833291
2.74776,1.22581,0.679641
2.74776,1.23886,0.705934
2.74776,1.2519,0.604505
2.74776,1.26494,0.504762
2.74776,1.27799,0.679317
2.74776,1.29103,0.537866
2.74776,1.30407,0.538278
2.74776,1.31712,0.589443
2.74776,1.33016,0.552525
2.74776,1.34321,0.540317
2.74776,1.35625,0.572279
2.74776,1.36929,0.420331
2.74776,1.38234,0.542859
2.74776,1.39538,0.399266
2.7608,1.13451,0.816054
2.7608,1.14755,0.816054
2.7608,1.1606,0.83228
2.7608,1.17364,0.78929
2.7608,1.18668,0.737768
2.7608,1.19973,0.680916
2.7608,1.21277,0.780536
2.7608,1.22581,0.780536
2.7608,1.23886,0.536814
2.7608,1.2519,0.536814
2.7608,1.26494,0.377965
2.7608,1.27799,0.515798
2.7608,1.29103,0.515798
2.7608,1.30407,0.538278
2.7608,1.31712,0.456649
2.7608,1.33016,0.456649
2.7608,1.34321,0.540317
2.7608,1.35625,0.540354
2.7608,1.36929,0.286834
2.7608,1.38234,0.510286
2.7608,1.39538,0.252775
2.77385,1.13451,0.872151
2.77385,1.14755,0.872151
2.77385,1.1606,0.855653
2.77385,1.17364,0.816401
2.77385,1.18668,0.770607
2.77385,1.19973,0.690484
2.77385,1.21277,0.593694
2.77385,1.22581,0.46073
2.77385,1.23886,0.494238
2.77385,1.2519,0.345722
2.77385,1.26494,0.306057
2.77385,1.27799,0.398364
2.77385,1.29103,0.256753
