x,y,z
2.69559,1.13451,-32.1648
2.69559,1.14755,-32.1648
2.69559,1.1606,-31.5522
2.69559,1.17364,-31.2064
2.69559,1.18668,-31.1167
2.69559,1.19973,-30.4277
2.69559,1.21277,-29.9973
2.69559,1.22581,-29.9973
2.69559,1.23886,-30.0123
2.69559,1.2519,-30.0123
2.69559,1.26494,-30.4648
2.69559,1.27799,-29.8944
2.69559,1.29103,-29.8944
2.69559,1.30407,-30.715
2.69559,1.31712,-30.441
2.69559,1.33016,-30.441
2.69559,1.34321,-30.7184
2.69559,1.35625,-30.2676
2.69559,1.36929,-31.2879
2.69559,1.38234,-30.3807
2.69559,1.39538,-31.0382
2.70863,1.13451,-32.1596
2.70863,1.14755,-32.1596
2.70863,1.1606,-31.6475
2.70863,1.17364,-31.2567
2.70863,1.18668,-31.3333
2.70863,1.19973,-30.6825
2.70863,1.21277,-30.619
2.70863,1.22581,-31.4574
2.70863,1.23886,-30.9175
2.70863,1.2519,-31.3625
2.70863,1.26494,-31.1232
2.70863,1.27799,-30.3569
2.70863,1.29103,-31.0143
2.70863,1.30407,-31.0155
2.70863,1.31712,-30.1609
2.70863,1.33016,-31.0698
2.70863,1.34321,-31.0455
2.70863,1.35625,-30.7198
2.70863,1.36929,-31.4196
2.70863,1.38234,-30.1013
2.70863,1.39538,-31.7345
2.72167,1.13451,-31.3387
2.72167,1.14755,-31.3387
2.72167,1.1606,-31.3408
2.72167,1.17364,-31.1072
2.72167,1.18668,-31.1507
2.72167,1.19973,-30.7889
2.72167,1.21277,-30.0835
2.72167,1.22581,-30.0835
2.72167,1.23886,-30.7771
2.72167,1.2519,-30.7771
2.72167,1.26494,-31.5226
2.72167,1.27799,-30.3265
2.72167,1.29103,-30.3265
2.72167,1.30407,-31.0155
2.72167,1.31712,-30.99
2.72167,1.33016,-30.99
2.72167,1.34321,-31.0455
2.72167,1.35625,-30.7561
2.72167,1.36929,-32.2123
2.72167,1.38234,-30.4253
2.72167,1.39538,-32.2779
2.73472,1.13451,-31.1354
2.73472,1.14755,-31.1354
2.73472,1.1606,-31.2052
2.73472,1.17364,-31.1987
2.73472,1.18668,-31.3332
2.73472,1.19973,-31.2494
2.73472,1.21277,-31.2895
2.73472,1.22581,-32.2739
2.73472,1.23886,-31.8711
2.73472,1.2519,-31.8711
2.73472,1.26494,-32.5434
2.73472,1.27799,-31.5023
