x,y,z
2.70039,1.13665,4e-06
2.70039,1.16274,4e-06
2.70039,1.18882,4e-06
2.70039,1.21491,4e-06
2.70039,1.241,4e-06
2.70039,1.26708,0.0016265
2.70039,1.29317,0.000256
2.70039,1.31926,0.000256
2.70039,1.34534,0.002025
2.70039,1.37143,0.000841
2.70039,1.39752,0.000841
2.70039,1.42361,3.6e-05
2.70039,1.44969,0.004285
2.70039,1.47578,0.004285
2.70039,1.50187,0.0721705
2.70039,1.52795,0.0721705
2.70039,1.55404,0.0721705
2.70039,1.58013,0.157609
2.70039,1.60621,0.136161
2.70039,1.6323,0.216225
2.70039,1.65839,0.216225
2.70039,1.68447,0.343429
2.70039,1.71056,0.343429
2.70039,1.73665,0.0961
2.70039,1.76274,0.278133
2.70039,1.78882,0.278133
2.70039,1.81491,0.093636
2.70039,1.841,0.093636
2.70039,1.86708,0.329476
2.70039,1.89317,0.003481
2.70039,1.91926,0.000576
2.70039,1.94534,0.086436
2.70039,1.97143,4e-06
2.70039,1.99752,1e-06
2.70039,2.02361,1e-06
2.70039,2.04969,1e-06
2.70039,2.07578,1e-06
2.70039,2.10187,1e-06
2.70039,2.12795,1e-06
2.70039,2.15404,0.0036
2.70039,2.18013,0.086436
2.70039,2.20621,0.086436
2.70039,2.2323,0.024649
2.70039,2.25839,0.030276
2.70039,2.28447,0.030276
2.70039,2.31056,0.058081
2.70039,2.33665,1e-06
2.70039,2.36274,1e-06
2.72647,1.13665,4e-06
2.72647,1.16274,4e-06
2.72647,1.18882,4e-06
2.72647,1.21491,4e-06
2.72647,1.241,4e-06
2.72647,1.26708,0.0016265
2.72647,1.29317,0.000256
2.72647,1.31926,3.6e-05
2.72647,1.34534,3.6e-05
2.72647,1.37143,0.000841
2.72647,1.39752,0.000841
2.72647,1.42361,3.6e-05
2.72647,1.44969,0.030976
2.72647,1.47578,0.030976
2.72647,1.50187,0.0721705
2.72647,1.52795,0.0721705
2.72647,1.55404,0.2258
2.72647,1.58013,0.2258
2.72647,1.60621,0.136161
2.72647,1.6323,0.216225
2.72647,1.65839,0.216225
2.72647,1.68447,0.343429
2.72647,1.71056,0.343429
2.72647,1.73665,0.0961
2.72647,1.76274,0.278133
2.72647,1.78882,0.329476
2.72647,1.81491,0.329476
2.72647,1.841,0.093636
2.72647,1.86708,0.329476
2.72647,1.89317,0.003481
2.72647,1.91926,0.000576
2.72647,1.94534,0.086436
2.72647,1.97143,4e-06
2.72647,1.99752,1e-06
2.72647,2.02361,1e-06
2.72647,2.04969,1e-06
2.72647,2.07578,1e-06
2.72647,2.10187,1e-06
2.72647,2.12795,1e-06
2.72647,2.15404,0.0036
2.72647,2.18013,0.086436
2.72647,2.20621,0.086436
2.72647,2.2323,0.024649
2.72647,2.25839,0.030276
2.72647,2.28447,0.058081
2.72647,2.31056,0.058081
2.72647,2.33665,1e-06
2.72647,2.36274,1e-06
2.75256,1.13665,4e-06
2.75256,1.16274,4e-06
2.75256,1.18882,4e-06
2.75256,1.21491,4e-06
2.75256,1.241,4e-06
2.75256,1.26708,4e-06
2.75256,1.29317,4e-06
2.75256,1.31926,3.6e-05
2.75256,1.34534,3.6e-05
2.75256,1.37143,0.033489
2.75256,1.39752,0.033489
2.75256,1.42361,0.400689
2.75256,1.44969,0.400689
2.75256,1.47578,0.400689
2.75256,1.50187,0.400689
2.75256,1.52795,0.2258
2.75256,1.55404,0.2258
2.75256,1.58013,0.2258
2.75256,1.60621,0.136161
2.75256,1.6323,0.216225
2.75256,1.65839,0.356409
2.75256,1.68447,0.356409
2.75256,1.71056,0.356409
2.75256,1.73665,0.180625
2.75256,1.76274,0.180625
2.75256,1.78882,0.329476
2.75256,1.81491,0.321489
2.75256,1.841,0.321489
2.75256,1.86708,0.001024
2.75256,1.89317,0.001024
2.75256,1.91926,0.002809
2.75256,1.94534,0.002809
2.75256,1.97143,4e-06
2.75256,1.99752,4e-06
2.75256,2.02361,4e-06
