x,y,z
2.68513,1.14047,-54.7496
2.68513,1.17307,-55.0125
2.68513,1.20568,-55.2094
2.68513,1.23829,-55.3399
2.68513,1.2709,-39.9579
2.68513,1.30351,-39.6196
2.68513,1.33612,-29.5976
2.68513,1.36873,-29.3331
2.68513,1.40134,-28.8372
2.68513,1.43394,-29.0662
2.68513,1.46655,-30.0753
2.68513,1.49916,-14.6032
2.68513,1.53177,-14.776
2.68513,1.56438,-14.8146
2.68513,1.59699,-8.13873
2.68513,1.6296,-7.6617
2.68513,1.6622,-1.71837
2.68513,1.69481,-2.21573
2.68513,1.72742,-11.2043
2.68513,1.76003,-8.29833
2.68513,1.79264,-9.1559
2.68513,1.82525,-13.9301
2.68513,1.85786,-14.1322
2.68513,1.89047,-28.4742
2.68513,1.92307,-36.0664
2.68513,1.95568,-35.709
2.68513,1.98829,-59.1518
2.68513,2.0209,-58.8107
2.68513,2.05351,-62.5856
2.68513,2.08612,-62.2236
2.68513,2.11873,-62.1518
2.68513,2.15134,-26.4452
2.68513,2.18394,-26.5672
2.68513,2.21655,-18.3481
2.68513,2.24916,-18.6702
2.68513,2.28177,-18.8912
2.68513,2.31438,-16.6572
2.68513,2.34699,-63.4721
2.68513,2.3796,-63.7595
2.71774,1.14047,-54.9851
2.71774,1.17307,-55.2469
2.71774,1.20568,-55.2575
2.71774,1.23829,-26.2863
2.71774,1.2709,-26.1153
2.71774,1.30351,-25.8306
2.71774,1.33612,-29.8601
2.71774,1.36873,-28.9443
2.71774,1.40134,-19.972
2.71774,1.43394,-20.0774
2.71774,1.46655,-14.676
2.71774,1.49916,-15.2731
2.71774,1.53177,-7.67113
2.71774,1.56438,-8.41427
2.71774,1.59699,-8.67166
2.71774,1.6296,-5.98903
2.71774,1.6622,-5.62597
2.71774,1.69481,-9.86575
2.71774,1.72742,-10.9384
2.71774,1.76003,-6.97185
2.71774,1.79264,-7.68643
2.71774,1.82525,-8.40693
2.71774,1.85786,-8.75273
2.71774,1.89047,-8.76056
2.71774,1.92307,-36.02
2.71774,1.95568,-13.7403
2.71774,1.98829,-13.3916
2.71774,2.0209,-62.4479
2.71774,2.05351,-62.177
2.71774,2.08612,-62.0475
2.71774,2.11873,-62.0662
2.71774,2.15134,-62.2155
2.71774,2.18394,-12.9057
2.71774,2.21655,-13.102
2.71774,2.24916,-18.7309
2.71774,2.28177,-16.4115
2.71774,2.31438,-16.6652
2.71774,2.34699,-63.507
2.71774,2.3796,-63.8283
2.75034,1.14047,-55.4001
2.75034,1.17307,-55.5321
2.75034,1.20568,-55.4292
2.75034,1.23829,-55.3874
2.75034,1.2709,-55.2817
2.75034,1.30351,-54.7445
2.75034,1.33612,-29.88
2.75034,1.36873,-13.974
2.75034,1.40134,-4.32152
2.75034,1.43394,-2.72717
2.75034,1.46655,-3.74026
2.75034,1.49916,2.11473
2.75034,1.53177,-7.27572
2.75034,1.56438,-7.97171
2.75034,1.59699,-8.27289
2.75034,1.6296,-5.64033
2.75034,1.6622,-11.6307
2.75034,1.69481,-3.46139
2.75034,1.72742,-7.51853
2.75034,1.76003,-8.73772
2.75034,1.79264,-7.29151
2.75034,1.82525,-8.25765
2.75034,1.85786,-8.58665
2.75034,1.89047,-33.6383
2.75034,1.92307,-29.0053
2.75034,1.95568,-28.4473
2.75034,1.98829,-56.4342
2.75034,2.0209,-56.1676
2.75034,2.05351,-61.879
2.75034,2.08612,-28.1446
2.75034,2.11873,-61.7065
2.75034,2.15134,-47.9429
2.75034,2.18394,-48.3626
2.75034,2.21655,-13.2451
2.75034,2.24916,-47.124
2.75034,2.28177,-16.4672
2.75034,2.31438,-16.6702
2.75034,2.34699,-63.4109
2.75034,2.3796,-48.0934
2.78295,1.14047,-47.9126
2.78295,1.17307,-47.9802
2.78295,1.20568,-47.8759
2.78295,1.23829,-50.2151
2.78295,1.2709,-49.9145
2.78295,1.30351,-47.2265
2.78295,1.33612,-46.6242
2.78295,1.36873,-14.3889
2.78295,1.40134,-5.14583
2.78295,1.43394,-5.31311
2.78295,1.46655,0.728438
2.78295,1.49916,2.07277
2.78295,1.53177,2.53811
2.78295,1.56438,-1.09779
2.78295,1.59699,-1.11891
2.78295,1.6296,-5.53064
2.78295,1.6622,-11.92
2.78295,1.69481,-11.8846
2.78295,1.72742,-7.39474
2.78295,1.76003,-14.8828
2.78295,1.79264,-15.9127
2.78295,1.82525,-57.006
2.78295,1.85786,-57.4419
2.78295,1.89047,-33.4316
2.78295,1.92307,-18.3537
2.78295,1.95568,-17.9702
2.78295,1.98829,-62.6697
2.78295,2.0209,-62.2612
2.78295,2.05351,-62.0232
2.78295,2.08612,-28.2372
2.78295,2.11873,-28.3284
2.78295,2.15134,-26.074
2.78295,2.18394,-26.4315
2.78295,2.21655,-47.2084
2.78295,2.24916,-47.5055
2.78295,2.28177,-51.2025
2.78295,2.31438,-51.21
2.78295,2.34699,-47.8195
2.78295,2.3796,-47.9547
2.81556,1.14047,-18.4932
2.81556,1.17307,-48.3083
2.81556,1.20568,-62.1877
2.81556,1.23829,-50.5967
2.81556,1.2709,-56.023
2.81556,1.30351,-55.8327
2.81556,1.33612,-55.2558
2.81556,1.36873,-54.5885
2.81556,1.40134,-6.04145
2.81556,1.43394,0.917298
2.81556,1.46655,0.297662
2.81556,1.49916,0.45906
2.81556,1.53177,-0.335033
2.81556,1.56438,-0.977581
2.81556,1.59699,-1.05675
2.81556,1.6296,-5.984
2.81556,1.6622,-12.6096
2.81556,1.69481,-50.4956
2.81556,1.72742,-25.303
2.81556,1.76003,-26.1354
2.81556,1.79264,-18.7803
2.81556,1.82525,-19.5008
2.81556,1.85786,-57.2918
2.81556,1.89047,-33.2682
2.81556,1.92307,-18.2751
2.81556,1.95568,-56.886
2.81556,1.98829,-56.7099
2.81556,2.0209,-56.4821
2.81556,2.05351,-62.2822
2.81556,2.08612,-62.0865
2.81556,2.11873,-28.5425
2.81556,2.15134,-26.0985
2.81556,2.18394,-26.3017
2.81556,2.21655,-47.1369
2.81556,2.24916,-47.4214
2.81556,2.28177,-51.0593
2.81556,2.31438,-51.08
2.81556,2.34699,-47.5125
2.81556,2.3796,-47.5856
2.84817,1.14047,-18.4101
2.84817,1.17307,-23.9741
2.84817,1.20568,-62.3081
2.84817,1.23829,-62.2004
2.84817,1.2709,-56.1324
2.84817,1.30351,-56.1719
2.84817,1.33612,-55.8821
2.84817,1.36873,-12.1149
2.84817,1.40134,-5.63561
2.84817,1.43394,0.333788
2.84817,1.46655,0.454973
2.84817,1.49916,-5.12193
2.84817,1.53177,-0.331907
2.84817,1.56438,-0.954084
2.84817,1.59699,-1.50893
2.84817,1.6296,-16.8301
2.84817,1.6622,-5.52715
2.84817,1.69481,-51.1135
2.84817,1.72742,-51.1533
2.84817,1.76003,-26.1237
2.84817,1.79264,-18.5979
2.84817,1.82525,-31.5957
2.84817,1.85786,-32.0561
2.84817,1.89047,-51.1742
2.84817,1.92307,-57.0584
2.84817,1.95568,-56.8091
2.84817,1.98829,-56.7286
2.84817,2.0209,-56.6592
2.84817,2.05351,-62.6305
2.84817,2.08612,-56.3516
2.84817,2.11873,-48.3806
2.84817,2.15134,-48.3201
2.84817,2.18394,-48.3458
2.84817,2.21655,-56.4647
2.84817,2.24916,-56.5825
2.84817,2.28177,-50.5786
2.84817,2.31438,-56.4484
2.84817,2.34699,-56.6019
2.84817,2.3796,-56.6318
2.88078,1.14047,-18.3284
2.88078,1.17307,-6.29444
2.88078,1.20568,-6.25928
2.88078,1.23829,-46.5719
2.88078,1.2709,-46.6698
2.88078,1.30351,-56.378
2.88078,1.33612,-49.3446
2.88078,1.36873,-12.8472
2.88078,1.40134,-6.35563
2.88078,1.43394,-5.88545
2.88078,1.46655,-5.9885
2.88078,1.49916,-5.40429
2.88078,1.53177,-30.7026
2.88078,1.56438,-18.3256
2.88078,1.59699,-18.8495
2.88078,1.6296,-17.5305
2.88078,1.6622,-6.21298
2.88078,1.69481,-6.1016
2.88078,1.72742,-4.05428
2.88078,1.76003,-4.19506
2.88078,1.79264,-7.99062
2.88078,1.82525,-11.6973
2.88078,1.85786,-12.2165
2.88078,1.89047,-51.1597
2.88078,1.92307,-15.6485
2.88078,1.95568,-15.5217
2.88078,1.98829,-12.9245
2.88078,2.0209,-12.9253
2.88078,2.05351,-63.0205
2.88078,2.08612,-57.0302
