x,y,z
3.29147,1.77811,0.004096
3.36973,1.15202,1e-06
3.36973,1.17811,1e-06
3.36973,1.2042,1e-06
3.36973,1.23029,1e-06
3.36973,1.25637,1e-06
3.36973,1.28246,1e-06
3.36973,1.30855,2.5e-05
3.36973,1.33463,4e-06
3.36973,1.36072,0.000484
3.36973,1.38681,9e-06
3.36973,1.41289,0.024086
3.36973,1.43898,0.008464
3.36973,1.46507,0.0422447
3.36973,1.49115,0.02853
3.36973,1.51724,0.0098865
3.36973,1.54333,4e-06
3.36973,1.56942,1.45e-05
3.36973,1.5955,1.1e-05
3.36973,1.62159,1.8e-05
3.36973,1.64768,4e-06
3.36973,1.67376,1.8e-05
3.36973,1.69985,0.001375
3.36973,1.72594,1.45e-05
3.36973,1.75202,0.0002125
3.36973,1.77811,0.0126657
3.36973,1.8042,0.0107885
3.36973,1.83029,0.023642
3.36973,1.85637,0.037249
3.36973,1.88246,0.17801
3.36973,1.90855,0.151254
3.36973,1.93463,0.0930865
3.36973,1.96072,0.065897
3.36973,1.98681,0.0068465
3.36973,2.01289,1.46667e-05
3.36973,2.03898,6.5e-06
3.36973,2.06507,6.5e-06
3.36973,2.09115,7.33333e-06
3.36973,2.11724,0.0001325
3.36973,2.14333,0.0076925
3.36973,2.16942,0.0414765
3.36973,2.1955,0.089082
3.36973,2.22159,0.220712
3.36973,2.24768,0.0361
3.36973,2.27376,0.123545
3.36973,2.29985,0.0864037
3.36973,2.32594,0.170209
3.36973,2.35202,0.147579
3.36973,2.37811,0.178489
3.39582,1.15202,1e-06
3.39582,1.17811,1e-06
3.39582,1.2042,1e-06
3.39582,1.23029,1e-06
3.39582,1.25637,1e-06
3.39582,1.28246,1e-06
3.39582,1.30855,1e-06
3.39582,1.33463,1e-06
3.39582,1.36072,1e-06
3.39582,1.43898,0.002025
3.39582,1.46507,0.005329
3.39582,1.49115,0.010201
3.39582,1.51724,0.0085505
3.39582,1.54333,4e-06
3.39582,1.56942,8.1e-05
3.39582,1.5955,8.1e-05
3.39582,1.62159,8.1e-05
3.39582,1.64768,8.1e-05
3.39582,1.67376,8.1e-05
3.39582,1.69985,8.1e-05
3.39582,1.72594,0.011881
3.39582,1.75202,0.151321
3.39582,1.77811,0.275625
3.39582,1.8042,0.305809
3.39582,1.83029,0.379456
3.39582,1.85637,0.394384
3.39582,1.88246,0.391876
3.39582,1.90855,0.263169
3.39582,1.93463,0.239121
3.39582,1.96072,0.084681
3.39582,1.98681,0.0023125
3.39582,2.01289,4e-06
3.39582,2.03898,4e-06
3.39582,2.06507,4e-06
3.39582,2.09115,4e-06
3.39582,2.11724,0.195393
3.39582,2.14333,0.0484
3.39582,2.16942,0.557622
3.39582,2.1955,0.500243
3.39582,2.22159,0.704466
3.39582,2.24768,0.729055
3.39582,2.27376,0.728425
3.39582,2.29985,0.832847
3.39582,2.32594,1.37566
3.39582,2.35202,1.00601
3.39582,2.37811,1.83646
3.42191,1.15202,9e-06
3.42191,1.17811,9e-06
3.42191,1.2042,9e-06
3.42191,1.23029,9e-06
3.42191,1.25637,1.25e-05
3.42191,1.28246,0.000185
3.42191,1.30855,0.0001445
3.42191,1.33463,9e-06
3.42191,1.36072,4e-06
3.42191,1.38681,4e-06
3.42191,1.41289,2.5e-06
3.42191,1.43898,0.000160333
3.42191,1.46507,4.9e-05
3.42191,1.49115,0.008185
3.42191,1.51724,0.00265
3.42191,1.54333,0.0002465
3.42191,1.56942,8.5e-06
3.42191,1.5955,8.5e-06
3.42191,1.62159,6e-06
3.42191,1.64768,1.6e-05
3.42191,1.67376,8.5e-06
3.42191,1.69985,0.012861
3.42191,1.72594,0.170629
3.42191,1.75202,0.402452
3.42191,1.77811,0.864799
3.42191,1.8042,1.04339
3.42191,1.83029,1.06731
3.42191,1.85637,1.47137
3.42191,1.88246,0.9805
3.42191,1.90855,0.3481
3.42191,1.93463,0.130321
3.42191,1.96072,0.038025
3.42191,1.98681,0.000225
3.42191,2.01289,0.000196
3.42191,2.03898,4e-06
3.42191,2.06507,0.004356
3.42191,2.09115,0.046225
3.42191,2.11724,0.397413
3.42191,2.16942,0.994634
3.42191,2.1955,1.29504
3.42191,2.22159,1.2996
3.42191,2.24768,1.39004
3.42191,2.27376,1.66152
3.42191,2.29985,1.93488
3.42191,2.32594,2.98128
3.42191,2.37811,4.35051
3.448,1.15202,1e-06
3.448,1.17811,1e-06
3.448,1.2042,1e-06
3.448,1.23029,1e-06
3.448,1.25637,1e-06
3.448,1.28246,1.3e-05
3.448,1.30855,3e-06
3.448,1.33463,1e-06
3.448,1.36072,1e-06
3.448,1.38681,1e-06
3.448,1.41289,3e-06
3.448,1.43898,1e-06
3.448,1.46507,0.000671
3.448,1.49115,0.0033565
3.448,1.51724,0.006942
3.448,1.54333,0.01
3.448,1.56942,0.000396667
3.448,1.5955,2.5e-06
3.448,1.62159,0.00137767
3.448,1.64768,1.85e-05
3.448,1.67376,1.85e-05
3.448,1.69985,0.00547367
3.448,1.72594,0.238065
3.448,1.75202,0.9025
3.448,1.77811,1.52648
3.448,1.8042,2.14626
3.448,1.83029,2.14199
3.448,1.85637,2.04776
3.448,1.88246,1.57754
3.448,1.90855,0.689
3.448,1.93463,0.201601
3.448,1.96072,0.060516
3.448,1.98681,0.006561
3.448,2.01289,0.003721
3.448,2.03898,0.017424
3.448,2.06507,0.16
3.448,2.09115,0.284089
3.448,2.11724,1.18877
3.448,2.14333,1.5298
3.448,2.16942,1.66284
3.448,2.1955,1.74993
3.448,2.22159,1.94725
3.448,2.24768,2.01996
3.448,2.27376,2.39551
3.448,2.29985,2.89528
3.448,2.32594,5.22053
3.448,2.35202,5.89969
3.448,2.37811,8.26582
3.47408,1.15202,8.1e-05
3.47408,1.17811,8.1e-05
3.47408,1.2042,8.1e-05
3.47408,1.23029,8.1e-05
3.47408,1.25637,8.1e-05
3.47408,1.28246,8.1e-05
