x,y,z
3.28187,1.78938,-26.3692
3.36013,1.39807,-17.8818
3.36013,1.42416,-13.7146
3.36013,1.45025,-12.8002
3.36013,1.47634,-12.6639
3.36013,1.50242,-13.9468
3.36013,1.52851,-18.1202
3.36013,1.5546,-49.5681
3.36013,1.58068,-47.5291
3.36013,1.60677,-47.6057
3.36013,1.63286,-47.771
3.36013,1.65894,-47.7604
3.36013,1.68503,-28.6385
3.36013,1.71112,-47.7925
3.36013,1.76329,-47.8011
3.36013,1.78938,-34.8116
3.36013,1.84155,-18.091
3.36013,1.86764,-10.9789
3.36013,1.89373,-9.74685
3.36013,1.91981,-8.50024
3.36013,1.9459,-10.3968
3.36013,1.97199,-11.4579
3.36013,1.99807,-23.9588
3.36013,2.02416,-52.6392
3.36013,2.05025,-52.6538
3.36013,2.07634,-52.6849
3.36013,2.10242,-52.716
3.36013,2.12851,-52.8757
3.36013,2.1546,-52.8691
3.36013,2.18068,-52.7831
3.36013,2.20677,-24.8867
3.36013,2.23286,-16.9919
3.36013,2.25894,-21.6376
3.36013,2.28503,-19.6158
3.36013,2.31112,-20.3739
3.36013,2.3372,-16.775
3.36013,2.36329,-19.2293
3.36013,2.38938,-25.6465
3.38621,1.1372,-61.0642
3.38621,1.16329,-61.2237
3.38621,1.18938,-61.4595
3.38621,1.21547,-61.772
3.38621,1.24155,-62.15
3.38621,1.26764,-62.4146
3.38621,1.29373,-62.8958
3.38621,1.31981,-51.801
3.38621,1.3459,-58.6898
3.38621,1.37199,-40.1362
3.38621,1.39807,-52.0837
3.38621,1.42416,-33.3199
3.38621,1.45025,-23.6334
3.38621,1.47634,-20.7959
3.38621,1.50242,-21.402
3.38621,1.52851,-30.3302
3.38621,1.5546,-55.2348
3.38621,1.58068,-45.0135
3.38621,1.60677,-43.694
3.38621,1.63286,-55.1529
3.38621,1.65894,-43.7139
3.38621,1.68503,-45.0567
3.38621,1.71112,-45.0957
3.38621,1.7372,-25.3065
3.38621,1.76329,-9.77766
3.38621,1.78938,-11.5764
3.38621,1.81547,-9.76426
3.38621,1.84155,-8.93453
3.38621,1.86764,-6.55347
3.38621,1.89373,-7.37245
3.38621,1.91981,-19.3331
3.38621,1.9459,-11.9062
3.38621,1.97199,-30.1949
3.38621,1.99807,-57.4877
3.38621,2.02416,-55.047
3.38621,2.05025,-55.3019
3.38621,2.07634,-55.431
3.38621,2.10242,-35.1319
3.38621,2.12851,-17.6118
3.38621,2.1546,-12.2976
3.38621,2.18068,-7.46629
3.38621,2.20677,-6.47368
3.38621,2.23286,-6.2348
3.38621,2.25894,-6.77939
3.38621,2.28503,-7.67052
3.38621,2.31112,-4.5445
3.38621,2.3372,-2.57803
3.38621,2.36329,-4.30913
3.4123,1.1372,-51.1386
3.4123,1.16329,-51.2793
3.4123,1.18938,-51.1547
3.4123,1.21547,-51.4778
3.4123,1.24155,-49.1738
3.4123,1.26764,-36.323
3.4123,1.29373,-41.0534
3.4123,1.31981,-51.6066
3.4123,1.3459,-58.6598
3.4123,1.37199,-56.4302
3.4123,1.39807,-58.0245
3.4123,1.42416,-55.7786
3.4123,1.45025,-39.1178
3.4123,1.47634,-23.6618
3.4123,1.50242,-22.5174
3.4123,1.52851,-28.589
3.4123,1.5546,-37.6629
3.4123,1.58068,-53.2747
3.4123,1.60677,-51.8614
3.4123,1.63286,-51.8903
3.4123,1.65894,-51.7797
3.4123,1.68503,-51.6186
3.4123,1.71112,-20.0915
3.4123,1.7372,-9.05981
3.4123,1.76329,-5.81526
